"metabolic","nonNA_H","detected_H","nonNA_M","detected_M","nonNA_L","detected_L","nonNA_D","detected_D","NA_test_pvalue","NA_test_used"
"Guanosine 5'-diphosphate",27,0.964285714285714,93,0.978947368421053,45,1,41,1,0.534813013073933,"Fisher"
"5-Methyltetrahydrofolic acid",18,0.642857142857143,67,0.705263157894737,31,0.688888888888889,26,0.634146341463415,0.833257713669993,"Chi-square"
"Glycocholic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Adenosine 5'-triphosphate",27,0.964285714285714,95,1,45,1,39,0.951219512195122,0.055737359513114,"Fisher"
"Taurocholic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Oxidized glutathione",5,0.178571428571429,6,0.0631578947368421,4,0.0888888888888889,5,0.121951219512195,0.26727212169388,"Fisher"
"NAD",11,0.392857142857143,31,0.326315789473684,14,0.311111111111111,14,0.341463414634146,0.901923760970296,"Chi-square"
"Lactic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Fumarate",28,1,95,1,45,1,41,1,1,"Fisher"
"Citraconic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Allantoin",28,1,95,1,45,1,41,1,1,"Fisher"
"Aconitic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Citric acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Chenodeoxycholic acid glycine conjugate",28,1,94,0.989473684210526,45,1,41,1,1,"Fisher"
"Malondialdehyde",28,1,95,1,45,1,41,1,1,"Fisher"
"2-Methylpropanoate",28,1,95,1,45,1,41,1,1,"Fisher"
"Glyceric acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Alpha-Ketoisovaleric acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Methylsuccinic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Oxalacetic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Oxoglutaric acid",28,1,95,1,45,1,41,1,1,"Fisher"
"2-Hydroxyglutarate",28,1,95,1,45,1,41,1,1,"Fisher"
"Fructose",28,1,95,1,45,1,41,1,1,"Fisher"
"Glucose 1-phosphate",28,1,95,1,45,1,41,1,1,"Fisher"
"Geranyl-PP",28,1,95,1,45,1,41,1,1,"Fisher"
"Adenylsuccinic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Glycerol 3-phosphate",28,1,95,1,45,1,41,1,1,"Fisher"
"Glyceraldehyde",28,1,95,1,45,1,41,1,1,"Fisher"
"Pyruvic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Methyl-3-methyl-2-oxopentanoate",28,1,95,1,45,1,41,1,1,"Fisher"
"Isocitric acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Homovanillic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Trimethylamine",28,1,95,1,45,1,41,1,1,"Fisher"
"Glycine",28,1,95,1,45,1,41,1,1,"Fisher"
"Trimethylamine N-oxide",28,1,95,1,45,1,41,1,1,"Fisher"
"Sarcosine",28,1,95,1,45,1,41,1,1,"Fisher"
"Alanine",28,1,95,1,45,1,41,1,1,"Fisher"
"Cadaverine",28,1,95,1,45,1,41,1,1,"Fisher"
"3-Aminoisobutyric acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Choline",28,1,95,1,45,1,41,1,1,"Fisher"
"Dimethylglycine",28,1,95,1,45,1,41,1,1,"Fisher"
"Serine",28,1,95,1,45,1,41,1,1,"Fisher"
"Cytosine",21,0.75,72,0.757894736842105,34,0.755555555555556,32,0.780487804878049,0.989790575603809,"Chi-square"
"Creatinine",28,1,95,1,45,1,41,1,1,"Fisher"
"Proline",28,1,95,1,45,1,41,1,1,"Fisher"
"5-Aminopentanoic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Betaine",28,1,95,1,45,1,41,1,1,"Fisher"
"Valine",28,1,95,1,45,1,41,1,1,"Fisher"
"Indole",24,0.857142857142857,70,0.736842105263158,28,0.622222222222222,33,0.804878048780488,0.114650382220966,"Fisher"
"Homoserine",28,1,95,1,45,1,41,1,1,"Fisher"
"Threonine",28,1,95,1,45,1,41,1,1,"Fisher"
"Cysteine",9,0.321428571428571,43,0.452631578947368,21,0.466666666666667,20,0.48780487804878,0.543201368246378,"Chi-square"
"Niacinamide",28,1,95,1,45,1,41,1,1,"Fisher"
"Taurine",28,1,95,1,45,1,41,1,1,"Fisher"
"Pyroglutamic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Pipecolic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"N-Acetylputrescine",28,1,95,1,45,1,41,1,1,"Fisher"
"Creatine",28,1,95,1,45,1,41,1,1,"Fisher"
"4-Hydroxyproline",28,1,95,1,45,1,41,1,1,"Fisher"
"5-Aminolevulinic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Isoleucine",28,1,95,1,45,1,41,1,1,"Fisher"
"Leucine",28,1,95,1,45,1,41,1,1,"Fisher"
"Ornithine",28,1,95,1,45,1,41,1,1,"Fisher"
"Asparagine",28,1,95,1,45,1,41,1,1,"Fisher"
"Homocysteine",28,1,95,1,45,1,41,1,1,"Fisher"
"N-Methylnicotinamide",28,1,95,1,45,1,41,1,1,"Fisher"
"Tyramine",6,0.214285714285714,22,0.231578947368421,13,0.288888888888889,7,0.170731707317073,0.628868062420484,"Chi-square"
"4-Acetamidobutanoic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Spermidine",20,0.714285714285714,71,0.747368421052632,34,0.755555555555556,30,0.731707317073171,0.978839563202882,"Chi-square"
"Glutamine",28,1,95,1,45,1,41,1,1,"Fisher"
"Lysine",28,1,95,1,45,1,41,1,1,"Fisher"
"Glutamate",28,1,95,1,45,1,41,1,1,"Fisher"
"Methionine",28,1,95,1,45,1,41,1,1,"Fisher"
"Histidine",28,1,95,1,45,1,41,1,1,"Fisher"
"Tryptamine",20,0.714285714285714,80,0.842105263157895,40,0.888888888888889,33,0.804878048780488,0.261924243092778,"Chi-square"
"Carnitine",28,1,95,1,45,1,41,1,1,"Fisher"
"Phenylalanine",28,1,95,1,45,1,41,1,1,"Fisher"
"1-Methyl-histidine",28,1,95,1,45,1,41,1,1,"Fisher"
"Arginine",28,1,95,1,45,1,41,1,1,"Fisher"
"Indoleacetic acid",28,1,95,1,45,1,41,1,1,"Fisher"
