metabolic,N_P_nonNA,N_N_nonNA,detected_P,detected_N,NA_test_pvalue,NA_test_used
L-Cysteine,80,7,43.72%,50.00%,0.859382096,Chi-square
Spermidine,136,10,74.32%,71.43%,0.75963126,Fisher
Cytosine,140,10,76.50%,71.43%,0.745367904,Fisher
Melatonin,154,13,84.15%,92.86%,0.699204015,Fisher
Guanosine monophosphate,155,13,84.70%,92.86%,0.697661471,Fisher
Glutathione,74,7,40.44%,50.00%,0.675148685,Chi-square
2'-O-Methyladenosine,165,12,90.16%,85.71%,0.638933302,Fisher
Cyclic GMP,166,12,90.71%,85.71%,0.629961342,Fisher
dCMP,167,14,91.26%,100.00%,0.609803159,Fisher
Glucosamine,168,14,91.80%,100.00%,0.606051267,Fisher
Carnosine,168,14,91.80%,100.00%,0.606051267,Fisher
Normetanephrine,97,9,53.01%,64.29%,0.590677422,Chi-square
Adenosine,150,13,81.97%,92.86%,0.471195466,Fisher
Tyramine,42,5,22.95%,35.71%,0.45046984,Chi-square
Cytidine monophosphate,162,14,88.52%,100.00%,0.3702752,Fisher
Tryptamine,153,10,83.61%,71.43%,0.269112189,Fisher
S-Adenosylmethionine,20,3,10.93%,21.43%,0.21407691,Fisher
Indole,135,13,73.77%,92.86%,0.195740758,Fisher
N1-Acetylspermine,52,7,28.42%,50.00%,0.162495333,Chi-square
Oxidized glutathione,17,3,9.29%,21.43%,0.157198427,Fisher
