"","count","group","number"
"1",182,"HP",0.0101010101010101
"2",210,"HP",0.0202020202020202
"3",210,"HP",0.0303030303030303
"4",210,"HP",0.0404040404040404
"5",210,"HP",0.0505050505050505
"6",211,"HP",0.0606060606060606
"7",212,"HP",0.0707070707070707
"8",213,"HP",0.0808080808080808
"9",214,"HP",0.0909090909090909
"10",214,"HP",0.101010101010101
"11",214,"HP",0.111111111111111
"12",214,"HP",0.121212121212121
"13",214,"HP",0.131313131313131
"14",214,"HP",0.141414141414141
"15",214,"HP",0.151515151515152
"16",215,"HP",0.161616161616162
"17",215,"HP",0.171717171717172
"18",215,"HP",0.181818181818182
"19",215,"HP",0.191919191919192
"20",215,"HP",0.202020202020202
"21",215,"HP",0.212121212121212
"22",215,"HP",0.222222222222222
"23",215,"HP",0.232323232323232
"24",215,"HP",0.242424242424242
"25",216,"HP",0.252525252525253
"26",216,"HP",0.262626262626263
"27",216,"HP",0.272727272727273
"28",216,"HP",0.282828282828283
"29",216,"HP",0.292929292929293
"30",216,"HP",0.303030303030303
"31",216,"HP",0.313131313131313
"32",216,"HP",0.323232323232323
"33",216,"HP",0.333333333333333
"34",216,"HP",0.343434343434343
"35",216,"HP",0.353535353535354
"36",216,"HP",0.363636363636364
"37",216,"HP",0.373737373737374
"38",216,"HP",0.383838383838384
"39",216,"HP",0.393939393939394
"40",216,"HP",0.404040404040404
"41",216,"HP",0.414141414141414
"42",216,"HP",0.424242424242424
"43",216,"HP",0.434343434343434
"44",216,"HP",0.444444444444444
"45",216,"HP",0.454545454545455
"46",216,"HP",0.464646464646465
"47",216,"HP",0.474747474747475
"48",216,"HP",0.484848484848485
"49",216,"HP",0.494949494949495
"50",216,"HP",0.505050505050505
"51",216,"HP",0.515151515151515
"52",216,"HP",0.525252525252525
"53",216,"HP",0.535353535353535
"54",216,"HP",0.545454545454545
"55",216,"HP",0.555555555555556
"56",216,"HP",0.565656565656566
"57",216,"HP",0.575757575757576
"58",216,"HP",0.585858585858586
"59",216,"HP",0.595959595959596
"60",216,"HP",0.606060606060606
"61",216,"HP",0.616161616161616
"62",216,"HP",0.626262626262626
"63",216,"HP",0.636363636363636
"64",216,"HP",0.646464646464647
"65",216,"HP",0.656565656565657
"66",216,"HP",0.666666666666667
"67",216,"HP",0.676767676767677
"68",216,"HP",0.686868686868687
"69",216,"HP",0.696969696969697
"70",216,"HP",0.707070707070707
"71",216,"HP",0.717171717171717
"72",216,"HP",0.727272727272727
"73",216,"HP",0.737373737373737
"74",216,"HP",0.747474747474748
"75",216,"HP",0.757575757575758
"76",216,"HP",0.767676767676768
"77",216,"HP",0.777777777777778
"78",216,"HP",0.787878787878788
"79",216,"HP",0.797979797979798
"80",216,"HP",0.808080808080808
"81",216,"HP",0.818181818181818
"82",216,"HP",0.828282828282828
"83",216,"HP",0.838383838383838
"84",216,"HP",0.848484848484849
"85",216,"HP",0.858585858585859
"86",216,"HP",0.868686868686869
"87",216,"HP",0.878787878787879
"88",216,"HP",0.888888888888889
"89",216,"HP",0.898989898989899
"90",216,"HP",0.909090909090909
"91",216,"HP",0.919191919191919
"92",216,"HP",0.929292929292929
"93",216,"HP",0.939393939393939
"94",216,"HP",0.94949494949495
"95",216,"HP",0.95959595959596
"96",216,"HP",0.96969696969697
"97",216,"HP",0.97979797979798
"98",216,"HP",0.98989898989899
"99",216,"HP",1
"100",184,"PRA",0.0178571428571429
"101",196,"PRA",0.0357142857142857
"102",199,"PRA",0.0535714285714286
"103",201,"PRA",0.0714285714285714
"104",201,"PRA",0.0892857142857143
"105",202,"PRA",0.107142857142857
"106",205,"PRA",0.125
"107",205,"PRA",0.142857142857143
"108",206,"PRA",0.160714285714286
"109",214,"PRA",0.178571428571429
"110",214,"PRA",0.196428571428571
"111",214,"PRA",0.214285714285714
"112",214,"PRA",0.232142857142857
"113",214,"PRA",0.25
"114",214,"PRA",0.267857142857143
"115",214,"PRA",0.285714285714286
"116",214,"PRA",0.303571428571429
"117",214,"PRA",0.321428571428571
"118",214,"PRA",0.339285714285714
"119",214,"PRA",0.357142857142857
"120",214,"PRA",0.375
"121",214,"PRA",0.392857142857143
"122",214,"PRA",0.410714285714286
"123",214,"PRA",0.428571428571429
"124",214,"PRA",0.446428571428571
"125",214,"PRA",0.464285714285714
"126",214,"PRA",0.482142857142857
"127",214,"PRA",0.5
"128",214,"PRA",0.517857142857143
"129",215,"PRA",0.535714285714286
"130",216,"PRA",0.553571428571429
"131",216,"PRA",0.571428571428571
"132",216,"PRA",0.589285714285714
"133",216,"PRA",0.607142857142857
"134",216,"PRA",0.625
"135",216,"PRA",0.642857142857143
"136",217,"PRA",0.660714285714286
"137",217,"PRA",0.678571428571429
"138",217,"PRA",0.696428571428571
"139",217,"PRA",0.714285714285714
"140",217,"PRA",0.732142857142857
"141",217,"PRA",0.75
"142",217,"PRA",0.767857142857143
"143",217,"PRA",0.785714285714286
"144",217,"PRA",0.803571428571429
"145",217,"PRA",0.821428571428571
"146",217,"PRA",0.839285714285714
"147",217,"PRA",0.857142857142857
"148",217,"PRA",0.875
"149",217,"PRA",0.892857142857143
"150",217,"PRA",0.910714285714286
"151",217,"PRA",0.928571428571429
"152",217,"PRA",0.946428571428571
"153",217,"PRA",0.964285714285714
"154",217,"PRA",0.982142857142857
"155",217,"PRA",1
"156",185,"RA",0.00246305418719212
"157",185,"RA",0.00492610837438424
"158",185,"RA",0.00738916256157635
"159",189,"RA",0.00985221674876847
"160",191,"RA",0.0123152709359606
"161",211,"RA",0.0147783251231527
"162",211,"RA",0.0172413793103448
"163",212,"RA",0.0197044334975369
"164",213,"RA",0.0221674876847291
"165",213,"RA",0.0246305418719212
"166",214,"RA",0.0270935960591133
"167",214,"RA",0.0295566502463054
"168",215,"RA",0.0320197044334975
"169",215,"RA",0.0344827586206897
"170",215,"RA",0.0369458128078818
"171",215,"RA",0.0394088669950739
"172",215,"RA",0.041871921182266
"173",215,"RA",0.0443349753694581
"174",215,"RA",0.0467980295566502
"175",215,"RA",0.0492610837438424
"176",215,"RA",0.0517241379310345
"177",215,"RA",0.0541871921182266
"178",215,"RA",0.0566502463054187
"179",215,"RA",0.0591133004926108
"180",215,"RA",0.061576354679803
"181",215,"RA",0.0640394088669951
"182",215,"RA",0.0665024630541872
"183",215,"RA",0.0689655172413793
"184",215,"RA",0.0714285714285714
"185",215,"RA",0.0738916256157636
"186",215,"RA",0.0763546798029557
"187",215,"RA",0.0788177339901478
"188",215,"RA",0.0812807881773399
"189",215,"RA",0.083743842364532
"190",215,"RA",0.0862068965517241
"191",215,"RA",0.0886699507389163
"192",215,"RA",0.0911330049261084
"193",215,"RA",0.0935960591133005
"194",215,"RA",0.0960591133004926
"195",215,"RA",0.0985221674876847
"196",215,"RA",0.100985221674877
"197",215,"RA",0.103448275862069
"198",215,"RA",0.105911330049261
"199",215,"RA",0.108374384236453
"200",215,"RA",0.110837438423645
"201",215,"RA",0.113300492610837
"202",215,"RA",0.11576354679803
"203",215,"RA",0.118226600985222
"204",215,"RA",0.120689655172414
"205",216,"RA",0.123152709359606
"206",216,"RA",0.125615763546798
"207",216,"RA",0.12807881773399
"208",216,"RA",0.130541871921182
"209",216,"RA",0.133004926108374
"210",216,"RA",0.135467980295567
"211",216,"RA",0.137931034482759
"212",216,"RA",0.140394088669951
"213",216,"RA",0.142857142857143
"214",216,"RA",0.145320197044335
"215",216,"RA",0.147783251231527
"216",216,"RA",0.150246305418719
"217",216,"RA",0.152709359605911
