"","i","train_auc_clin","acc_train_clin","test_auc_clin","acc_test_clin","Sens_train","Spec_train","PPV_train","NPV_train","Sens_test","Spec_test","PPV_test","NPV_test"
"53",67,0.738721804511278,0.727272727272727,1,1,71.4,73.7,66.7,77.8,100,100,100,100
"54",69,0.783834586466165,0.787878787878788,0.895833333333333,0.857142857142857,78.6,78.9,73.3,83.3,100,75,75,100
"55",70,0.808270676691729,0.787878787878788,0.8125,0.857142857142857,78.6,78.9,73.3,83.3,83.3,87.5,83.3,87.5
"56",72,0.838345864661654,0.818181818181818,0.75,0.785714285714286,85.7,78.9,75,88.2,66.7,87.5,80,77.8
"57",73,0.821428571428571,0.818181818181818,0.854166666666667,0.857142857142857,78.6,84.2,78.6,84.2,83.3,87.5,83.3,87.5
"58",74,0.776315789473684,0.757575757575758,0.958333333333333,0.928571428571429,78.6,73.7,68.8,82.4,83.3,100,100,88.9
"59",75,0.804511278195489,0.787878787878788,0.833333333333333,0.857142857142857,78.6,78.9,73.3,83.3,83.3,87.5,83.3,87.5
"60",76,0.806390977443609,0.818181818181818,0.895833333333333,0.857142857142857,71.4,89.5,83.3,81,100,75,75,100
"61",78,0.828947368421053,0.848484848484849,0.8125,0.785714285714286,78.6,89.5,84.6,85,83.3,75,71.4,85.7
"62",79,0.847744360902256,0.818181818181818,0.729166666666667,0.785714285714286,85.7,78.9,75,88.2,66.7,87.5,80,77.8
"63",81,0.719924812030075,0.727272727272727,1,1,71.4,73.7,66.7,77.8,100,100,100,100
"64",82,0.866541353383459,0.909090909090909,0.8125,0.857142857142857,85.7,94.7,92.3,90,66.7,100,100,80
"65",83,0.906015037593985,0.848484848484849,0.604166666666667,0.714285714285714,100,73.7,73.7,100,33.3,100,100,66.7
"66",84,0.778195488721804,0.757575757575758,0.875,0.928571428571429,78.6,73.7,68.8,82.4,83.3,100,100,88.9
"67",85,0.796992481203007,0.787878787878788,0.875,0.857142857142857,78.6,78.9,73.3,83.3,83.3,87.5,83.3,87.5
"68",86,0.808270676691729,0.787878787878788,0.802083333333333,0.857142857142857,78.6,78.9,73.3,83.3,83.3,87.5,83.3,87.5
"69",87,0.845864661654135,0.848484848484849,0.729166666666667,0.785714285714286,85.7,84.2,80,88.9,66.7,87.5,80,77.8
"70",88,0.81390977443609,0.818181818181818,0.791666666666667,0.785714285714286,78.6,84.2,78.6,84.2,83.3,75,71.4,85.7
"71",89,0.75,0.727272727272727,0.916666666666667,0.928571428571429,71.4,73.7,66.7,77.8,100,87.5,85.7,100
"72",90,0.804511278195489,0.818181818181818,0.833333333333333,0.785714285714286,71.4,89.5,83.3,81,100,62.5,66.7,100
"73",91,0.894736842105263,0.848484848484849,0.625,0.714285714285714,85.7,84.2,80,88.9,66.7,75,66.7,75
"74",92,0.830827067669173,0.818181818181818,0.791666666666667,0.785714285714286,78.6,84.2,78.6,84.2,83.3,75,71.4,85.7
"75",93,0.868421052631579,0.848484848484849,0.78125,0.785714285714286,85.7,84.2,80,88.9,66.7,87.5,80,77.8
"76",95,0.906015037593985,0.878787878787879,0.572916666666667,0.642857142857143,92.9,84.2,81.2,94.1,50,75,60,66.7
"77",96,0.847744360902256,0.848484848484849,0.6875,0.714285714285714,78.6,89.5,84.6,85,83.3,62.5,62.5,83.3
"78",97,0.868421052631579,0.848484848484849,0.729166666666667,0.785714285714286,85.7,84.2,80,88.9,50,100,100,72.7
"79",98,0.825187969924812,0.787878787878788,0.854166666666667,0.857142857142857,78.6,78.9,73.3,83.3,83.3,87.5,83.3,87.5
"80",99,0.840225563909774,0.848484848484849,0.770833333333333,0.785714285714286,85.7,84.2,80,88.9,83.3,75,71.4,85.7
"81",100,0.787593984962406,0.757575757575758,0.895833333333333,0.928571428571429,78.6,73.7,68.8,82.4,83.3,100,100,88.9
