"iter","model","nri_value","nri_ci","nri_p","idi_value","idi_ci","idi_p"
79,"train_clin","0.1767","-0.0998 - 0.4532","0.21036","0.2626","0.1414 - 0.3838","2e-05"
8,"train_clin","0.3008","0.0548 - 0.5467","0.01654","0.3346","0.225 - 0.4441","0"
81,"train_clin","0.4248","0.0798 - 0.7698","0.01579","0.4679","0.3442 - 0.5916","0"
82,"train_clin","0.1241","-0.1357 - 0.3838","0.34925","0.3193","0.1939 - 0.4447","0"
83,"train_clin","0.0338","-0.1591 - 0.2268","0.73112","0.1693","0.0663 - 0.2722","0.00127"
84,"train_clin","0.3008","-0.015 - 0.6165","0.0619","0.3276","0.2183 - 0.437","0"
85,"train_clin","0.3008","-0.015 - 0.6165","0.0619","0.3728","0.2404 - 0.5051","0"
86,"train_clin","0.3008","-0.015 - 0.6165","0.0619","0.2593","0.1368 - 0.3819","3e-05"
87,"train_clin","0.1241","-0.1739 - 0.422","0.41442","0.3005","0.1821 - 0.4188","0"
88,"train_clin","0.1955","-0.0924 - 0.4834","0.18322","0.2745","0.1504 - 0.3985","1e-05"
89,"train_clin","0.3722","0.0067 - 0.7376","0.04593","0.4964","0.3626 - 0.6302","0"
90,"train_clin","0.2669","-0.0421 - 0.5759","0.09044","0.2906","0.1618 - 0.4193","1e-05"
91,"train_clin","0.1767","-0.0998 - 0.4532","0.21036","0.2512","0.1291 - 0.3732","6e-05"
92,"train_clin","0.1955","-0.0924 - 0.4834","0.18322","0.2858","0.165 - 0.4065","0"
93,"train_clin","0.1767","-0.0998 - 0.4532","0.21036","0.2766","0.1455 - 0.4077","4e-05"
95,"train_clin","0.0526","-0.0478 - 0.153","0.30423","0.1403","0.0644 - 0.2163","0.00029"
96,"train_clin","0.1429","-0.1639 - 0.4496","0.36132","0.2394","0.1236 - 0.3552","5e-05"
97,"train_clin","0.1767","-0.0998 - 0.4532","0.21036","0.2841","0.1432 - 0.425","8e-05"
98,"train_clin","0.3722","0.1018 - 0.6425","0.00697","0.3926","0.2639 - 0.5214","0"
99,"train_clin","0.1767","-0.0998 - 0.4532","0.21036","0.291","0.1744 - 0.4076","0"
