"","i","train_auc_full","acc_train_full","test_auc_full","acc_test_full","Sens_train","Spec_train","PPV_train","NPV_train","Sens_test","Spec_test","PPV_test","NPV_test"
"51",64,0.969924812030075,0.939393939393939,0.916666666666667,0.857142857142857,100,89.5,87.5,100,83.3,87.5,83.3,87.5
"52",66,0.969924812030075,0.939393939393939,0.916666666666667,0.857142857142857,92.9,94.7,92.9,94.7,100,75,75,100
"53",67,0.962406015037594,0.96969696969697,0.958333333333333,0.928571428571429,92.9,100,100,95,100,87.5,85.7,100
"54",69,0.988721804511278,0.96969696969697,0.958333333333333,0.928571428571429,100,94.7,93.3,100,100,87.5,85.7,100
"55",70,0.962406015037594,0.939393939393939,0.916666666666667,0.857142857142857,92.9,94.7,92.9,94.7,83.3,87.5,83.3,87.5
"56",72,0.984962406015038,0.96969696969697,0.895833333333333,0.857142857142857,92.9,100,100,95,66.7,100,100,80
"57",73,0.977443609022556,0.96969696969697,0.854166666666667,0.857142857142857,92.9,100,100,95,83.3,87.5,83.3,87.5
"58",74,0.977443609022556,0.96969696969697,0.895833333333333,0.928571428571429,100,94.7,93.3,100,83.3,100,100,88.9
"59",75,0.981203007518797,0.939393939393939,0.9375,0.928571428571429,100,89.5,87.5,100,83.3,100,100,88.9
"60",76,0.992481203007519,0.96969696969697,0.916666666666667,0.857142857142857,92.9,100,100,95,100,75,75,100
"61",78,0.981203007518797,0.96969696969697,0.9375,0.928571428571429,92.9,100,100,95,83.3,100,100,88.9
"62",79,0.969924812030075,0.909090909090909,0.979166666666667,0.928571428571429,92.9,89.5,86.7,94.4,100,87.5,85.7,100
"63",81,0.962406015037594,0.96969696969697,0.916666666666667,0.857142857142857,92.9,100,100,95,100,75,75,100
"64",82,0.981203007518797,0.96969696969697,0.958333333333333,0.928571428571429,92.9,100,100,95,83.3,100,100,88.9
"65",83,0.969924812030075,0.939393939393939,0.770833333333333,0.785714285714286,92.9,94.7,92.9,94.7,50,100,100,72.7
"66",84,0.988721804511278,0.939393939393939,0.791666666666667,0.785714285714286,100,89.5,87.5,100,83.3,75,71.4,85.7
"67",85,0.962406015037594,0.939393939393939,0.979166666666667,0.928571428571429,92.9,94.7,92.9,94.7,100,87.5,85.7,100
"68",86,0.954887218045113,0.939393939393939,0.9375,0.928571428571429,92.9,94.7,92.9,94.7,100,87.5,85.7,100
"69",87,0.962406015037594,0.96969696969697,0.854166666666667,0.857142857142857,92.9,100,100,95,100,75,75,100
"70",88,0.962406015037594,0.909090909090909,0.916666666666667,0.928571428571429,92.9,89.5,86.7,94.4,83.3,100,100,88.9
"71",89,0.966165413533835,0.96969696969697,0.8125,0.785714285714286,92.9,100,100,95,83.3,75,71.4,85.7
