"iter","model","nri_value","nri_ci","nri_p","idi_value","idi_ci","idi_p"
26,"test_full","0.5","0.0999 - 0.9001","0.01431","0.2745","-0.0462 - 0.5952","0.09338"
26,"train_clin","0.1767","-0.0998 - 0.4532","0.21036","0.257","0.1618 - 0.3522","0"
26,"train_full","0.3383","0.0428 - 0.6339","0.02486","0.257","0.1618 - 0.3522","0"
27,"test_clin","-0.0417","-0.6374 - 0.554","0.89096","0.0979","-0.1136 - 0.3093","0.3644"
27,"test_full","0","-0.5775 - 0.5775","1","0.0979","-0.1136 - 0.3093","0.3644"
27,"train_clin","0.2481","-0.0549 - 0.5512","0.10856","0.2091","0.0905 - 0.3277","0.00055"
27,"train_full","0.5113","0.192 - 0.8305","0.0017","0.2091","0.0905 - 0.3277","0.00055"
28,"test_clin","-0.1667","-0.6238 - 0.2905","0.47486","0.1705","0.0692 - 0.2717","0.00097"
28,"test_full","0.2917","-0.2197 - 0.803","0.2636","0.1705","0.0692 - 0.2717","0.00097"
28,"train_clin","0.1241","-0.2026 - 0.4507","0.4566","0.2354","0.1157 - 0.3551","0.00012"
28,"train_full","0.5113","0.2273 - 0.7953","0.00042","0.2354","0.1157 - 0.3551","0.00012"
3,"test_clin","-0.2083","-0.6497 - 0.233","0.35488","0.1971","-0.0367 - 0.431","0.09848"
3,"test_full","0.2083","-0.2405 - 0.6572","0.36297","0.1971","-0.0367 - 0.431","0.09848"
3,"train_clin","0.3195","-0.0036 - 0.6427","0.05262","0.3838","0.2643 - 0.5033","0"
3,"train_full","0.4812","0.2032 - 0.7592","0.00069","0.3838","0.2643 - 0.5033","0"
30,"test_clin","0.1667","-0.3832 - 0.7165","0.55245","0.1701","0.0093 - 0.331","0.0382"
30,"test_full","0.2083","-0.233 - 0.6497","0.35488","0.1701","0.0093 - 0.331","0.0382"
30,"train_clin","0.2293","-0.061 - 0.5196","0.12157","0.2084","0.1134 - 0.3034","2e-05"
30,"train_full","0.4436","0.1557 - 0.7315","0.00253","0.2084","0.1134 - 0.3034","2e-05"
31,"test_clin","0.1667","-0.1315 - 0.4649","0.27332","0.2444","0.0263 - 0.4625","0.02808"
31,"test_full","0.625","0.1639 - 1.0861","0.00789","0.2444","0.0263 - 0.4625","0.02808"
