"i","train_auc_full","acc_train_full","test_auc_full","acc_test_full","train_cutoff_full","test_cutoff_full","Sens_train","Spec_train","PPV_train","NPV_train","Sens_test","Spec_test","PPV_test","NPV_test"
1,0.913533834586466,0.848484848484849,0.833333333333333,0.857142857142857,0.394192070391877,0.334185019196876,78.6,89.5,84.6,85,83.3,87.5,83.3,87.5
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.898496240601504,0.848484848484849,0.958333333333333,0.928571428571429,0.394674774390444,0.734794586534643,92.9,78.9,76.5,93.8,83.3,100,100,88.9
4,0.879699248120301,0.818181818181818,0.916666666666667,0.857142857142857,0.381155469778059,0.334744406729631,78.6,84.2,78.6,84.2,100,75,75,100
5,0.887218045112782,0.818181818181818,0.875,0.857142857142857,0.364281901934621,0.385851824716024,92.9,73.7,72.2,93.3,83.3,87.5,83.3,87.5
6,0.93984962406015,0.909090909090909,0.75,0.714285714285714,0.357872851632706,0.302504742159859,92.9,89.5,86.7,94.4,100,50,60,100
7,0.902255639097744,0.848484848484849,0.833333333333333,0.785714285714286,0.449748864754217,0.322060876639957,78.6,89.5,84.6,85,100,62.5,66.7,100
8,0.902255639097744,0.848484848484849,0.875,0.785714285714286,0.383388348574936,0.33707459888648,92.9,78.9,76.5,93.8,100,62.5,66.7,100
9,0.87593984962406,0.848484848484849,0.958333333333333,0.928571428571429,0.47657342726849,0.349099318923012,71.4,94.7,90.9,81.8,83.3,100,100,88.9
10,0.924812030075188,0.848484848484849,0.9375,0.857142857142857,0.436271297924407,0.648347839111899,85.7,84.2,80,88.9,100,75,75,100
11,0.906015037593985,0.878787878787879,0.895833333333333,0.857142857142857,0.383938253913713,0.374168203634689,92.9,84.2,81.2,94.1,100,75,75,100
12,0.93984962406015,0.878787878787879,0.895833333333333,0.857142857142857,0.3011998565948,0.792395552002429,100,78.9,77.8,100,83.3,87.5,83.3,87.5
13,0.958646616541353,0.909090909090909,0.8125,0.785714285714286,0.348763813872057,0.559242087121433,100,84.2,82.4,100,66.7,87.5,80,77.8
14,0.93609022556391,0.848484848484849,0.75,0.785714285714286,0.35319058849732,0.462616023807329,92.9,78.9,76.5,93.8,66.7,87.5,80,77.8
15,0.902255639097744,0.818181818181818,0.854166666666667,0.857142857142857,0.344790154860498,0.580019696197342,100,68.4,70,100,66.7,100,100,80
16,0.890977443609023,0.818181818181818,0.958333333333333,0.928571428571429,0.308423198023239,0.403936947327205,92.9,73.7,72.2,93.3,83.3,100,100,88.9
17,0.898496240601504,0.848484848484849,0.833333333333333,0.785714285714286,0.48930627192035,0.417493672087077,78.6,89.5,84.6,85,83.3,75,71.4,85.7
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0.932330827067669,0.878787878787879,0.833333333333333,0.785714285714286,0.430756595940238,0.233934204773733,85.7,89.5,85.7,89.5,83.3,75,71.4,85.7
20,0.87593984962406,0.818181818181818,0.958333333333333,0.928571428571429,0.360079985973124,0.527514420196639,92.9,73.7,72.2,93.3,100,87.5,85.7,100
21,0.951127819548872,0.909090909090909,0.708333333333333,0.785714285714286,0.366356395817566,0.514577791311237,100,84.2,82.4,100,66.7,87.5,80,77.8
22,0.868421052631579,0.787878787878788,0.979166666666667,0.928571428571429,0.319254411182395,0.332199298022722,100,63.2,66.7,100,100,87.5,85.7,100
23,0.943609022556391,0.878787878787879,0.8125,0.785714285714286,0.423481480569286,0.203326987911338,92.9,84.2,81.2,94.1,100,62.5,66.7,100
24,0.969924812030075,0.939393939393939,0.708333333333333,0.714285714285714,0.32695454071632,0.0888491346359456,100,89.5,87.5,100,100,50,60,100
25,0.93984962406015,0.878787878787879,0.8125,0.785714285714286,0.329906984762386,0.799104797895995,92.9,84.2,81.2,94.1,66.7,87.5,80,77.8
26,0.87218045112782,0.818181818181818,0.9375,0.857142857142857,0.383309047318992,0.342040221362342,85.7,78.9,75,88.2,100,75,75,100
27,0.890977443609023,0.848484848484849,0.875,0.857142857142857,0.465783357212025,0.35402528082452,78.6,89.5,84.6,85,100,75,75,100
28,0.913533834586466,0.878787878787879,0.854166666666667,0.857142857142857,0.354156568452898,0.493872111805848,100,78.9,77.8,100,83.3,87.5,83.3,87.5
29,0.879699248120301,0.787878787878788,0.9375,0.928571428571429,0.329188570648972,0.451909248275378,92.9,68.4,68.4,92.9,100,87.5,85.7,100
30,0.917293233082707,0.848484848484849,0.916666666666667,0.857142857142857,0.357271893406891,0.268219301530236,85.7,84.2,80,88.9,100,75,75,100
31,0.943609022556391,0.878787878787879,0.8125,0.785714285714286,0.3419830627954,0.614437453532519,100,78.9,77.8,100,83.3,75,71.4,85.7
32,0.947368421052632,0.909090909090909,0.8125,0.785714285714286,0.429357084648436,0.820299683608666,92.9,89.5,86.7,94.4,66.7,87.5,80,77.8
