"i","train_auc_full","acc_train_full","test_auc_full","acc_test_full","train_cutoff_full","test_cutoff_full","Sens_train","Spec_train","PPV_train","NPV_train","Sens_test","Spec_test","PPV_test","NPV_test"
1,0.992481203007519,0.96969696969697,0.9375,0.857142857142857,0.451373205832511,0.386683754663721,92.9,100,100,95,100,75,75,100
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.984962406015038,0.939393939393939,0.8125,0.785714285714286,0.402502332233708,0.413297314060428,100,89.5,87.5,100,100,62.5,66.7,100
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.996240601503759,0.96969696969697,0.9375,0.928571428571429,0.429273068333769,0.450355563748706,100,94.7,93.3,100,100,87.5,85.7,100
6,0.984962406015038,0.939393939393939,0.895833333333333,0.857142857142857,0.42194525862619,0.452750213870316,100,89.5,87.5,100,66.7,100,100,80
7,0.996240601503759,0.96969696969697,0.958333333333333,0.928571428571429,0.419885025425646,0.399654217273873,100,94.7,93.3,100,100,87.5,85.7,100
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,0.996240601503759,0.96969696969697,0.770833333333333,0.714285714285714,0.410902612744659,0.390718094118912,100,94.7,93.3,100,100,50,60,100
15,0.992481203007519,0.96969696969697,0.791666666666667,0.785714285714286,0.447688593329308,0.476588110150919,92.9,100,100,95,66.7,87.5,80,77.8
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0.984962406015038,0.939393939393939,0.833333333333333,0.785714285714286,0.411592838532397,0.396426251655637,100,89.5,87.5,100,100,62.5,66.7,100
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
