"i","train_auc_full","acc_train_full","test_auc_full","acc_test_full","train_cutoff_full","test_cutoff_full","Sens_train","Spec_train","PPV_train","NPV_train","Sens_test","Spec_test","PPV_test","NPV_test"
1,0.857142857142857,0.787878787878788,0.875,0.857142857142857,0.349613638358354,0.240798864349423,85.7,73.7,70.6,87.5,100,75,75,100
2,0.849624060150376,0.757575757575758,0.895833333333333,0.857142857142857,0.3265003068867,0.415489934711294,92.9,63.2,65,92.3,83.3,87.5,83.3,87.5
3,0.857142857142857,0.787878787878788,0.916666666666667,0.857142857142857,0.357006197736411,0.632789024806458,92.9,68.4,68.4,92.9,83.3,87.5,83.3,87.5
4,0.868421052631579,0.787878787878788,0.770833333333333,0.785714285714286,0.344032235806401,0.531411876628245,92.9,68.4,68.4,92.9,66.7,87.5,80,77.8
5,0.853383458646617,0.818181818181818,0.895833333333333,0.857142857142857,0.422929981366961,0.417193057874974,78.6,84.2,78.6,84.2,83.3,87.5,83.3,87.5
6,0.890977443609023,0.848484848484849,0.729166666666667,0.714285714285714,0.513048306582321,0.294627332615395,71.4,94.7,90.9,81.8,83.3,62.5,62.5,83.3
7,0.879699248120301,0.818181818181818,0.791666666666667,0.785714285714286,0.421738925132544,0.330032282550167,78.6,84.2,78.6,84.2,83.3,75,71.4,85.7
8,0.860902255639098,0.818181818181818,0.8125,0.785714285714286,0.435334984613215,0.306550683568668,78.6,84.2,78.6,84.2,83.3,75,71.4,85.7
9,0.849624060150376,0.787878787878788,0.895833333333333,0.857142857142857,0.398586421012397,0.369145548643363,85.7,73.7,70.6,87.5,83.3,87.5,83.3,87.5
10,0.864661654135338,0.818181818181818,0.833333333333333,0.785714285714286,0.505883778083387,0.50659085043407,64.3,94.7,90,78.3,100,62.5,66.7,100
11,0.834586466165414,0.757575757575758,0.979166666666667,0.928571428571429,0.358631254758781,0.450767225006927,85.7,68.4,66.7,86.7,100,87.5,85.7,100
12,0.834586466165414,0.787878787878788,0.895833333333333,0.857142857142857,0.400972134286084,0.462961403812847,85.7,73.7,70.6,87.5,100,75,75,100
13,0.93609022556391,0.909090909090909,0.770833333333333,0.714285714285714,0.443421173330691,0.102244961460726,92.9,89.5,86.7,94.4,100,50,60,100
14,0.902255639097744,0.848484848484849,0.666666666666667,0.714285714285714,0.368792634278266,0.467849372623516,92.9,78.9,76.5,93.8,66.7,75,66.7,75
15,0.864661654135338,0.787878787878788,0.708333333333333,0.857142857142857,0.273890426886686,0.637678691049544,100,63.2,66.7,100,66.7,100,100,80
16,0.87218045112782,0.787878787878788,0.833333333333333,0.785714285714286,0.282047389688786,0.422776579661806,100,63.2,66.7,100,66.7,87.5,80,77.8
17,0.868421052631579,0.848484848484849,0.791666666666667,0.785714285714286,0.448027148773142,0.678030774717098,78.6,89.5,84.6,85,50,100,100,72.7
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0.898496240601504,0.848484848484849,0.75,0.785714285714286,0.415601668469336,0.194065351433862,92.9,78.9,76.5,93.8,100,62.5,66.7,100
20,0.834586466165414,0.757575757575758,0.9375,0.857142857142857,0.348251026119227,0.470901889075072,92.9,63.2,65,92.3,100,75,75,100
21,0.909774436090226,0.878787878787879,0.708333333333333,0.785714285714286,0.428819756584567,0.774100596083637,85.7,89.5,85.7,89.5,50,100,100,72.7
22,0.796992481203007,0.787878787878788,0.9375,0.928571428571429,0.417161171058052,0.623310702953013,85.7,73.7,70.6,87.5,83.3,100,100,88.9
23,0.906015037593985,0.848484848484849,0.729166666666667,0.642857142857143,0.406692878261384,0.188970873884919,92.9,78.9,76.5,93.8,100,37.5,54.5,100
24,0.951127819548872,0.939393939393939,0.5,0.642857142857143,0.418027443710193,0.961258513376685,92.9,94.7,92.9,94.7,16.7,100,100,61.5
25,0.924812030075188,0.848484848484849,0.666666666666667,0.714285714285714,0.264064866761241,0.908430096829985,100,73.7,73.7,100,50,87.5,75,70
26,0.834586466165414,0.787878787878788,0.875,0.857142857142857,0.427577131081464,0.382110253034832,71.4,84.2,76.9,80,83.3,87.5,83.3,87.5
27,0.857142857142857,0.757575757575758,0.875,0.857142857142857,0.299417227694891,0.424898449571401,100,57.9,63.6,100,83.3,87.5,83.3,87.5
28,0.834586466165414,0.787878787878788,0.895833333333333,0.857142857142857,0.43091860788226,0.499611922714506,71.4,84.2,76.9,80,66.7,100,100,80
29,0.838345864661654,0.757575757575758,0.916666666666667,0.857142857142857,0.29580964457042,0.451594550783651,100,57.9,63.6,100,83.3,87.5,83.3,87.5
30,0.887218045112782,0.848484848484849,0.833333333333333,0.785714285714286,0.531193659516044,0.216700027348236,71.4,94.7,90.9,81.8,100,62.5,66.7,100
31,0.913533834586466,0.818181818181818,0.75,0.785714285714286,0.320517038261106,0.963983805330944,92.9,73.7,72.2,93.3,50,100,100,72.7
32,0.906015037593985,0.848484848484849,0.708333333333333,0.714285714285714,0.492194864908362,0.765248355513775,78.6,89.5,84.6,85,50,87.5,75,70
33,0.842105263157895,0.787878787878788,0.791666666666667,0.857142857142857,0.410161750526006,0.495825522489292,78.6,78.9,73.3,83.3,66.7,100,100,80
34,0.890977443609023,0.878787878787879,0.708333333333333,0.714285714285714,0.447880035690374,0.339096479367587,78.6,94.7,91.7,85.7,66.7,75,66.7,75
35,0.887218045112782,0.848484848484849,0.791666666666667,0.857142857142857,0.310005215296922,0.664333092716263,100,73.7,73.7,100,66.7,100,100,80
36,0.879699248120301,0.818181818181818,0.8125,0.785714285714286,0.445956056884045,0.280124115552069,78.6,84.2,78.6,84.2,83.3,75,71.4,85.7
37,0.879699248120301,0.818181818181818,0.854166666666667,0.857142857142857,0.31578491388068,0.45172310846144,100,68.4,70,100,83.3,87.5,83.3,87.5
38,0.842105263157895,0.818181818181818,0.916666666666667,0.928571428571429,0.442746875337727,0.741987392508102,78.6,84.2,78.6,84.2,83.3,100,100,88.9
39,0.857142857142857,0.818181818181818,0.833333333333333,0.857142857142857,0.573953935550086,0.418937785395611,64.3,94.7,90,78.3,100,75,75,100
