"i","train_auc_full","acc_train_full","test_auc_full","acc_test_full","train_cutoff_full","test_cutoff_full","Sens_train","Spec_train","PPV_train","NPV_train","Sens_test","Spec_test","PPV_test","NPV_test"
1,0.969924812030075,0.939393939393939,0.916666666666667,0.928571428571429,0.511851638775132,0.28000868242257,92.9,94.7,92.9,94.7,100,87.5,85.7,100
2,0.966165413533835,0.939393939393939,0.895833333333333,0.928571428571429,0.593716257011081,0.684140816135857,92.9,94.7,92.9,94.7,83.3,100,100,88.9
3,0.988721804511278,0.96969696969697,0.895833333333333,0.857142857142857,0.602265990244842,0.468885031363713,92.9,100,100,95,83.3,87.5,83.3,87.5
4,0.973684210526316,0.939393939393939,0.833333333333333,0.857142857142857,0.533283540400517,0.540740563934726,92.9,94.7,92.9,94.7,83.3,87.5,83.3,87.5
5,0.981203007518797,0.96969696969697,0.895833333333333,0.928571428571429,0.519575823540642,0.693581279788758,100,94.7,93.3,100,83.3,100,100,88.9
6,0.981203007518797,0.96969696969697,0.854166666666667,0.857142857142857,0.454073685629127,0.244648614717495,100,94.7,93.3,100,100,75,75,100
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.981203007518797,0.96969696969697,0.916666666666667,0.928571428571429,0.47149433828191,0.74205344569553,100,94.7,93.3,100,83.3,100,100,88.9
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,0.984962406015038,0.96969696969697,0.958333333333333,0.928571428571429,0.629756226573041,0.908823310904104,92.9,100,100,95,83.3,100,100,88.9
11,0.954887218045113,0.909090909090909,0.958333333333333,0.928571428571429,0.41690904701428,0.591714908824978,92.9,89.5,86.7,94.4,83.3,100,100,88.9
12,0.973684210526316,0.939393939393939,0.979166666666667,0.928571428571429,0.534967874836475,0.776904331654397,92.9,94.7,92.9,94.7,100,87.5,85.7,100
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,0.984962406015038,0.939393939393939,0.916666666666667,0.928571428571429,0.466414935585668,0.321153929683303,92.9,94.7,92.9,94.7,100,87.5,85.7,100
15,0.966165413533835,0.909090909090909,0.9375,0.928571428571429,0.429949613156818,0.60198257692352,92.9,89.5,86.7,94.4,83.3,100,100,88.9
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0.984962406015038,0.939393939393939,0.895833333333333,0.857142857142857,0.333341810840665,0.561407597673499,100,89.5,87.5,100,83.3,87.5,83.3,87.5
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0.992481203007519,0.96969696969697,0.833333333333333,0.857142857142857,0.453688895371626,0.505974548508759,100,94.7,93.3,100,66.7,100,100,80
20,0.962406015037594,0.939393939393939,0.916666666666667,0.928571428571429,0.580164045109654,0.811969283048311,92.9,94.7,92.9,94.7,83.3,100,100,88.9
21,0.981203007518797,0.939393939393939,0.833333333333333,0.785714285714286,0.502512461942834,0.283676516228911,92.9,94.7,92.9,94.7,100,62.5,66.7,100
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0.981203007518797,0.96969696969697,0.9375,0.857142857142857,0.57475575768705,0.121653525262896,100,94.7,93.3,100,100,75,75,100
24,0.977443609022556,0.939393939393939,0.729166666666667,0.714285714285714,0.536884630491076,0.237612229600091,92.9,94.7,92.9,94.7,66.7,75,66.7,75
25,0.984962406015038,0.96969696969697,0.916666666666667,0.857142857142857,0.670477895963786,0.37035103672549,92.9,100,100,95,100,75,75,100
26,0.943609022556391,0.878787878787879,0.916666666666667,0.928571428571429,0.430765241697081,0.658654677642675,92.9,84.2,81.2,94.1,83.3,100,100,88.9
27,0.962406015037594,0.909090909090909,0.916666666666667,0.857142857142857,0.27143889483711,0.370600893353375,100,84.2,82.4,100,83.3,87.5,83.3,87.5
28,0.951127819548872,0.939393939393939,0.958333333333333,0.928571428571429,0.308285461191327,0.438192236216379,100,89.5,87.5,100,100,87.5,85.7,100
29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.93984962406015,0.909090909090909,0.979166666666667,0.928571428571429,0.402586506637247,0.389569218198369,92.9,89.5,86.7,94.4,100,87.5,85.7,100
31,0.988721804511278,0.96969696969697,0.916666666666667,0.857142857142857,0.63761787497012,0.574732263493942,92.9,100,100,95,100,75,75,100
32,0.977443609022556,0.939393939393939,0.916666666666667,0.857142857142857,0.480764087604614,0.60249724414639,92.9,94.7,92.9,94.7,83.3,87.5,83.3,87.5
33,0.962406015037594,0.878787878787879,0.979166666666667,0.928571428571429,0.284873155866479,0.400452864283487,100,78.9,77.8,100,100,87.5,85.7,100
34,0.984962406015038,0.939393939393939,0.916666666666667,0.928571428571429,0.334065024014479,0.371047750655802,100,89.5,87.5,100,100,87.5,85.7,100
