"i","train_auc_full","acc_train_full","test_auc_full","acc_test_full","train_cutoff_full","test_cutoff_full","Sens_train","Spec_train","PPV_train","NPV_train","Sens_test","Spec_test","PPV_test","NPV_test"
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.992481203007519,0.96969696969697,0.895833333333333,0.928571428571429,0.492842433090213,0.671537121764914,100,94.7,93.3,100,83.3,100,100,88.9
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.992481203007519,0.96969696969697,0.854166666666667,0.928571428571429,0.449954002051838,0.686436387643116,100,94.7,93.3,100,83.3,100,100,88.9
5,0.984962406015038,0.96969696969697,0.979166666666667,0.928571428571429,0.494582971066749,0.365713491956056,100,94.7,93.3,100,100,87.5,85.7,100
6,0.984962406015038,0.939393939393939,0.895833333333333,0.928571428571429,0.36796715911901,0.449195932774389,100,89.5,87.5,100,100,87.5,85.7,100
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.984962406015038,0.939393939393939,0.958333333333333,0.928571428571429,0.344177624652387,0.386095941030865,100,89.5,87.5,100,100,87.5,85.7,100
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,0.988721804511278,0.96969696969697,0.9375,0.928571428571429,0.390953073209076,0.712912429036847,100,94.7,93.3,100,83.3,100,100,88.9
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0.996240601503759,0.96969696969697,0.9375,0.928571428571429,0.469691378906633,0.305785434585978,100,94.7,93.3,100,100,87.5,85.7,100
18,0.996240601503759,0.96969696969697,0.8125,0.785714285714286,0.421721572149984,0.0552673941383506,100,94.7,93.3,100,100,62.5,66.7,100
19,0.984962406015038,0.939393939393939,0.958333333333333,0.928571428571429,0.385896679205132,0.46218899751002,100,89.5,87.5,100,83.3,100,100,88.9
