"i","train_auc_full","acc_train_full","test_auc_full","acc_test_full","train_cutoff_full","test_cutoff_full","Sens_train","Spec_train","PPV_train","NPV_train","Sens_test","Spec_test","PPV_test","NPV_test"
1,0.93609022556391,0.848484848484849,0.854166666666667,0.857142857142857,0.333591495967816,0.204034694992816,92.9,78.9,76.5,93.8,100,75,75,100
2,0.887218045112782,0.818181818181818,0.9375,0.928571428571429,0.298235539472799,0.488886946223221,100,68.4,70,100,83.3,100,100,88.9
3,0.909774436090226,0.848484848484849,0.958333333333333,0.928571428571429,0.364131462194122,0.753081152660406,92.9,78.9,76.5,93.8,83.3,100,100,88.9
4,0.898496240601504,0.848484848484849,0.854166666666667,0.785714285714286,0.279322055804547,0.221599988519198,100,73.7,73.7,100,100,62.5,66.7,100
5,0.890977443609023,0.848484848484849,0.9375,0.928571428571429,0.395804825509861,0.410342381139515,92.9,78.9,76.5,93.8,83.3,100,100,88.9
6,0.93984962406015,0.878787878787879,0.833333333333333,0.857142857142857,0.34537791549908,0.403874632112974,92.9,84.2,81.2,94.1,83.3,87.5,83.3,87.5
7,0.902255639097744,0.818181818181818,0.895833333333333,0.857142857142857,0.302934229638655,0.356398184656338,100,68.4,70,100,100,75,75,100
8,0.902255639097744,0.848484848484849,0.854166666666667,0.785714285714286,0.39839683167005,0.344332323724318,85.7,84.2,80,88.9,100,62.5,66.7,100
9,0.902255639097744,0.848484848484849,0.9375,0.928571428571429,0.368914384173288,0.366736694633764,92.9,78.9,76.5,93.8,83.3,100,100,88.9
10,0.924812030075188,0.848484848484849,0.916666666666667,0.857142857142857,0.340249265160095,0.759329077534311,100,73.7,73.7,100,83.3,87.5,83.3,87.5
11,0.921052631578947,0.848484848484849,0.833333333333333,0.785714285714286,0.445691085478712,0.424926009371409,85.7,84.2,80,88.9,83.3,75,71.4,85.7
12,0.928571428571429,0.848484848484849,0.895833333333333,0.857142857142857,0.320406611053167,0.730192123850858,100,73.7,73.7,100,83.3,87.5,83.3,87.5
13,0.951127819548872,0.939393939393939,0.833333333333333,0.785714285714286,0.401550768142709,0.136547125080885,100,89.5,87.5,100,100,62.5,66.7,100
14,0.943609022556391,0.878787878787879,0.729166666666667,0.714285714285714,0.338671607304084,0.178050244485856,100,78.9,77.8,100,100,50,60,100
15,0.902255639097744,0.818181818181818,0.854166666666667,0.857142857142857,0.357311278643964,0.554858335419447,100,68.4,70,100,66.7,100,100,80
16,0.879699248120301,0.818181818181818,0.979166666666667,0.928571428571429,0.430968943893611,0.31340971890462,85.7,78.9,75,88.2,100,87.5,85.7,100
17,0.909774436090226,0.848484848484849,0.854166666666667,0.785714285714286,0.382642180081776,0.396753911482774,92.9,78.9,76.5,93.8,100,62.5,66.7,100
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0.93609022556391,0.909090909090909,0.833333333333333,0.785714285714286,0.38137852188709,0.238290103021064,100,84.2,82.4,100,100,62.5,66.7,100
20,0.868421052631579,0.787878787878788,0.958333333333333,0.928571428571429,0.33316934660775,0.410974729102936,100,63.2,66.7,100,100,87.5,85.7,100
21,0.951127819548872,0.909090909090909,0.708333333333333,0.714285714285714,0.329993173750127,0.427324146319451,100,84.2,82.4,100,66.7,75,66.7,75
22,0.864661654135338,0.787878787878788,0.958333333333333,0.928571428571429,0.349560937484114,0.578764230809267,100,63.2,66.7,100,83.3,100,100,88.9
23,0.947368421052632,0.909090909090909,0.833333333333333,0.785714285714286,0.363208844275667,0.213611898736085,100,84.2,82.4,100,100,62.5,66.7,100
24,0.969924812030075,0.939393939393939,0.708333333333333,0.714285714285714,0.325776500155178,0.0913521092779516,100,89.5,87.5,100,100,50,60,100
