FeatureCount,train_auc_full.median,train_auc_full.min,train_auc_full.max,acc_train_full.median,acc_train_full.min,acc_train_full.max,test_auc_full.median,test_auc_full.min,test_auc_full.max,acc_test_full.median,acc_test_full.min,acc_test_full.max,train_cutoff_full.median,train_cutoff_full.min,train_cutoff_full.max,test_cutoff_full.median,test_cutoff_full.min,test_cutoff_full.max,Sens_train.median,Sens_train.min,Sens_train.max,Spec_train.median,Spec_train.min,Spec_train.max,PPV_train.median,PPV_train.min,PPV_train.max,NPV_train.median,NPV_train.min,NPV_train.max,Sens_test.median,Sens_test.min,Sens_test.max,Spec_test.median,Spec_test.min,Spec_test.max,PPV_test.median,PPV_test.min,PPV_test.max,NPV_test.median,NPV_test.min,NPV_test.max
1,0.868421053,0.766917293,0.969924812,0.818181818,0.727272727,0.939393939,0.822916667,0.5,0.979166667,0.785714286,0.642857143,0.928571429,0.411097705,0.264064867,0.633689602,0.42597119,0.07141063,0.963983805,85.7,57.1,100,78.9,57.9,100,76.5,61.9,100,88.2,76,100,83.3,16.7,100,87.5,37.5,100,80,54.5,100,87.5,61.5,100
2,0.913533835,0.860902256,0.981203008,0.848484848,0.757575758,0.939393939,0.875,0.541666667,0.979166667,0.857142857,0.642857143,0.928571429,0.383348698,0.279192207,0.549763006,0.382423656,0.088849135,0.915138967,92.9,71.4,100,84.2,57.9,100,81.2,63.6,100,93.8,81.8,100,83.3,50,100,87.5,37.5,100,80,54.5,100,88.9,70,100
3,0.917293233,0.857142857,0.984962406,0.848484848,0.787878788,0.939393939,0.854166667,0.541666667,0.979166667,0.857142857,0.642857143,0.928571429,0.381378522,0.261248514,0.553803396,0.350504062,0.087271685,0.93940064,92.9,78.6,100,84.2,63.2,100,80,66.7,100,94.1,84.2,100,100,50,100,75,50,100,75,55.6,100,100,71.4,100
4,0.921052632,0.84962406,0.984962406,0.878787879,0.787878788,0.939393939,0.854166667,0.5625,0.979166667,0.857142857,0.642857143,0.928571429,0.404642814,0.263426098,0.599674101,0.424158549,0.090476123,0.957203191,92.9,78.6,100,84.2,63.2,100,81.2,66.7,100,94.1,84.2,100,83.3,33.3,100,87.5,37.5,100,83.3,54.5,100,87.5,66.7,100
5,0.958646617,0.894736842,0.996240602,0.909090909,0.848484848,0.96969697,0.875,0.604166667,0.979166667,0.857142857,0.714285714,0.928571429,0.510740642,0.298072589,0.69742547,0.520538291,0.091450653,0.91835576,92.9,71.4,100,94.7,73.7,100,92.3,73.7,100,94.1,82.6,100,83.3,33.3,100,87.5,50,100,85.7,60,100,87.5,66.7,100
6,0.977443609,0.913533835,0.996240602,0.939393939,0.878787879,0.96969697,0.916666667,0.708333333,0.979166667,0.857142857,0.714285714,0.928571429,0.519575824,0.271438895,0.670477896,0.438751358,0.080235204,0.946099187,92.9,85.7,100,94.7,78.9,100,92.9,77.8,100,95,89.5,100,83.3,50,100,87.5,50,100,85.7,60,100,88.9,72.7,100
