"","i","train_auc_full","acc_train_full","test_auc_full","acc_test_full","Sens_train","Spec_train","PPV_train","NPV_train","Sens_test","Spec_test","PPV_test","NPV_test"
"65",65,0.93030303030303,0.702702702702703,0.796825396825397,0.611111111111111,80,100,100,88,86.7,61.9,61.9,86.7
"66",66,0.939393939393939,0.783783783783784,0.796825396825397,0.75,100,81.8,78.9,100,60,90.5,81.8,76
"67",67,0.93030303030303,0.864864864864865,0.822222222222222,0.555555555555556,86.7,86.4,81.2,90.5,100,57.1,62.5,100
"68",68,0.954545454545455,0.72972972972973,0.822222222222222,0.777777777777778,100,86.4,83.3,100,73.3,85.7,78.6,81.8
"69",69,0.881818181818182,0.540540540540541,0.86984126984127,0.611111111111111,100,63.6,65.2,100,100,66.7,68.2,100
"70",70,0.975757575757576,0.918918918918919,0.771428571428571,0.666666666666667,93.3,95.5,93.3,95.5,100,57.1,62.5,100
"71",71,0.990909090909091,0.810810810810811,0.736507936507937,0.666666666666667,100,90.9,88.2,100,86.7,66.7,65,87.5
"72",72,0.884848484848485,0.756756756756757,0.873015873015873,0.555555555555556,93.3,77.3,73.7,94.4,93.3,71.4,70,93.8
"73",73,0.918181818181818,0.783783783783784,0.838095238095238,0.75,93.3,86.4,82.4,95,73.3,85.7,78.6,81.8
"74",74,0.903030303030303,0.837837837837838,0.841269841269841,0.75,93.3,81.8,77.8,94.7,66.7,85.7,76.9,78.3
"75",75,0.951515151515152,0.891891891891892,0.793650793650794,0.722222222222222,86.7,95.5,92.9,91.3,100,61.9,65.2,100
"76",76,1,0.594594594594595,0.688888888888889,0.722222222222222,100,100,100,100,60,85.7,75,75
"77",77,0.893939393939394,0.783783783783784,0.885714285714286,0.805555555555556,86.7,77.3,72.2,89.5,93.3,81,77.8,94.4
"78",78,0.990909090909091,0.837837837837838,0.79047619047619,0.75,100,90.9,88.2,100,60,85.7,75,75
"79",79,0.881818181818182,0.702702702702703,0.841269841269841,0.805555555555556,93.3,68.2,66.7,93.8,86.7,81,76.5,89.5
"80",80,0.909090909090909,0.675675675675676,0.828571428571429,0.694444444444444,73.3,95.5,91.7,84,86.7,76.2,72.2,88.9
"81",81,0.912121212121212,0.72972972972973,0.841269841269841,0.75,100,72.7,71.4,100,80,81,75,85
"82",82,0.987878787878788,0.918918918918919,0.755555555555556,0.666666666666667,93.3,100,100,95.7,100,57.1,62.5,100
"83",83,1,0.594594594594595,0.79047619047619,0.75,100,100,100,100,73.3,76.2,68.8,80
"84",84,0.93030303030303,0.702702702702703,0.8,0.777777777777778,100,77.3,75,100,86.7,71.4,68.4,88.2
"85",85,0.896969696969697,0.810810810810811,0.850793650793651,0.666666666666667,93.3,81.8,77.8,94.7,100,71.4,71.4,100
"86",86,0.975757575757576,0.72972972972973,0.625396825396825,0.583333333333333,86.7,100,100,91.7,93.3,38.1,51.9,88.9
"87",87,0.918181818181818,0.864864864864865,0.755555555555556,0.666666666666667,93.3,81.8,77.8,94.7,73.3,66.7,61.1,77.8
"88",88,0.936363636363636,0.675675675675676,0.688888888888889,0.694444444444444,100,77.3,75,100,73.3,66.7,61.1,77.8
"89",89,0.906060606060606,0.72972972972973,0.885714285714286,0.694444444444444,100,77.3,75,100,93.3,71.4,70,93.8
"90",90,0.939393939393939,0.837837837837838,0.774603174603175,0.75,86.7,90.9,86.7,90.9,100,57.1,62.5,100
"91",91,0.948484848484848,0.837837837837838,0.819047619047619,0.638888888888889,93.3,90.9,87.5,95.2,86.7,66.7,65,87.5
"92",92,0.942424242424242,0.891891891891892,0.822222222222222,0.777777777777778,93.3,86.4,82.4,95,86.7,76.2,72.2,88.9
"93",93,0.93030303030303,0.756756756756757,0.841269841269841,0.694444444444444,100,77.3,75,100,86.7,66.7,65,87.5
"94",94,0.927272727272727,0.810810810810811,0.819047619047619,0.722222222222222,80,95.5,92.3,87.5,80,71.4,66.7,83.3
"95",95,0.924242424242424,0.810810810810811,0.803174603174603,0.694444444444444,86.7,81.8,76.5,90,53.3,95.2,88.9,74.1
"96",96,0.884848484848485,0.756756756756757,0.876190476190476,0.666666666666667,93.3,77.3,73.7,94.4,93.3,71.4,70,93.8
"97",97,0.951515151515152,0.594594594594595,0.761904761904762,0.666666666666667,100,81.8,78.9,100,93.3,61.9,63.6,92.9
"98",98,0.921212121212121,0.837837837837838,0.857142857142857,0.75,86.7,90.9,86.7,90.9,86.7,71.4,68.4,88.2
"99",99,0.933333333333333,0.891891891891892,0.765079365079365,0.777777777777778,100,86.4,83.3,100,66.7,90.5,83.3,79.2
"100",100,0.954545454545455,0.891891891891892,0.822222222222222,0.722222222222222,93.3,90.9,87.5,95.2,66.7,85.7,76.9,78.3
