metabolites,A002,A005,A008,A014,A015,A016,A019,A026,A028,A029,A036,A037,A039,A044,A046,A048,A049,A051,A052,A054,A055,A056,A057,A058,A064,A066,A067,A069,A073,A075,A076,A078,A086,A090,A094,A095,A098,A099,A104,A106,A111,A116,A117,A120,A121,A122,A124,A134,A135,A138,A145,A147,A251,A255,A261,A264,A265,A266,A272,A278,A288,A296,A297,A298,A302,A303,A304,A305,A306,A313,A318,A320,A323,A330,A333,A334,A339,A343,A347,A354,A355,A356,A357,A363,A365,A372,A375,A382,A383,A384,A386,A387,A389,A391,A392,A394,A400,A401,A402,A408,A411,A412,A416,A420,A434,A436,A437,A441,A445,A446,A451,A452,A454,A458,A461,A462,A463,A464,A465,A467,A470,A477,A485,A487,A490,A494,A495,A496,A497,A498,A499,A500,A501,A503,A511,A513,A515,A524,A529,A530,A531,A532,A534,A543,A548,A554,A559,A560,A563,A571,A573,A577,A578,A584,A587,A588,A593,A596,A598,A599,A600,A601,A606,A612,A613,A617,A624,A626,A635,A637,A639,A641,A642,A643,A649,A650,A657,A658,A659,A660,A662,A664,A674,A677,A683,A684,A687,A693,A699,A711,A728,A731,B008,B049,B100,B101,B103,B109,B116,B120,B131,B135,B143,B179,B201,B285,B313,B359,B382
Acetoacetate,1.163805727,-2.202378725,0.659344296,0.442371863,0.356473299,-0.721635753,0.169690557,1.927697244,-0.614079848,0.033252887,-0.008090024,-0.771578649,0.109019212,0.037430525,-0.261318784,0.607649308,-0.326218344,-1.891220943,-1.376463841,0.020406679,-0.330007231,-0.316716789,0.479926005,-0.295008186,-1.088598951,-1.838131912,-0.002675203,0.592521599,-0.866077011,0.034815726,1.618023557,-1.043461494,-1.18551074,-1.660928455,-1.421469023,-0.005244592,0.511052575,-0.089518477,-3.019692284,0.611180941,-0.454623173,-0.476751107,-0.319357979,-0.563068833,0.313647375,-0.633855299,-0.870625701,-0.037887403,1.233134747,-2.034480904,0.650173787,1.180939101,-1.602081411,0.315751341,-0.632426847,-0.102495054,0.11172325,-1.950916439,0.198778997,0.079285834,-2.023363031,-0.863758737,0.117358528,-0.314294309,-0.019966649,0.229718401,0.823534153,0.600338829,0.9636964,-0.735507592,-3.372808083,-1.54863952,1.03630082,0.225412468,0.403940678,0.077563276,-1.129239314,-2.742574849,0.171412256,-0.874802401,0.143913816,1.08649119,-0.502154481,-0.565835735,0.768536544,-0.357813218,0.762629422,0.105813437,0.864777443,-1.252157403,-0.394908064,0.448648472,-0.153154537,0.807209436,-0.059726611,-0.709998768,-0.554745126,0.359932032,-0.666743858,0.23196049,0.032057948,-0.334465785,0.334828133,0.175958022,0.538423136,-0.006858149,0.808307566,-0.138749829,-0.218059469,-0.165488474,-0.139568646,-0.125485069,-2.705707543,0.759490324,-1.256384497,-1.144793238,-0.770216358,-0.07059409,-2.69776864,0.683320124,0.007384866,0.934768921,-0.409406913,0.734512065,1.252124055,-0.994209806,0.464152933,-0.132207439,-0.898640294,-0.63817686,-1.836262015,-0.174814535,0.985897838,1.046573761,0.965488924,-0.477029448,-0.278630991,-0.218990167,-0.403317555,-0.238762476,0.12420697,-1.072885385,0.218065344,0.683132984,0.703265575,1.078395388,1.172385083,-0.545144045,0.405563819,-0.568136759,-0.72793194,-0.477564896,0.311053169,-0.769664911,2.053230546,-0.128351129,-0.80717126,-0.888900761,-0.561274216,-1.451998911,-0.445310505,-0.567519737,0.09746568,0.344810312,-0.366267859,-1.27997176,0.203542946,-0.481436802,-0.202471813,0.45752875,-1.955643231,-0.388934087,-0.706460513,0.132502592,-2.236696844,-1.99824187,1.176137412,0.382894561,-3.065631161,-2.798629556,-2.774815559,-0.171865006,-0.150493205,-0.459382199,-0.394290118,-1.336497253,0.469994394,0.986420444,-1.02788567,0.863161394,1.541098971,-0.158592491,-0.410087718,-0.256983675,-0.026197165,-0.734333635,-0.469844594,-0.572831649,0.452277942,-1.154977554,-0.170325323,-0.871576804,-0.704558711,-0.069476352,0.51562352,-0.298834308,-0.716887296,-2.610412136,0.43160785
4-Aminobutanoate,0.517085157,-2.762516675,1.445872443,0.927712765,-0.145837264,-1.849275324,0.681024494,0.25233245,0.511478622,0.945518313,0.856722112,-0.016211379,0.74242149,-0.176347409,0.183058661,0.779666452,0.607372295,-0.469324134,-1.189182247,0.711265231,-1.024858805,1.294808934,1.299017796,0.052599747,0.127955864,-0.840470179,-0.9574556,0.078559863,0.390147026,0.735860884,-0.358223971,0.163661898,-0.401224796,-1.736035226,-0.886434758,-0.802480938,1.746242956,0.397666245,-2.145023933,-0.144618324,0.880432248,-0.014936927,0.501712798,0.914219246,0.445119372,0.112829606,-1.357967725,0.499160135,0.169301545,0.199098928,-0.628218256,0.848545034,-1.067335829,0.778301033,0.03796365,-0.711358879,0.574175734,1.222481558,0.57347678,0.451078878,-2.918609876,-0.84657193,0.521752995,-0.980591883,0.206892588,0.818087821,-0.063852,1.195077965,0.430108592,0.055438839,-1.831255097,-2.219714935,0.1911865,0.194367746,0.523163015,0.111324693,1.635554812,-2.965096727,0.73477225,0.806148128,-0.134712783,0.384536953,1.053485513,0.626399131,1.117836208,0.891928371,0.558809726,0.173419031,0.157179635,0.285053487,0.351757573,1.218544638,0.232025329,0.736771585,-0.514661842,-0.234422846,0.08998416,0.400187238,0.208229207,0.5376757,0.018325862,0.042138326,0.111599719,0.340437085,0.168836852,-0.087125638,0.202439196,-0.288166758,-0.509839023,-0.011061309,-0.003628125,-0.250056641,-2.453847791,0.38190318,-2.117305232,-2.849407932,-0.603676073,1.08076287,-1.014063353,0.857009234,-0.501516139,-1.086121912,1.314739531,-0.206651393,-0.027832227,0.717831957,0.51436289,0.308252134,1.083065259,0.309083698,-2.163932216,-0.287249742,0.003072559,0.258840721,-0.761754182,-0.980510807,0.333499929,0.10018718,0.362923333,1.238607783,0.230056636,-0.837603723,1.037574,0.303918047,0.937714502,0.435917082,0.07709604,1.084584096,-0.548569823,0.205447376,1.121801018,0.112709859,1.780570995,-0.84428814,-0.589407803,-1.067724996,0.412519834,0.659749246,0.031461083,-0.042481678,0.261532784,-0.05823731,0.195847857,-0.446716104,0.495198451,-0.058374733,-0.043547855,-0.168029435,0.344313752,2.030237427,-1.128867048,0.742311064,1.053869902,0.925849935,-2.178285379,-1.008501608,-0.114950409,-0.282162728,-1.320655907,-2.310912764,-1.178653912,0.625486399,-0.211207093,-0.023345252,0.511381802,-0.931170263,0.25082455,0.726733659,1.620113366,0.303833196,-0.119414828,0.487525699,1.203813347,0.573696108,-0.1640812,0.556745965,1.593229866,0.96926709,1.418491907,0.452988859,0.318726395,-0.891611961,-1.528972776,0.274500062,1.712550049,-0.80195481,0.987714046,-2.152870254,0.414936283
Malonic acid,0.154981473,-2.360089718,0.87564839,-0.431996496,0.147596243,-2.183861775,1.093974417,-0.437797158,-0.583543422,0.80094614,-0.256833131,0.447139092,1.039617957,-0.137896604,0.354501041,0.752815755,0.797368724,-1.057371605,-2.098374828,2.084825687,-1.844654253,-0.62597782,-0.024825589,0.033373333,-0.877251464,-0.597885566,0.100998393,0.666067323,-0.267881943,0.921705565,0.206344365,-0.803302724,1.685357847,-1.70096104,-2.304444977,-0.680997738,0.375148755,1.306043172,-1.16392827,-0.353291262,-0.278467701,0.210574793,-0.434929386,-0.069937241,1.488952813,0.712471711,-0.640264175,-0.286553248,0.242953493,-0.758798245,-0.007195447,1.529518086,0.28884324,0.044639889,0.099153305,-0.804023194,0.157142672,0.677371129,-0.142146741,-0.128013075,-1.351179593,-0.198915313,-0.55470213,-1.097659152,0.781204958,-0.044881038,0.549189851,-0.104005755,0.773225112,-0.078972967,-2.948605303,-1.78240633,0.15102169,0.855745977,0.560019127,0.198263694,0.012248641,-2.591713276,-0.289251013,1.791991073,-0.401152301,0.470581161,1.046610388,0.091802607,0.793542535,1.10667232,0.42745513,0.290865539,1.424477026,-0.066911334,-0.198696081,1.200217534,1.396176549,-0.190752353,1.249158992,-0.335619951,0.443819616,0.939888845,1.429428931,0.634527749,-0.511537012,-0.423785589,1.44059062,-0.348609581,-0.004486094,1.295741548,-0.095456413,-0.166123589,-0.700459288,0.76903008,-0.19395266,-0.546782862,-1.660161403,1.454024179,-2.216661445,-2.625360435,-1.419186342,-0.261525186,-1.59441718,0.5787806,1.633146873,0.156699381,0.63761356,-0.600005421,0.546115782,1.305036004,0.086421428,-0.222837045,0.329184926,0.059914135,-0.546929005,-0.430357119,1.357650731,-0.002979317,0.177160209,0.21631251,0.974101733,0.907533273,0.580212749,0.48097303,0.28292062,-1.356428722,-0.052328858,-0.170030239,0.282642084,1.749709321,0.009179271,-0.847284249,-0.341204694,0.131069792,-0.256487861,-0.353523126,-0.126201389,-0.680119094,-0.374970517,-0.837187237,0.382586792,-0.778090128,0.993478727,0.148372495,-0.07875706,-0.068857358,-0.489168296,-0.54640705,0.440622317,1.022723327,1.493328318,-0.144282445,1.73092936,0.148278868,-1.59678707,-0.094620791,0.541197384,0.516591074,-1.718263674,-1.404350683,1.161573187,1.266853715,-2.371115744,-2.804042864,-1.573131581,0.59400397,-0.741932203,-0.141310479,1.467393685,-1.861154148,0.186499304,1.806647962,0.362051683,1.645074767,0.062245146,-0.479641014,0.166478701,-0.177509729,0.087932331,0.496048498,-0.057842155,-0.112185742,1.121365806,-0.529785383,1.155187735,-1.273735277,-2.154056083,0.3597312,0.324368314,0.685404647,0.393203682,-1.949775384,0.189974745
3-Hydroxybutyric acid,0.152613725,-2.259869851,0.899325197,-0.462845285,0.209758717,-2.032027015,1.106949033,-0.593529613,-0.747459207,0.792979917,-0.290530956,0.421358328,0.974422737,-0.244932961,0.326206056,0.762816598,0.759500997,-1.137095677,-2.06973258,2.16774064,-1.768879682,-0.622511958,0.073215245,-0.085591775,-0.830802226,-0.555021164,0.064414996,0.687925214,-0.430587817,0.940167108,0.185486998,-0.825083596,1.742542918,-2.015080818,-2.383543969,-0.791255548,0.436882786,1.323852266,-1.033886859,-0.350535978,-0.437559012,0.14272841,-0.683295035,-0.118448534,1.479785999,0.741028816,-0.511542009,-0.358373273,0.262145393,-1.002624364,-0.02647635,1.648212601,0.377519606,-0.014507154,0.121527672,-0.818849384,0.192815299,0.63714859,-0.223547704,-0.451406065,-1.206340786,-0.129488225,-0.68736984,-1.268921331,0.790457871,-0.153247462,0.655003258,-0.34160212,0.74715218,-0.167128537,-2.924949626,-1.625484493,0.125012459,0.900579787,0.556452115,-0.047877357,-0.691043664,-2.602839458,-0.464585527,1.85602086,-0.474317953,0.473019438,1.103925571,-0.254338642,0.789147115,1.081503259,0.466446933,0.080617012,1.464365087,-0.002999322,-0.209888523,1.254268274,1.449039728,-0.276296839,1.188029764,-0.391077176,0.443554866,0.953311512,1.435773177,0.669777185,-0.451649197,-0.391606138,1.486731792,-0.878625524,-0.106445853,1.310727691,-0.226997916,-0.27435763,-0.724231442,0.777707004,-0.180335701,-0.538551631,-1.438644991,1.440143348,-2.207318106,-2.638802863,-1.335999596,-0.578299787,-1.588754035,0.547814923,1.640216907,0.237848741,0.64178361,-0.615457408,0.591337576,1.426355747,0.12427404,-0.498046078,0.337561305,-0.090892711,-0.523829078,-0.539204906,1.39068513,0.054124728,0.212764332,0.283654,1.011549786,0.969375056,0.626931811,0.429999461,0.37478741,-1.334464928,-0.078686515,-0.344121628,0.197967625,1.810212489,0.041864591,-1.012947593,-0.568740671,0.094268972,-0.351310044,-0.443713405,-0.231624547,-0.618867812,-0.571007144,-0.817676893,0.43016,-0.799826654,1.016123792,0.050495849,-0.016294197,-0.116919235,-0.58055508,-0.496578153,0.408602867,1.075251021,1.529975295,-0.765000046,1.715698234,0.106111232,-1.559982969,-0.303142827,0.489049556,0.516677114,-1.58418401,-1.39550226,1.181320635,1.401550179,-2.282046627,-2.825820948,-1.551983418,0.577133915,-0.924577225,-0.23118747,1.505829773,-1.82924839,0.010596716,1.90532247,0.270449901,1.717120314,0.062065523,-0.438644276,0.200296204,-0.13504961,0.075721044,0.52548118,-0.31300493,-0.24709499,1.13063539,-0.643635605,1.254492936,-1.187487491,-2.093992151,0.328656718,0.258775063,0.742952215,0.361094881,-1.780259615,0.23853766
Uracil,0.515554323,-2.23323498,0.174208431,1.151558254,-0.500338335,-1.60091357,0.984701608,0.433117815,0.163206175,0.46995798,0.212541517,0.772035887,0.528035624,0.249076008,0.315978472,-0.211261549,0.304826073,-0.253481898,-0.645708723,0.792775506,-1.179716868,0.432647347,-0.210749869,-1.331795219,-0.445396767,-0.292501101,0.151926037,0.577952674,-0.227598162,-0.072941441,0.877085481,-0.745219191,0.770952641,-0.593214478,-1.405593842,-0.412826186,-0.329635278,0.205207749,-1.407278721,0.593683353,0.851034666,0.670777396,0.671431816,0.104411635,0.425353359,0.414410725,-2.948779751,0.490964306,0.430859126,1.141864716,0.474215281,0.269853381,-1.320343512,0.639330188,0.465863819,-0.01933228,0.260491447,0.024330837,0.23022719,0.794590348,-2.003542347,-0.545856547,0.440284748,-2.192441347,-0.237079851,0.322880127,-0.894805102,0.796261656,0.250006327,0.620236192,-1.608327553,-1.917626379,0.371573455,0.084459149,0.809812041,0.563175764,-0.148288775,-3.012210459,0.666735662,0.448415967,0.33147405,1.840442923,-0.466935839,0.03860507,0.285092598,0.811090975,0.502508012,0.892379619,0.537498879,0.200791209,0.303712127,0.608007471,0.078211411,-0.130971974,0.540285998,-0.163997782,0.481254336,0.885329161,0.171564131,1.280530484,-0.524927305,1.84261697,0.46771332,0.231556725,0.986603659,1.06913821,0.421546586,0.566004146,-0.524937856,-0.066412662,0.967233365,-0.648496116,-1.602579937,0.729143977,-2.068508385,-2.19393933,-1.539703152,0.338434571,-1.293836454,0.606464076,0.564581658,0.07207911,0.373208636,-0.711628607,1.667950411,0.857416305,0.129352467,0.289065635,0.596361552,0.44438125,-0.884179612,-0.002081466,0.147293414,0.524207921,-0.00142486,-0.477611889,0.053437071,0.522591101,1.254632532,0.85278474,0.967534924,-0.676672318,0.247649353,-0.164467362,0.843851471,0.493816799,-0.223233872,0.494836009,1.115517087,0.642439353,0.788042101,0.816240047,1.470563425,-0.740757281,-0.836992274,-1.433187742,0.880699866,0.934246364,0.906293313,1.41317072,1.10773879,-0.182553731,0.603845848,-1.552379325,0.498171574,0.86560475,0.740387171,0.069004965,0.688958613,-0.046312583,-0.278207891,0.726253952,0.494122799,0.676671342,-1.228668876,-0.18573269,0.580273129,0.816870669,-1.714948495,-1.272294834,-2.650420673,0.284875872,-1.03846823,0.306181276,0.566594794,-1.192431469,-0.306117315,1.117698963,0.466850293,1.101739936,0.354530104,0.19474838,0.184962444,0.562429585,0.938105548,0.258143497,-2.735254915,-2.232658943,0.157656603,0.423823241,-0.445841872,-1.496217994,-2.001812358,0.184681504,0.202879813,2.499693751,0.52086256,-1.643340796,1.537028547
Maleic acid,-0.23738159,-1.71270623,-0.93703916,-0.23266163,-0.93920083,-1.9729451,0.8288645,-0.06287499,-0.23391579,0.90368376,-0.19860135,-0.35532688,0.51674051,1.03154555,0.44441141,-0.44324982,0.43418948,-0.60356684,-1.39165181,-0.95456835,-1.03158472,-0.59988861,-0.68398278,0.4974789,-1.67842895,-0.18612032,-0.65500797,0.69907424,1.66799845,-0.24837258,-0.20626036,-0.66267896,0.78306912,-1.68109663,-1.46977385,1.15744063,-1.27566254,-0.61741981,-1.45314298,-0.96771253,-0.09934686,-0.90365316,1.59108638,0.03139937,-0.61060835,-0.46627448,-1.00373341,-0.03016545,-0.88634406,-0.95974627,-0.73381329,-0.52409285,-1.3001236,0.57974169,0.76295326,-0.66317796,-0.45835279,0.16299681,-0.32983493,-1.0946576,-1.83113602,-1.17090911,-0.27135109,-1.39602677,-0.40549307,0.44087683,0.04110074,0.84605382,-0.71038167,-0.27069505,-1.5592864,-1.86851501,0.41753992,0.96219331,-0.03681506,-0.8966077,-0.34049605,-2.36120956,-0.37244177,-0.43163339,0.71411299,-0.40388936,-0.99824755,-0.43652588,0.30295544,-0.61787242,-0.73962428,-0.56822087,-0.25352192,-0.13331736,-0.12818299,0.8078005,0.7983539,1.79521399,0.7019221,-0.48698918,-0.80903476,0.70841445,0.320946,0.67551519,2.559729,0.47496463,-0.79870483,1.47995939,0.13843789,-1.02195191,0.44675439,0.4173785,-0.65586069,-0.95568908,1.12305336,-1.25948932,-2.74933164,-0.45479041,-1.36472583,-1.28188741,-1.26238294,-0.58315489,-1.78482175,1.15077694,-0.3963285,-0.92733252,-1.02838001,0.69898966,-0.13669762,0.54084609,0.73068465,-0.53729793,-0.91030055,0.66873956,-1.45560618,-0.97332954,0.68457096,-1.5027027,-0.72235001,-0.81440208,1.80354022,0.56212756,0.43235302,-0.4445186,0.89788215,-1.39489249,-0.28963442,1.78281461,-0.59790288,-0.62266178,-0.1725847,-0.55946477,-0.81357324,0.41491208,-0.24210062,-1.02974175,-0.82953737,-1.80537469,-0.22011787,-1.32113925,-0.46830095,1.42901177,-0.13798595,1.14615763,-0.25139785,0.62211183,-1.31008941,-0.97089817,1.1046078,-0.23022111,0.06529008,1.65761152,0.3441304,-0.62243774,-1.16995181,1.30512181,0.4536953,1.02507372,-1.66128822,-1.37161066,-0.65774752,0.72756664,-1.93338051,-1.15285546,-1.28777928,-0.54101804,-0.60348329,0.56449695,-0.44928812,-1.24018454,-1.16088306,-0.71203438,1.54240776,-0.81359843,-0.70300363,-0.44452599,-0.82580867,1.17068828,1.0227981,0.64738606,0.79125405,0.99892549,-0.34075794,-0.97299631,-0.51840292,-1.01936732,-1.22960962,-0.57888654,0.81565746,-0.36150419,-0.46703845,-2.30907334,-0.18659262
N-Acetylglycine,0.103047995,-1.596574312,1.120045521,0.409275258,0.408988559,-1.296414465,0.350461504,0.217844383,0.133493846,1.67491815,0.038729018,1.242070302,0.212713595,1.209203259,0.404962139,1.310036116,0.433005475,-1.012877043,-0.693325058,0.578831424,-1.670365709,-0.482086006,-0.173931911,0.444407163,-0.485317258,0.358887577,0.434808104,0.690584714,-0.271027092,0.277474203,0.899286644,0.282808333,1.082013973,-0.392760217,-1.581556728,0.691104903,0.023877595,1.167030857,-1.390347556,-0.59675494,0.175457611,0.477578836,0.438356107,0.966814494,0.44224986,0.715783761,-1.095553881,-0.025419792,-0.377454053,0.647105753,0.208941999,0.476285283,-0.686026415,0.57896627,0.797666059,-0.088776623,0.753319138,0.70787182,-0.127060643,0.186031394,-1.994055289,-0.303694021,1.269821905,-0.328459035,0.355777819,0.325611411,0.384071726,0.881232069,0.486445833,0.361687427,-2.313316289,-2.734144624,0.658082458,0.99513618,0.047067836,1.105751462,1.029743095,-1.821348185,0.400196788,1.262116897,0.785143433,1.229579654,0.908765681,0.869888221,-0.119530894,0.460389734,0.195785149,0.677507029,1.470160128,0.142897225,0.172224395,0.878378284,0.64224208,0.629418503,0.736308336,0.510533774,1.140965176,1.268676793,0.736490133,0.428127257,-0.053482441,0.385679836,0.796032926,0.482032818,0.25632116,0.670470242,0.631245244,0.233199159,0.423201226,1.279442452,0.248394073,-0.203167676,-2.825641453,0.63039518,-1.69918544,-3.094319909,-1.237616526,0.194526045,-1.428902876,0.906632566,0.062755927,-0.324108645,0.075418505,-0.208970361,0.220917943,0.705106291,0.789491469,1.304590245,1.159448227,-0.05190382,-0.534124939,0.522058785,-0.951332764,0.44007109,-0.4190796,-0.047590007,1.150273951,0.935450811,0.423710616,0.279156946,-0.09377774,-0.660388261,0.322146439,0.105345814,0.980158651,1.608917553,0.128791424,0.252843856,-0.181770494,1.007472267,0.310263344,0.556990121,0.610565421,-0.989458238,1.133000205,-0.38474614,-2.957437426,0.380969858,1.080930982,0.427331954,0.952472353,0.044979509,0.366826512,-0.543117289,0.967356517,0.399480235,0.919050604,1.066014255,1.482933019,0.453934262,-0.639432724,0.654481675,0.3221473,0.533809006,-1.622273775,-0.088001642,1.337647444,0.75419259,-2.127571981,-1.799984151,-1.418998518,0.400986567,0.010262968,-0.107212198,0.497544342,-1.096196173,1.587873685,0.796621024,0.471306463,0.551743241,0.533040725,0.523977159,1.061504068,-0.024513013,-0.177369393,1.266843561,0.300666413,0.202333869,0.753826125,0.397637296,-0.651836622,-1.739583194,-1.223342474,0.149342449,-0.00230792,0.551707416,0.81824123,-1.70380903,0.157162297
Guanidoacetic acid,0.168602956,-1.996035331,0.27813586,0.347824196,0.648580635,-1.514019278,0.354950308,0.184433189,0.117749639,0.509739378,0.645032119,0.513226905,0.178522696,0.036718712,-0.095771883,0.601150094,0.403589174,-0.633889121,-1.068628842,0.514904801,-0.967455226,0.078148617,0.295665289,0.336027146,-3.086816272,-0.048417298,0.11217342,-0.098662388,0.247909219,0.595183958,0.705615253,-0.208818752,0.229227637,-2.968511638,-1.159624499,0.115695792,-0.213181714,-2.591051936,-4.144440814,-0.094111952,0.418350255,0.338869369,0.568413075,0.507099359,0.622157115,0.454651018,-1.389175068,0.40709821,0.17901135,0.169868453,0.417049079,-0.053858392,-0.381449728,0.384078015,0.490320144,-0.03588026,0.686500103,0.707971225,0.597499091,0.115387091,-1.831896412,-0.517100657,0.34278551,0.00138066,0.683482709,0.408131731,0.23657127,0.155673665,0.584453669,0.355034849,-1.760080571,-2.351707982,0.346197685,0.604679879,0.239429277,-2.304119854,0.399100976,-2.684747969,0.426184926,0.434441022,0.226158611,-0.064395172,3.537663183,0.5705756,0.346951884,0.102621668,-0.089365081,0.33886454,0.51775083,0.111052722,0.327931539,0.183093819,0.046107667,0.037789444,0.504824666,0.74813377,-2.492191667,0.233396224,0.210928526,0.100982723,-0.012512378,-0.043069295,0.47884885,0.209854995,0.181111303,0.732271169,0.178353031,0.708437901,0.185809348,0.146872183,0.760503702,0.187854548,-2.03568011,-0.209985093,-1.247609858,-1.929553946,-0.999818908,0.207451514,-1.17193809,0.546294957,0.195528333,-0.96884905,-0.106143894,-0.106557558,0.581209319,0.526179863,0.27920588,0.357354438,-2.071430987,0.39025254,-0.721837106,0.25336208,0.465280211,0.366658399,0.272421809,-0.272384808,0.375346253,0.169546981,0.640054358,0.474117589,0.835773066,-0.641601614,0.800854106,0.038030753,0.040892721,0.198919423,0.217556208,0.156695467,0.899153605,0.168621564,0.334420951,0.321061096,0.362465666,-0.334584283,0.307115975,-0.36258767,0.26897553,0.653843803,0.515517566,0.268723842,0.090027986,0.031482865,0.611282092,-0.83756572,0.460635911,0.465296023,0.158688121,-0.089457721,0.149536773,0.414363884,-0.623433019,0.574988614,-0.00312606,-0.183407286,-1.655928966,2.671752752,0.54852991,-0.020438251,-1.704218935,-1.540732075,-1.549459704,0.959622749,-0.002056747,0.311607619,0.42190716,-1.236807673,0.553375501,0.327062394,0.434533614,0.252171255,0.190698164,0.404487713,-2.211799231,0.778340327,0.32749498,0.347877636,0.635322888,0.219068674,0.419732207,0.38863361,-0.584864715,-3.778764653,-1.078700972,0.403859888,0.702378966,-0.270832132,0.447661866,-2.312800854,0.591511475
2-Hydroxyisovaleric acid,0.250991459,-2.23242713,0.606667893,0.744756516,0.769029267,-1.677204468,0.434570877,0.612836403,1.166917349,1.310436546,0.325312988,0.458076351,0.51133252,0.312434619,0.149482611,0.270912721,0.417981103,-0.339567372,-1.748886974,0.596042869,-1.09820193,0.621762035,0.733286044,0.08781894,-0.69367641,0.238910803,0.349319432,0.383946044,-0.44886703,0.852429157,1.247435906,-0.348014237,0.886518511,-1.474751735,-1.112473588,-0.287496834,0.243406431,1.004037643,-2.218113445,0.425722907,1.109890044,1.808997484,0.250383376,0.569540241,0.743328951,0.741222516,-1.774588997,0.369432759,-0.199845242,0.973887351,0.491194745,-0.109485449,-0.342421254,0.855758446,0.457475069,0.146715676,1.192883041,0.735102269,0.684586175,1.902280896,-2.384688398,-0.607686574,0.692051996,-0.565727,1.396220502,0.785545653,-0.060203212,-0.177731494,0.881156859,0.487448506,-2.187513793,-3.030129713,0.443842805,0.11318284,1.183367126,0.613073464,0.806057798,-2.843235523,0.641152063,0.255776074,0.981328255,0.940127515,0.310384277,1.483986407,0.945881482,0.797004757,0.899756254,0.67341831,1.032617136,0.777195386,0.715917529,0.601363909,0.438969682,-0.367858306,1.133972997,0.50598318,1.144404588,0.583707555,-0.086999181,0.572339205,0.157899065,0.511541254,0.899979977,0.373088587,0.647877203,1.46230868,0.567229601,0.701115849,0.008540264,0.266816019,0.48384051,0.072501619,-2.399192463,1.143069563,-1.246951228,-1.901718001,-0.446293953,0.910964227,-0.69196413,1.107503274,0.770811869,-0.790393103,0.73104853,0.379478329,0.798887065,0.20831455,0.527653335,0.916478035,0.462942463,0.04229199,-0.360176876,0.663150453,0.741640334,0.65938123,-0.236671672,-0.122753772,0.169908966,0.273454707,-0.023809819,0.973124762,0.38098035,-0.748745162,0.767332911,-0.307292981,1.147080392,0.236777636,0.64906117,0.604945639,0.344859155,0.385265544,0.816448813,1.081461581,0.974367899,-0.295006338,-0.065600269,-0.65813056,0.144793709,0.803170881,0.563869722,0.156488552,0.7338658,0.287031105,0.832730054,-0.440540652,0.636107939,0.550959263,0.087286497,-0.422575512,0.753909334,0.382312248,-0.607006108,0.891364078,0.392243941,0.725897649,-2.483506199,-0.573598012,0.344320626,0.656736868,-2.418621254,-1.798915793,-1.79692243,0.749152133,0.283561422,0.403868167,0.839432755,-1.334731981,0.882579923,0.635881863,0.403943491,-0.15944949,0.717893117,0.516645591,0.148384777,0.51853471,0.543278303,0.562423063,0.724049104,0.772030701,0.405955736,0.350611847,0.024385739,-1.735690627,-1.623209182,0.219942825,1.046925791,0.110960615,0.485925622,-1.93639096,0.211101887
