,PRA001,PRA002,PRA003,PRA004,PRA005,PRA006,PRA007,PRA008,PRA009,PRA010,PRA011,PRA012,PRA013,PRA014,PRA015,PRA016,PRA017,PRA018,PRA019,PRA020,PRA021,PRA022,PRA023,PRA024,PRA025,PRA026,PRA027,PRA028,PRA029,PRA030,PRA031,PRA032,PRA033,PRA034,PRA035,PRA036,PRA037,PRA038,PRA039,PRA040,PRA041,PRA042,PRA043,PRA044,PRA045,PRA046,PRA047,PRA048,PRA049,PRA050,PRA051,PRA052,PRA053,PRA054,PRA055,PRA056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methylmalonic acid,1.39401238,-0.338268212,-1.891901746,0.391781131,0.649569672,1.156333831,0.438589529,-2.020314175,1.193339633,0.340935432,0.270806354,0.646572188,1.605455423,-2.862959088,-0.372950322,0.570461672,1.405679337,-0.262120885,-0.094530491,2.102227946,-0.308324672,-0.145077969,-1.517868853,0.636373273,0.622814071,0.44169022,-0.189065845,0.039465897,1.169094692,1.458412313,0.2926818,-0.397532885,0.235732308,0.206439058,0.64549108,0.267391273,-0.244950322,0.564994318,0.617445853,0.809853342,1.404984664,1.264433074,0.026046644,1.104299419,0.67636535,0.411709658,0.627267705,0.184668117,-2.615323113,1.347121649,0.425793268,0.40695658,0.954124714,0.387928893,-2.941859037,1.036856893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benzoic acid,-2.140326957,-0.166053355,-1.561584776,0.062100224,-0.024167817,0.164933411,0.134860489,-1.293319299,0.616908622,0.11807563,-0.053102762,-0.012969762,0.940371616,-1.469428307,-0.210432295,0.164497401,0.1014152,0.239239246,-0.207455691,0.472341071,0.616610903,0.452608812,-0.894858049,0.333188237,0.154077832,-0.214367384,-0.348472427,-0.302238964,0.307454226,0.184043694,-0.076055879,-0.091346738,0.0099775,0.30065958,0.072288511,0.144645535,0.188020396,-1.770814012,0.112620398,0.12268524,0.168172935,-0.137170208,0.408234064,0.368284305,0.078332734,0.226530094,0.160961588,0.534020808,-3.399896963,0.207867006,1.103299755,0.334938278,0.572392732,0.025674053,-1.477481051,0.310335161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methyl-4-methyl-2-oxopentanoate,0.438,0.816,-1.58,-0.942,0.431,-0.564,0.504,-1.78,0.158,0.814,-0.213,0.145,0.526,-1.89,0.301,-0.406,0.595,-0.715,-0.646,0.179,-3.07,0.552,-0.803,0.294,0.534,-0.519,0.134,0.276,0.373,0.361,0.205,0.245,-0.0454,0.644,0.776,0.58,0.0183,0.83,0.189,0.751,1.05,0.753,-0.201,1.03,0.616,0.839,-0.256,0.32,-0.776,0.396,-0.0846,0.58,-3.07,-0.585,-1.11,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Hydroxyisocaproate,0.61289591,-0.033116161,-2.158434964,0.590607012,0.365737997,0.746713835,0.261975643,-2.803118707,0.563501747,0.434479199,0.74901579,0.382776159,0.470079855,-2.838926555,0.021773356,0.933243816,0.702875597,-0.259076111,0.310624137,0.43756411,-0.114520926,0.758749385,-1.671926134,0.531819389,0.762276956,0.536887822,0.719175745,0.689281721,0.70222292,0.830757731,0.917691814,0.020179181,0.245357008,0.408269468,0.332362602,0.487261324,-0.365974004,0.649466834,0.239318247,0.179054341,1.340556747,0.495446708,0.641580429,1.226536621,0.206156423,0.887229957,0.629251205,0.296233973,-2.640836622,1.054469111,0.753021313,0.57869823,0.960399335,-0.066415565,-2.069360273,0.167858728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glutarate,0.667,0.136,-1.05,0.494,0.475,0.642,1.35,-2.16,0.833,0.368,0.0807,0.553,1.05,-1.9,0.44,0.46,1.1,-0.21,0.636,0.585,1.02,0.524,-1,0.969,0.0939,0.586,0.369,-0.0339,0.382,0.449,0.16,0.489,0.627,0.433,0.305,0.3,-2.62,0.684,0.412,0.81,0.262,0.0381,1.03,0.483,0.541,0.803,1.01,-3.1,-1.23,-0.182,0.433,0.689,0.827,0.314,-1.85,0.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malate,0.285784757,-0.164051662,-2.232612424,0.004289724,-0.394997248,-0.1834671,0.352937247,-2.039816995,0.528737519,-0.082740882,0.014931005,0.287585707,0.178859374,-2.571494571,0.475170611,1.425644668,-0.000745598,-0.267752652,0.155832646,-0.337986592,-0.16928115,0.379677822,-0.988022813,0.498077977,0.237169935,0.120227469,-0.400060618,-0.463697595,-0.30145948,-0.056012447,-0.329550019,0.004768617,0.23317643,-0.172908099,-0.152704536,-3.741088551,0.184585072,-0.039902764,-0.129970372,-2.740055402,0.109438379,0.094018381,-0.435847363,0.327029848,0.788931912,0.334136504,0.076706461,0.151104364,-5.314594039,-0.327729794,0.818978754,0.500870811,-0.136342264,0.092324834,-2.273361658,-0.314891556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adenine,-0.381916845,-0.567287484,-1.53223618,-0.679092174,-0.04303625,0.196980161,-0.274196192,-1.656378225,0.298754099,-0.362394144,0.139991766,-0.578488304,-0.162530375,-2.205865617,-1.544539891,-1.052326829,-0.938757485,-0.163006641,-0.521173767,0.015466045,0.174825849,-0.202273309,-1.888452591,-1.042573252,-0.214128877,-0.183267685,-0.751730226,-1.160087202,-0.219466858,0.354400611,-0.07348128,-0.058545655,-0.230565739,-0.441957076,0.005061146,-0.611094304,-0.942589354,0.039270495,-0.776714877,-0.79150123,-1.069232953,0.304224029,-0.226637495,-0.480840756,0.45837678,0.264367449,-0.322903072,-0.187885684,-1.700510283,-0.58128811,-0.135291276,-1.272447591,0.171725563,-0.468627731,-1.941556203,-0.510529336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypoxanthine,-0.057034598,-0.210097596,-0.828138114,0.121847403,0.085016687,-0.489225761,-1.828867532,1.735804777,0.234379709,0.060350112,0.112248417,-0.052727055,0.342954442,-3.207124358,-1.637098949,0.646213534,-1.98117731,-0.216845998,-0.19120066,0.458337526,-0.152038656,-0.051227828,-0.807174158,-1.875412976,0.441667292,0.192312587,0.15975641,-0.230920071,-0.053902106,-0.073868745,-0.150282268,0.177440784,-0.128393717,0.226460402,-0.572525846,0.290176894,-0.221834942,0.228951857,0.18932052,0.240313336,0.189491282,0.641874941,0.163859146,-0.301555179,-2.071924379,-0.143240697,-1.634976204,0.956889183,-0.918789851,0.715613675,-0.995113483,0.155812866,0.317841411,-1.921514769,-2.635552143,-2.325939422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adipic acid,0.79830194,0.36107432,-2.221089496,0.320364357,0.873701978,0.131808638,0.348874275,-3.813605134,0.704925316,-1.449278849,-0.000776083,0.536189164,1.578568956,-1.055895047,0.881606294,0.088014221,0.159072524,-0.1874477,2.540391879,0.528809824,0.415045723,0.951080048,-0.755539017,0.153974601,0.44520937,0.187163923,1.962953926,2.195301937,0.557556667,0.522495138,0.795418772,0.217180305,0.461701015,0.0132507,0.900696073,-0.338710642,0.722131728,0.634457591,0.171812108,0.322859196,-0.473227153,0.044643074,0.022412712,0.64048458,0.884185206,-1.425422118,0.590201524,0.217860447,-1.33484853,0.723046697,0.464632722,0.056200344,0.509392022,0.157963619,-3.120839645,1.105887751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mevalonic acid,0.927946104,0.69235134,-0.887766961,1.044429312,0.845417408,1.049528544,1.028541373,-0.907750068,1.152413184,0.984875272,0.552284283,0.325290131,1.32859096,-1.085039058,0.326752375,0.688790214,2.132243099,0.261962646,0.602214803,0.86927878,1.079732521,0.891947174,-0.322955061,1.096436802,1.136768891,0.346947365,0.56675602,0.349069371,0.741877348,1.126162452,0.475307729,0.462741705,0.740383436,0.838348858,2.148993761,0.027301496,0.393138249,1.021534918,0.795642971,1.11110607,0.448035987,1.956778004,0.931534388,0.846533355,0.398936315,1.841599576,1.122732457,0.108242983,-0.376823039,0.495053987,1.091210014,1.222110134,1.182433515,0.512081807,-0.593587767,0.905229799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xanthine,0.097712877,-0.21615992,-1.94533082,0.380968188,-0.187652353,-0.340215517,0.200647085,-1.620787204,-0.220661666,0.176062665,-0.023062728,0.064195381,0.037525859,-2.472567905,-0.136675625,-0.026857788,-0.017952598,-0.441144408,-0.57125609,0.555888524,-0.1655616,0.211108368,-3.828449218,-0.399550824,-0.015079435,0.058805195,0.022602377,-0.018144478,-0.119850336,0.05524601,-0.477612775,-0.108143836,0.252327888,0.022554949,-0.468413376,-2.75631897,-0.632053712,0.214434152,0.206849061,-0.165783545,0.296352616,0.850303117,-0.052653544,0.731604294,-0.327599081,-0.169956342,-0.104163822,1.179460905,-4.248651519,0.947968108,0.010160824,0.345761357,0.20508341,-0.217295369,-2.070473794,-0.246444306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dopamine,-1.1482995,0.815369258,0.112223523,1.001165017,-1.1482995,-1.1482995,1.380133936,-0.14725461,0.988611724,1.054922342,-1.1482995,-1.1482995,-1.1482995,-0.257987486,0.66199205,0.923912307,0.508398516,-1.1482995,0.872443803,-1.1482995,-1.1482995,1.770437053,0.591991245,1.743157775,1.482350481,-1.1482995,1.063955034,0.669325287,-1.1482995,-1.1482995,-1.1482995,-1.1482995,0.924752574,-1.1482995,0.662868605,1.38533851,-1.1482995,-1.1482995,-1.1482995,-0.370528469,-1.1482995,1.090296797,-1.1482995,-1.1482995,1.162421232,1.106183117,-1.1482995,-1.1482995,0.347836494,-1.1482995,-1.1482995,-1.1482995,-1.1482995,0.769367041,0.02544777,-1.1482995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orotic acid,0.196765554,-0.053988963,-3.238640211,-2.077763588,-0.173198477,0.21708477,0.449084014,-0.978082218,0.042096512,-1.57573424,0.162021243,0.102754402,-0.094669263,-1.008434163,0.271300352,0.049093471,0.307215973,-0.186313895,-2.309235043,0.397663975,0.486475868,0.480500746,-0.522400437,-0.283663656,0.270017193,0.082493299,0.28279052,-1.738495869,0.143395776,0.152751559,0.210723384,0.011976733,0.102225426,-0.03042948,-2.165592869,0.385141573,0.125934938,0.145198995,0.284231523,0.080284207,0.298414891,-1.917771594,0.083520671,0.235751851,0.364315648,-0.043915285,-0.033067235,0.239856116,-0.532355575,-2.175761292,0.244630903,-0.094114873,0.484423213,-0.217949024,-1.241047359,-0.287931425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aminoadipic acid,0.417363938,-0.102766322,-1.744020863,-0.083193031,0.642210475,1.108394686,0.328258199,-1.949136604,0.651659149,-0.166647794,0.633625771,0.143785633,0.669546348,-1.391806835,0.408748501,0.112100365,0.289084413,0.220681082,-0.161224371,0.245814768,-2.360144081,0.544503264,-0.836106234,0.951974786,1.28841556,0.575486891,0.856428136,0.809265071,1.144790215,0.425410314,0.352336024,0.074035134,0.088312481,0.781597483,0.314805011,0.317644317,0.427225644,0.30643377,0.357852412,0.676683914,1.388710318,0.437127767,0.822569987,1.012169833,0.349656929,0.602192977,1.043290746,0.345207237,-3.807617424,0.805475226,0.522923499,0.528865561,-2.279674166,0.213393383,-1.998788565,0.586616397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phenylpyruvate,-0.642764792,-1.028394715,-1.656540212,0.112433668,-1.1823655,-1.037496248,-0.579055814,-2.249427832,-1.542178923,-1.002851794,-0.807924417,-0.997408448,-0.578394341,-2.412343647,-0.413753862,-0.912671356,0.826451211,-1.390883018,-0.643625736,-0.870985186,-1.233805373,-0.4065687,-2.077373502,1.540608605,0.353094188,-0.345869587,-0.644004155,0.003106171,-0.9585104,-0.546332187,-1.219776666,-1.668350343,0.685119072,-0.721678434,0.413316298,0.854949764,-0.65660898,0.099387663,-1.928930594,-1.493742566,-0.254687353,2.004625861,-0.752371965,-0.346800406,0.197218869,-0.776107336,-1.215002105,-1.33041018,-2.504910192,0.063047025,-0.74240481,-1.223548362,-0.951243895,-0.024440787,-2.701622413,-0.421819384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phosphoenolpyruvic acid,0.392891219,0.439253736,-2.731869321,-0.773877166,0.912674342,1.153795635,-0.132745255,-2.760966632,0.86279058,-0.683207143,0.371135724,0.487665754,0.166079042,-0.6613593,-0.666999349,0.658278776,0.709476421,0.09764282,-1.793048803,0.718670764,-0.382130268,0.003897843,-0.779047732,0.355410229,-0.50262143,0.284497925,-1.095274138,0.800402537,0.211619674,0.042658096,0.861934179,0.65276803,-1.539041078,0.827639825,0.123210972,0.027641271,0.845976359,0.431018651,-0.059890113,0.266461864,-0.006502818,0.101236872,0.452714769,0.568478524,0.68322678,0.677505248,0.632629073,-1.098593499,-2.823556098,-1.097014539,0.881651191,0.554484449,0.763768679,-0.250437318,-2.436562601,0.734467311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homogentisic acid,0.866891187,0.406140046,-2.691887664,0.245064637,0.650841926,0.07521787,-0.840695926,-2.853608485,-0.530392554,-0.875446245,0.030675338,-0.042435356,0.185197582,-2.928775055,-1.644310923,-0.453558272,-0.310349149,0.014869025,-1.367448719,0.517111694,0.451483,0.648847107,-1.163314758,-1.057434422,0.85443436,0.157319825,-0.652336681,-0.498574784,0.491468365,0.856407477,-0.061069244,0.145005368,0.600891952,0.846567797,0.818078927,-0.430902688,0.289485991,0.934602304,0.393442844,0.169899428,1.88600732,0.446634349,0.184331283,0.522118463,0.845772131,0.931511521,-1.443484151,0.125488814,0.129354323,0.642871066,0.616014543,0.730511845,0.783616139,0.485193121,-2.420251113,1.352841885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uric acid,0.554623456,0.311564458,-1.653313998,-4.888642276,0.183270026,0.55366307,0.446562578,-1.46631395,0.428410665,0.197391505,0.132974434,0.490168917,0.24432229,-2.169812557,0.290984473,0.171371254,0.438753136,-0.042031428,-0.115328652,0.463567211,0.265019443,1.159143838,-4.989552966,0.128465581,0.72390885,0.219672551,0.125834286,0.538782637,0.204276422,0.34565944,0.132219929,0.371000078,0.802240844,0.745338289,0.244400742,0.398768406,0.219237473,0.505916775,0.29407448,0.466962642,0.802978616,0.389791006,0.345128756,0.569290559,0.85491965,0.404880652,0.210819521,0.59829106,-1.316212524,0.588226827,0.327823052,0.17343777,0.496257301,-4.297249952,-1.436670119,0.329728586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dihydroxyacetone phosphate,0.687816361,1.400215919,-1.94374058,0.050048718,1.011281525,0.642594865,-0.626221585,-1.142659555,-0.555106162,0.446471583,1.780750154,1.242316659,1.088304228,-2.754751602,-0.179184619,-0.13568202,0.635903574,1.7512968,-0.508647467,0.252534436,-0.955557701,0.277320212,-1.249058878,-0.15078842,-0.652793816,1.462340491,-0.518515046,1.099951572,0.652376424,0.55441318,1.586329153,1.110085588,0.387200103,1.075880606,0.181801716,-0.47920265,0.230005354,0.118853002,0.674967784,-0.191319258,-0.701087386,-0.602202213,2.376989521,-0.656245954,-0.32891588,-1.07982577,0.591040839,0.538897326,-1.204702729,-0.295942589,0.249878609,0.562237172,-0.886713456,-0.162286129,-2.213943212,2.232020976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glyceraldehyde 3-phosphate,0.32437716,0.43868932,-1.57816471,-1.34100682,0.27455488,1.19992277,0.05783733,-0.98817037,-0.46295255,-0.41805418,1.61592094,0.12279632,0.22724096,-3.07725603,0.1038094,0.37594601,0.69346521,1.61255793,-1.41341205,-0.05820788,-1.72035736,1.30530094,-0.72214243,0.20225776,0.13427894,-0.16428464,-0.56578813,0.2042658,0.71998392,0.47304394,0.98066358,1.05749548,-0.56556572,0.18523421,0.99550492,0.5134887,0.6092698,0.34252288,1.06423224,0.312203,0.25325294,0.93171772,0.41412166,-0.4160358,1.13010273,-0.76580083,1.20824805,0.96708805,-0.80300787,-0.16980166,-0.52225283,0.55313136,-0.789107,0.35432425,-2.86098136,0.14654024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikimic acid,0.589370045,0.478385499,-2.786609559,0.534188297,0.023050057,0.812819222,0.098608705,-1.836100094,1.127568022,0.099691372,0.112354429,-1.195316869,0.143280379,-1.602577412,0.620196157,2.015451777,0.715704032,-0.479362913,-1.658740851,-0.536902127,1.590410887,0.179996065,-0.652796744,-0.267165053,0.542169616,0.30538923,0.099331051,-1.743056597,-0.557182882,0.651730328,-0.178704926,-0.62538714,-1.222828061,0.586224244,0.11558351,-0.763636159,-0.758170064,0.283026811,0.050509453,2.112083655,-0.123666153,0.596907558,0.07263661,1.127131854,-0.010480659,-0.038016236,0.215544905,1.37890404,-0.460405522,-0.194086897,0.767457838,-0.340301655,0.397258959,-0.807741781,-3.111188431,1.622891033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrulline,0.613313915,0.120339628,-1.428578932,0.437836324,0.366421959,0.32761096,0.200382989,-1.690170972,0.729971576,0.37755107,0.254601725,0.492963305,0.863965843,-1.637933795,0.14189948,0.317462471,0.316289686,-0.239308024,0.398229121,0.413298051,0.554077059,-3.961112763,-0.323592954,-4.675700913,0.55871824,0.238724748,0.33807425,0.140417329,0.449587932,0.464579536,0.052203302,0.273240973,0.396900716,0.711232031,0.396112862,0.313533115,-0.039677005,0.456524085,0.190777279,0.516630184,0.447163441,0.433334109,0.410455694,0.53411761,0.926042091,0.62144683,0.628834359,0.502083021,-0.754774064,0.521909115,0.458893522,0.578785606,0.318670005,0.446300877,-1.548535272,0.061450823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hippuric acid,1.735448901,0.20286032,-1.181754682,0.693829248,0.922863205,-0.372486139,0.699702025,-2.085520827,0.57887132,0.271107101,-0.042998462,-0.558411221,0.371784364,-2.28729197,-0.04294169,0.686624245,-0.170115186,-0.249190726,-0.158328873,0.185994739,-0.241380375,0.727098919,-0.878961594,0.381608124,-0.536115252,0.607987048,-1.053707311,-0.509612135,1.176978519,-0.51458013,-0.495125119,0.100017952,-0.723233292,0.246728394,0.933124242,0.949016532,0.505247795,1.110100413,-0.196203064,-1.335509573,0.40169132,-0.439145673,0.10605831,0.835888248,1.657589994,-0.157108756,0.697668017,0.447482128,-1.882122543,1.120059847,1.673930586,-0.253649319,-0.175896149,0.808720906,-1.305203199,0.120932721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
