,PRA001,PRA002,PRA003,PRA004,PRA005,PRA006,PRA007,PRA008,PRA009,PRA010,PRA011,PRA012,PRA013,PRA014,PRA015,PRA016,PRA017,PRA018,PRA019,PRA020,PRA021,PRA022,PRA023,PRA024,PRA025,PRA026,PRA027,PRA028,PRA029,PRA030,PRA031,PRA032,PRA033,PRA034,PRA035,PRA036,PRA037,PRA038,PRA039,PRA040,PRA041,PRA042,PRA043,PRA044,PRA045,PRA046,PRA047,PRA048,PRA049,PRA050,PRA051,PRA052,PRA053,PRA054,PRA055,PRA056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myo-Inositol,0.771578818,0.302474897,-1.444405674,0.582803275,0.050895088,-3.712806834,0.18565124,-1.213456329,0.730207705,0.287440131,0.203941718,0.444469346,0.435720762,-1.400517256,0.337748983,0.185322745,0.564785603,0.048205729,0.006806674,0.387756836,0.304188781,-0.735622379,-3.567563125,0.761758881,0.694974074,0.237641045,0.063961294,0.351445535,0.316417516,0.430390094,-0.003919753,0.31366984,-3.30845146,0.618885103,0.403834244,-2.749289383,0.263660107,0.389670243,0.167132686,0.749266655,0.266113004,0.434000433,0.23667927,0.414419692,0.886089273,0.349526496,0.23576382,0.419028254,-3.919494878,0.627118115,0.240111551,0.509249034,0.417738678,0.7734869,-1.575403742,0.220884388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactose,0.350396015,0.333656606,-2.147184588,0.83401297,0.208737041,0.498868371,0.78383014,-1.83691223,0.928629771,0.518937403,0.321333904,0.629562546,0.920021637,-1.755228527,-0.561561745,0.131144692,0.755854602,-0.077509396,0.362428586,0.689266639,0.454564785,0.706069115,-1.092414434,0.416902467,0.825045142,0.071957158,1.214200519,0.147630263,0.322036067,0.228025471,0.295101157,0.210472527,-0.203246932,0.710207086,0.144441111,0.814491856,0.067188747,1.050128829,0.527433241,0.695283202,0.66857646,0.803496058,0.603769004,0.596191494,0.356347709,0.896235919,0.079602439,0.321140506,-1.765177359,0.72732334,0.716493964,0.637156765,0.725779852,0.70245838,-2.515839502,0.341623909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Hydroxyphenylpyruvic acid,0.015279155,-0.125485897,-2.476291548,-1.209954383,-0.938150225,-0.897417683,-0.046957226,-2.850700611,-1.663803035,-1.002076124,-0.981282246,-0.478233694,0.490200439,-3.847768736,-1.23313361,-0.136937257,-1.406209089,-0.600678431,0.022359323,0.855979672,-0.557033738,1.102287487,-0.955427199,-0.886750751,-0.483697717,-0.079525409,-1.017891449,0.13303407,-0.530837529,0.551427736,-0.946821068,-1.236703859,0.601245342,-0.715754457,-1.153471268,0.523411354,-0.804084692,0.618956263,-0.020951483,-0.133361963,0.130353148,-0.973079237,-0.258556639,-0.401560367,-0.113916233,-1.221571862,-0.980943666,-1.044728122,-1.512169662,0.581103292,-0.250273582,-0.442243343,-0.184432488,-1.288463063,-2.974151003,-0.072283377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Pyridoxic acid,1.115906782,-0.453174301,-3.157088549,0.352342703,0.397924322,0.099253421,0.783392061,-2.191620092,0.968113748,0.492622464,-0.505903069,0.169118508,0.990737494,-3.255208906,-0.193343554,0.124559386,0.316678651,-0.450120771,-0.579590794,1.973574334,0.201066398,0.664795168,-1.12945488,0.009601432,0.717758239,-0.15076884,-0.406800632,-0.384622491,0.256473709,0.121201709,-0.112811663,0.474938842,0.432137295,2.894738091,1.808888114,0.273529082,0.620079958,1.614144336,-0.053709852,1.2420942,0.101215322,0.622715251,0.204892679,0.352242752,0.710016034,0.326491479,0.61719663,0.546697961,-2.460361868,0.354399744,1.612301483,-0.15981244,0.3189054,0.464662948,-3.112928508,-0.27706722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Phosphoglyceric acid,-0.604414449,0.98866919,-1.980669534,-0.035830945,-0.012472856,0.608674151,-0.212757281,-3.066895323,0.79666972,0.861922398,-0.409645169,0.467751867,0.201122675,-3.638845934,-0.147239183,1.773249997,0.214974008,0.095020197,0.846337468,0.601909242,-0.166654706,1.219420599,-0.341131112,1.986124367,0.496744501,0.170463122,0.091275012,1.323356496,-1.243737007,0.258246764,1.004327553,0.506282731,0.290629209,0.282417654,0.36131742,0.83010782,-0.126608848,0.404460223,0.963900339,1.314472212,-0.349123095,-1.275089238,0.644680129,-0.534244799,1.767872435,1.437355616,1.325074445,0.446913364,-2.72072036,-0.520904203,-0.183741172,0.454154274,0.011726526,-0.061885017,-2.49424204,0.793740063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azelaic acid,0.345052334,0.719920972,-1.352931779,0.700002088,0.657808629,0.870993836,0.470644336,-1.814274858,0.859888339,0.656624443,0.426413803,0.538015916,0.744012548,-1.72216378,0.588118059,0.312400455,0.572691994,0.129781233,0.371008492,0.81367479,1.251989117,0.883832652,-1.12041662,0.631054022,0.802582879,0.577605644,0.422266501,0.077443705,0.227103029,0.85881944,0.748624279,0.700814867,0.799383134,0.028717719,0.917313372,0.265059607,0.625827491,1.109407866,0.400075393,0.745241328,0.408374818,0.73485528,0.866728308,1.001892195,0.052539862,0.71451019,1.189249047,0.152671325,-1.342225569,0.265155967,0.855628931,1.531506329,1.63427852,0.759767833,-1.612658645,1.213241031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Hydroxy-2-quinolinecarboxylic acid,0.93670046,0.053128971,-2.004739821,0.350784468,0.219864729,0.634463602,0.38460056,-3.013567616,0.958519534,0.079760539,-0.012868425,0.461575896,1.006147588,-3.228984854,0.128643153,0.721389144,0.736365706,-0.614728009,0.429790588,0.979511426,0.779510516,1.060515832,-0.787698099,0.520503801,1.02204797,0.367021929,0.290655795,0.357919726,0.90892852,1.177227184,-0.0580013,-0.220314805,0.523752957,0.990061541,0.88350575,0.439804402,0.285185933,0.578867985,0.40819171,1.023316394,0.888692199,1.198696312,1.141429661,1.429686622,1.049682024,0.596665184,0.564339566,-0.510019336,-1.818779314,1.448429552,0.810053588,0.537380963,0.715124459,-0.838853196,-2.380081387,0.266219963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glucuronic acid,0.246,0.668,-3.02,0.406,0.0922,0.366,0.492,-2.7,0.395,0.278,0.16,0.553,0.555,-3.26,-0.21,0.0873,0.463,-0.401,-0.108,0.259,0.71,0.624,-1.73,0.42,0.447,0.0726,0.369,0.231,-0.147,0.454,0.0311,-0.112,0.0732,0.487,0.201,0.475,-0.14,0.688,-0.109,0.907,0.413,0.636,0.318,0.557,0.0566,0.378,0.136,0.917,-2.47,0.134,0.459,0.688,0.721,0.325,-2.93,0.0173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indoxyl sulfate,0.410509539,-0.51265329,-1.576900414,0.382395886,0.216534397,-0.186472995,0.111772617,-1.950950165,0.649756924,0.694738958,1.166581934,0.021161854,0.441472652,-4.015711259,-0.474261555,-0.715312172,0.926619451,-0.265429924,-0.483355093,0.558614456,0.46784384,0.977260255,-1.965397995,0.656046321,-0.693078265,0.149705711,-0.272128513,-0.239981744,-0.234792273,-0.555057507,-0.659494267,0.337324811,-0.955360893,-0.623677604,0.271753354,0.559021449,0.718116073,1.180433132,0.448994112,-0.845689218,-0.05576649,-0.106000965,0.270243989,1.11770901,1.214032014,0.527656005,0.878953289,1.490920211,-2.07236648,-0.016474461,1.587842551,-0.483803566,-0.310805166,0.629875955,-1.706606396,0.425662337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantothenic acid,0.437047445,0.098129691,-2.578751985,0.136394031,0.110720324,-0.038004286,0.156635186,-2.396943072,0.713595839,0.760323178,0.033612553,0.346653027,0.691455675,-2.924227999,0.100182035,-0.116381599,0.540027926,-0.693445749,-0.312705013,1.347845134,0.260420432,0.815327684,-1.728131806,0.228964345,0.897080804,0.383450119,-0.008546978,0.008219153,0.467079941,0.441285487,0.205235841,0.472196853,0.589341976,1.205057794,1.04357129,0.451479521,0.30801775,1.576833469,-0.110607593,1.694118864,0.424432792,0.67695653,0.064701887,0.795940632,0.747086326,0.351991009,0.020009494,0.572918088,-2.785467595,0.190408528,1.863092521,0.372653821,0.582167393,0.481682776,-3.149468817,-0.134532163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cystathionine,-0.134487243,-0.293428081,-0.973024778,1.291370755,-0.677023606,-0.130709803,1.046191987,-1.642444101,0.067996423,0.354885853,-0.273473035,-0.000576341,1.359560856,-2.085234977,-0.240008832,1.443566693,0.44719326,-0.31190618,0.059991259,0.726540433,0.489225462,-0.208514613,-2.021253447,-0.101603554,-0.061450224,-0.080539572,-0.318735894,-0.457494995,1.623846792,1.568732795,0.057108612,0.158240056,0.354117707,0.795507598,0.931356276,0.062425544,0.743922752,0.077427868,0.162349685,1.475131372,-0.340669348,0.414344789,-0.36815758,0.485931702,0.295016798,1.893271745,0.132144315,0.010074706,-1.96794673,0.357039381,0.51475225,-0.008407423,1.281891351,-0.758039777,-1.967898554,-0.787986093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Nitrotyrosine,0.337591939,0.989963493,-2.361652134,0.789472868,0.390366007,1.001960115,0.666456562,-2.20819349,1.096935938,0.705810156,0.082739281,0.800866754,0.500584229,-3.411498869,0.049625134,0.463000303,0.298053839,0.125619536,0.088515839,0.580156371,0.28000229,0.608169608,-1.544666724,0.09684428,0.99542718,0.598545714,0.192139636,0.217106627,-0.002923285,0.265440508,0.139362937,0.450340148,-0.292087688,1.410313933,0.165875187,0.372954258,0.254175669,0.977324965,0.25029565,1.358747922,0.652457547,-0.223309603,0.82552241,0.837892958,0.369329648,0.574973039,0.684167604,0.618444858,-2.05664749,0.508429449,0.622933746,0.827871655,0.942806887,0.905149568,-2.51732394,0.635349139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myristic acid,-0.8,0.137,-2.3,-0.663,-0.0993,-0.324,-0.0758,-2.01,-0.418,-0.17,-0.302,-0.263,-0.0136,-2.33,-0.658,-0.0237,-0.725,-0.734,-0.564,0.253,0.00559,-0.167,-1.88,0.0357,-0.628,-0.678,-0.227,-0.0198,-0.552,-0.0221,-1.36,-0.669,-0.188,-0.0352,-1.15,0.201,-0.982,0.326,-0.245,-0.45,0.303,1.45,-0.213,0.0719,-0.477,-0.308,-0.406,-0.547,-2.39,-0.00761,0.356,-1.74,-0.0495,-1.15,-2.26,-0.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ribose 5-phosphate,0.766,0.789,-2.32,-4.14E-05,0.951,-1.29,0.566,-3,1.25,0.0753,-2.07,0.636,0.994,-2.18,0.111,0.368,-0.338,0.28,0.379,0.257,0.202,0.606,-0.45,1.37,0.0837,0.236,0.278,0.755,-0.501,0.0412,0.376,0.206,-0.769,-1.2,0.365,-0.0241,0.675,-1.04,0.369,0.366,1.06,-0.266,-2.19,-0.0989,-0.083,0.0642,0.782,1.16,-2.18,-5.02,1.17,-0.267,-0.0122,1.38,-2.31,0.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotin,0.766716965,0.185274414,-3.094292876,0.074164499,-0.531854738,-0.489784257,0.898735481,-1.929047149,0.045832265,0.350717381,-0.048138346,0.432339906,0.192566691,-3.424484076,-0.249290453,0.212920613,0.757572873,-0.62833459,-0.116584268,0.598293208,0.400919833,0.943351005,4.16302524,0.967773784,0.254579518,-0.448132845,-0.241877014,-0.025644647,-0.66737966,-0.215302998,-0.148764439,0.283133033,-0.083025372,1.04612086,0.208674948,-0.067823511,-0.010254522,0.70988262,-0.248815261,0.520466114,-0.227610463,0.533669813,0.146336547,0.256556835,0.694997376,0.377678036,-0.158408639,0.828552359,4.345432191,0.644568558,0.727002215,0.171463339,-0.193728207,0.377900155,-2.087647118,0.311870279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fructose 6-phosphate,-0.162656296,0.121175863,-0.408655799,0.383348535,0.715787849,0.736238734,0.19130924,-1.612961009,0.293544854,0.498140996,-0.00134533,0.644587548,0.197768647,-1.521647626,-0.269871553,0.453316112,0.314460181,-0.189636094,0.144837224,0.48023313,-3.056657386,0.575808332,-0.836343097,0.506846646,0.055424143,0.575219801,-0.285900281,0.45670942,-0.055788868,0.584995252,0.364604863,0.708690539,0.923920943,0.384946173,0.282087352,0.960768506,0.823235777,0.352596562,0.279054237,0.667860319,0.471080617,-0.598024502,0.325176869,0.830931778,0.659318347,0.370771738,0.82240013,-0.018747235,-0.821069172,-0.384503405,0.423085381,0.752778839,-3.056657386,-0.103962202,-1.641095803,0.421527485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glucose 6-phosphate,0.647885085,-0.399691792,-1.251068565,0.402892873,0.253628102,0.72669094,0.684056995,-1.416351122,0.518316028,0.568894368,0.235340685,0.529218082,0.748843017,-1.907485449,0.094303066,0.282232787,0.922609748,0.20401107,0.215491188,0.540341622,-3.254170859,0.543318287,-0.669004177,0.479520348,0.352106846,0.238096491,0.401799931,0.350091794,0.3096098,0.330471664,0.199392423,0.246054923,0.25384701,0.976006444,0.583550699,0.924473587,0.489755873,0.832696746,0.488683482,0.290247779,0.63953369,-0.556259614,0.711815731,0.684262968,0.807403422,0.594590419,0.590209666,-0.113893841,-0.194635008,-0.847651476,0.673555744,0.474279755,-3.254170859,0.526260207,-1.828544828,0.163579685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heptadecanoic acid,-0.053841699,1.67479136,-3.073755171,0.411083913,-0.241863912,-0.045674331,0.055896635,-2.84909128,0.821930494,-0.128240132,0.027451613,0.26834456,-0.122710696,-3.227230696,-0.551771695,0.028593109,0.918947385,-0.496798205,-0.054192192,0.084208956,-0.049841665,0.828677867,-1.64977632,0.076522641,0.716083231,-0.516281797,-0.222290634,-0.299998168,-0.494246733,-0.16456767,-0.114576118,-0.472399379,-0.138224389,0.200695877,0.170986658,0.714166996,-0.415808708,0.893312745,-0.469410542,0.312607269,0.513897436,0.248553411,0.438532536,0.437782703,0.020837331,0.143810017,0.131363897,0.236144996,-1.930238155,0.318317446,0.202739832,0.319294797,0.487658524,0.262589072,-2.736769572,-0.113687812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linolenate,0.626346201,0.598099822,-2.863092291,0.071284559,-0.373404706,-0.503892212,0.103203224,-2.931601245,-0.287156869,-0.274745686,-0.361335443,0.980853132,0.231307261,-2.691217788,-0.053079065,-1.064741205,1.02099796,0.250914779,-0.387310646,0.106809254,0.683894132,1.355593642,-1.556450791,0.257516417,0.473322303,-0.432041571,0.312550157,0.635276588,-1.129721313,0.43332383,0.49934567,-0.471537994,0.257683546,0.658231125,-0.0068916,0.732067578,-1.038248548,0.767147579,-0.021994838,-0.683887023,1.455433266,0.539354586,0.578363097,-0.347312748,1.011871982,-0.457640407,-0.314167754,0.797027061,-4.681509275,0.910987421,0.079438627,0.287825952,1.157447333,0.417437495,-3.172814257,-0.202508496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha-Linolenic acid,0.39197141,0.2373397,-2.88719524,0.14692367,-0.356958,-0.30057256,-0.50379421,-3.05466689,-0.2482281,-0.12004119,-0.35783426,0.64784425,0.16683379,-2.98608603,-0.34098634,-0.92804185,0.15505043,-0.13592211,-0.38864723,0.2346051,0.57791928,0.38804733,-2.27594849,-0.51442721,0.23048348,-0.10034764,0.02189898,-0.08379865,-0.65792124,-0.15941785,0.03375999,-0.62127135,0.16239091,0.16642548,-0.45834519,0.31259527,0.23766387,0.32863405,-0.47748846,-0.50538829,1.18209081,0.03021074,0.3302723,0.36881077,0.56603792,-0.07975919,-0.35731697,0.88192526,-3.65425838,0.25476798,0.42025502,-0.16901313,0.34734352,-0.13026852,-3.10942602,-0.29324414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xanthosine,-0.450497116,-0.922393355,-1.086289121,0.229509749,-0.951546253,-0.806380311,-0.738567567,-2.517599032,-0.318630259,-1.561899081,-1.427359102,-0.567515999,-0.373166131,-2.287216386,-0.361194369,-0.969809039,0.082868741,-0.834303525,0.615223497,-0.566851106,-0.436521123,1.355516658,-0.198734168,0.977673131,-0.510136318,-0.539363704,1.414009475,0.741219904,-0.254218652,-1.090848067,-0.84615573,-0.728017592,0.996878898,-0.122797779,-0.833501581,1.140457821,-0.597812131,-0.423233062,-1.195997379,-0.694240206,-0.218612605,-1.492566333,-0.583790097,0.169114091,0.621502399,-0.767705895,-0.282803013,1.09282479,-0.528659403,0.557671453,-0.108671429,-1.137842742,-0.093774802,0.779718122,-2.235145139,-1.275781531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argininosuccinic acid,-0.42930691,0.983705629,-1.383122039,-1.181228435,0.704028713,0.069679015,-0.385034692,-2.460897176,-0.210127755,-0.249123993,0.866971765,-1.140145945,0.572715146,-2.259622581,-1.014033653,1.194309745,-0.374498425,2.06936808,-1.512104536,-0.307792476,0.439205643,-0.555471535,-2.540212708,0.54459999,-0.191138396,1.302062994,0.512585277,-0.482152209,0.580197795,0.164885488,0.224700929,-0.494578011,-1.499371472,0.7083623,-0.550336483,-1.176176993,-1.342688184,0.176602322,0.460789771,0.670236085,-0.22656248,-0.157955634,0.475847074,0.876064952,-0.141601884,0.679414991,0.326447867,0.815257892,-1.344736414,0.994493418,0.273874168,1.013958288,0.843508728,0.209645277,-2.672622025,0.307914988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-HODE,0.23769998,0.3739733,-0.76177627,0.44183044,0.13280278,0.36791019,0.28249197,-0.91208861,0.44450983,0.24644051,0.05935763,0.2004509,0.43630478,-0.86499344,-0.1800653,-0.02453026,0.02356184,-0.13739296,0.22872494,0.57486542,0.71295328,0.3224036,-0.60320317,0.37016419,0.35538804,0.14832764,0.34576782,-0.30460942,0.22647235,0.46537963,0.21036394,0.04543737,0.31226301,0.05761671,0.22271429,0.17559932,0.14841294,0.17274521,0.09282616,0.12515807,0.18871478,-0.42209201,0.52224168,0.40012799,0.08798938,0.28772762,0.4669136,0.14956646,-0.77730232,-0.13674674,0.49083197,0.63890247,0.69758508,-0.03260504,-0.88767673,0.62800142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arachidonic acid,-0.079934986,-0.094513434,-2.224541758,0.006471434,-0.051023872,0.058421919,0.262108356,-2.214278039,0.213458759,-0.16218464,-0.345523467,-0.274623496,-0.111665844,-2.486280861,-0.815178588,-0.394166238,-0.278904099,-0.294726697,-0.490528736,0.060916317,0.237568721,-0.271866166,-1.883829997,-0.164321829,-0.192485855,-0.061453702,0.171286791,-0.337238249,0.039404386,-0.058614991,-0.456236588,-0.281809616,-0.107920833,-0.07384572,-0.277221608,-0.484354938,-0.515976952,-0.040901038,0.146563983,0.051349986,-0.548083554,-0.647375945,-0.133347798,0.040330011,-0.144153606,-0.513001741,0.040499306,0.306324736,-2.43993329,0.10490839,0.343663691,-0.111601473,0.308771678,-0.340017335,-2.246110433,-0.161780682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dCMP,1.168509385,0.45188184,-1.175393063,1.097159066,0.588779984,0.422975716,0.481758668,-0.764803947,0.741928422,1.027801699,0.604266425,0.331342665,0.567539478,-2.32689865,-0.065376412,0.778468462,0.498634464,0.415130333,0.221814469,0.546623476,-2.32689865,0.614847868,0.136598607,0.708794776,0.355015729,0.161813586,-2.32689865,1.038396717,0.39584304,0.877512877,0.706786914,0.679020717,0.311553333,0.650647093,0.561494132,0.978260401,0.228304565,0.624245901,0.226426525,0.479003228,0.43266306,0.352850924,0.613960048,0.51822425,0.611876728,0.501662581,0.657838841,-2.32689865,-0.458311061,-2.32689865,0.631120323,0.221973178,-2.32689865,0.40561479,-0.826930434,0.69064003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glutathione,-0.9489028,0.969375111,0.155590321,1.483521286,-0.9489028,-0.9489028,1.312535105,0.297012823,1.052068552,1.406214302,-0.9489028,-0.9489028,-0.9489028,-0.105651201,0.777908041,1.13678034,1.095013981,-0.9489028,1.021451175,-0.9489028,-0.9489028,1.384670301,0.232042929,0.800470223,1.09697067,-0.9489028,1.18434683,1.099058198,-0.9489028,-0.9489028,-0.9489028,-0.9489028,0.798050721,-0.9489028,0.893369228,1.046772945,-0.9489028,-0.9489028,-0.9489028,1.135963998,-0.9489028,1.52539385,-0.9489028,-0.9489028,0.987119424,1.087513016,-0.9489028,-0.9489028,-0.104705619,-0.9489028,-0.9489028,-0.9489028,-0.9489028,0.934368019,-0.27324765,-0.9489028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-Acetylneuraminic acid,0.355030374,0.237316645,-2.681356043,0.571277828,0.013528978,0.703994851,-0.372048552,-2.242743667,0.170130292,-0.266589303,0.180789479,0.100885522,-0.358323297,-2.853303142,-0.380481675,-0.605492636,-0.0293396,-0.328783321,-0.48284317,0.080933864,0.068612924,-0.327613634,-1.820955858,-0.047962324,-0.127870684,-0.116877329,-0.264705276,-0.284261811,0.653809616,0.413573651,-0.244336152,0.93133419,0.292114784,0.359131391,-0.041007505,-2.29339105,-0.427455139,-0.111653188,0.144494207,-0.12460367,-0.40314793,0.262471825,-0.43516953,-0.214721459,-0.178373023,0.115640232,-0.486087871,0.542923335,-2.874818271,-0.207084737,-0.407624688,-0.324217359,0.228252362,0.288396736,-3.120361751,-0.589588356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-HETE,0.208558959,0.318119646,-0.538948173,0.375758842,0.348394229,0.320860956,0.38897631,-0.704726302,0.465251697,0.176785024,0.143312812,0.134836943,0.228877036,-0.601869924,-0.126024383,-0.029035895,0.004729323,0.078349756,0.208869514,0.414859564,0.488766294,0.270510901,-0.58257893,0.348577355,0.286468179,0.235037418,0.441213635,-0.009305604,0.245749563,0.333062426,0.045338215,0.040163216,0.256454934,0.149680739,0.129708624,-0.043149999,-0.021163247,0.25358995,0.215416714,0.170275633,-0.036133377,-0.148671119,0.346930761,0.3165915,0.191643807,0.123898492,0.395386823,0.568795113,-0.738706299,0.04941613,0.464161208,0.500482889,0.599784418,0.049657219,-0.550079337,0.394135453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Thymidylic acid,0.7269337,0.38328435,-2.89800091,0.66636326,0.860396073,0.821938727,0.010730526,-1.539150741,-0.058568334,-0.092888609,0.289207592,0.881266483,1.233276589,-1.528531332,-0.433468381,0.306124573,0.134575863,0.266505659,0.286892962,0.571717866,0.487106318,0.286250147,-0.532366702,0.232732798,0.187618173,-0.10330961,0.444385347,0.606654986,0.134934226,0.487910645,0.409485679,0.253053653,0.162278466,0.56939701,-0.485738216,0.043409697,0.281511817,0.649078527,0.643433314,0.873054073,0.738819279,-0.339001017,1.087051131,0.960620945,0.448812037,0.158932248,0.818446074,0.766379937,-0.890707052,0.592304712,1.267497707,0.687894432,0.443549071,0.527006666,-1.277638952,0.495802406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cytidine monophosphate,0.507184952,0.329400659,-0.964530308,0.347681085,0.201557939,1.405025332,0.485337797,-0.181114396,0.78391913,0.600500066,0.474038952,0.87825094,0.066580293,-1.332966234,-0.139062148,-0.252562652,0.247410829,1.537463963,0.170992034,0.04491032,-2.20617709,-2.20617709,-0.267387761,0.556385932,0.466428237,1.427387949,-0.031582711,-0.057745651,0.715606552,1.175020246,1.035229584,1.121115998,1.227801221,0.630260456,1.032122157,0.690641523,0.491562719,0.696050483,0.88584988,-2.20617709,0.180837458,0.2948677,-2.20617709,0.267268547,0.739894092,0.842837609,0.335345491,0.430109256,-1.224115914,0.663975736,-0.028621155,0.503131737,-2.20617709,-2.20617709,-1.263386516,-0.027531325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glucose 1,6-bisphosphate",0.222140867,-0.11156132,-2.752779698,-0.639726096,-0.326633466,-0.294595407,0.355021612,-2.303944477,-0.006580051,-0.548255112,-0.598290859,-0.012644152,-0.030861379,-3.390581222,-1.128334163,-0.261353445,0.10980499,-0.721770354,0.938065879,1.250230057,-0.332883057,-0.699343159,-1.822716622,0.613351272,0.998373857,-0.501965516,-0.155765482,0.673394789,-0.734961458,0.248198618,-0.499056015,-0.38608468,-0.008299246,-0.110721711,-0.055474342,0.423537679,-0.088640754,-0.660667976,-0.602005131,1.099073722,-0.205532682,-1.726070005,0.045874744,0.611357205,-1.026063723,-0.113967242,-0.067393692,-0.991256379,-3.150385388,-0.027423966,0.085705321,0.712371535,-0.361572874,-0.42525855,-3.452344878,0.112115969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fructose 1,6-bisphosphate",1.073785421,-0.111402803,-1.393774143,0.059759305,-0.246685857,-0.050158244,1.12908408,-2.412364186,0.759874801,0.41902429,0.273609479,0.549949514,1.967948924,-2.867663057,-0.691189172,-0.773587465,0.63390854,-0.171428714,0.238510024,0.625790707,0.460652945,0.581095793,-0.440278655,0.413336875,0.738268772,-0.12811537,0.128976235,0.084338628,0.206934787,0.234838763,0.504294216,0.444263222,0.658701272,-0.171692182,-0.56438079,1.764695102,-0.23599471,0.617799971,0.312151826,0.285395229,1.075581206,2.439526571,1.086421677,-0.270335233,0.809411357,0.569707361,-0.033598132,2.418833501,-1.707051222,2.433820252,0.514278548,0.653004535,0.789721775,0.55259619,-2.916122683,0.109295951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha-Lactose,0.85317074,0.159170216,-1.864766898,0.148440973,0.117696419,0.482097734,1.232827177,-1.889936043,1.15577512,0.360511591,0.045832594,0.809461987,0.538572159,-1.994665433,0.400637324,0.100458456,0.304519719,0.030429908,-0.048649346,0.639096845,-0.013805638,-0.671014372,-1.34277536,-1.131605003,0.629529057,0.073322822,0.244492632,0.392300913,-0.024399143,0.617750284,0.991775631,0.216914065,0.217195725,0.94962094,-0.359129136,-1.427827788,0.510874051,1.475620318,0.16072286,1.470010388,0.53158597,0.592714123,0.440419449,0.643750696,-1.072456068,0.420078144,0.827797699,1.104566549,-2.407476809,0.734476917,0.556495718,0.901175967,0.278986887,1.102817235,-1.592877934,0.433642363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sucrose,0.650227573,0.033562715,-2.03689627,0.23074308,-0.027174554,0.487335596,1.314548724,-1.833818213,1.1296125,0.350076546,0.144558273,0.651710115,0.405646766,-2.13075824,0.365533664,-0.026696663,0.186888264,-0.027993913,0.34902994,0.860102634,0.158927612,-0.589656413,-1.247756215,-1.36365749,0.647673807,-0.091424865,0.231511843,0.333650758,0.242730932,0.360549716,1.052392272,0.558305474,0.588735063,0.930413611,-0.201526476,-1.204381615,0.465937436,1.452171771,0.42853433,1.467145781,0.308032293,0.645978991,0.551697686,0.42767015,-1.051505532,0.474872547,0.922177333,1.172373338,-2.436108462,0.926869315,0.39566849,0.786188717,0.480849012,1.142914519,-1.364642726,0.280130761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
