"Element","pvalue","Value"
"Maleic acid",0.0303828219765775,-1.6380718325
"Maleic acid",0.0303828219765775,-1.9048287475
"Maleic acid",0.0303828219765775,-1.4111341475
"Maleic acid",0.0303828219765775,-1.84350656
"Maleic acid",0.0303828219765775,-2.427376995
"Maleic acid",0.0303828219765775,-1.34592067
"Maleic acid",0.0303828219765775,-1.0379780725
"Maleic acid",0.0303828219765775,-2.3757789675
"Maleic acid",0.0303828219765775,-2.0981464575
"Maleic acid",0.0303828219765775,-1.6082197625
"Maleic acid",0.0303828219765775,-1.126537505
"Maleic acid",0.0303828219765775,-1.0864190475
"Maleic acid",0.0303828219765775,-1.94501702
"Maleic acid",0.0303828219765775,-1.6324722425
"Maleic acid",0.0303828219765775,-1.8863365925
"Maleic acid",0.0303828219765775,-1.94276639
"Maleic acid",0.0303828219765775,-1.80720729
"Maleic acid",0.0303828219765775,-1.49429218
"Maleic acid",0.0303828219765775,-1.9565000175
"Sarcosine",0.0303828219765775,0.7371827275
"Sarcosine",0.0303828219765775,0.849918039
"Sarcosine",0.0303828219765775,2.007766655
"Sarcosine",0.0303828219765775,1.696015437
"Sarcosine",0.0303828219765775,1.33251476725
"Sarcosine",0.0303828219765775,1.8306911425
"Sarcosine",0.0303828219765775,0.56186511275
"Sarcosine",0.0303828219765775,1.08821091325
"Sarcosine",0.0303828219765775,1.80382224525
"Sarcosine",0.0303828219765775,2.440183391
"Sarcosine",0.0303828219765775,0.7475205195
"Sarcosine",0.0303828219765775,0.877899267
"Sarcosine",0.0303828219765775,1.3606753145
"Sarcosine",0.0303828219765775,2.1435285135
"Sucrose",0.0303828219765775,-1.6416458165
"Sucrose",0.0303828219765775,-1.79449453975
"Sucrose",0.0303828219765775,-1.807859464
"Sucrose",0.0303828219765775,-1.681169729
"Sucrose",0.0303828219765775,-1.663034001
"Sucrose",0.0303828219765775,-1.65942542325
"Sucrose",0.0303828219765775,-1.453550981
"Sucrose",0.0303828219765775,-1.5729585425
"Sucrose",0.0303828219765775,-1.44058930275
"Sucrose",0.0303828219765775,-1.40908619975
"Sucrose",0.0303828219765775,-1.27735103375
"Sucrose",0.0303828219765775,-1.621156644
"Sucrose",0.0303828219765775,-1.403523321
"NAD",0.0265187219594307,-1.9148969175
"NAD",0.0265187219594307,-1.7383856675
"NAD",0.0265187219594307,-1.7591140775
"NAD",0.0265187219594307,-1.89700847
"NAD",0.0265187219594307,-1.9982553075
"NAD",0.0265187219594307,-1.743173765
"NAD",0.0265187219594307,-2.0224344725
"NAD",0.0265187219594307,-1.7739939525
"NAD",0.0265187219594307,-1.6056742325
"NAD",0.0265187219594307,-1.847936825
"NAD",0.0265187219594307,-1.8133947425
"Glutarate",0.0303828219765775,-0.85675
"Glutarate",0.0303828219765775,-0.8575
"Glutarate",0.0303828219765775,-0.7315
"Glutarate",0.0303828219765775,-0.7905
"Glutarate",0.0303828219765775,-0.8615
"Glutarate",0.0303828219765775,-0.9415
"Glutarate",0.0303828219765775,-0.71225
"Glutarate",0.0303828219765775,-0.574
"Glutarate",0.0303828219765775,-0.77475
"Glutarate",0.0303828219765775,-0.72925
"Melatonin",0.0294010481903397,-1.38661954
"Melatonin",0.0294010481903397,-1.398993505
"Melatonin",0.0294010481903397,-1.4346446725
"Melatonin",0.0294010481903397,-1.3653592125
"Melatonin",0.0294010481903397,-1.4461574725
"Melatonin",0.0294010481903397,-1.42663889
"Melatonin",0.0294010481903397,-1.451373
"Melatonin",0.0294010481903397,-1.4057716475
"Melatonin",0.0294010481903397,-1.4223298075
"Melatonin",0.0294010481903397,-1.4644902725
"6-Methyladenosine",0.0303828219765775,1.043936039
"6-Methyladenosine",0.0303828219765775,0.7314433985
"6-Methyladenosine",0.0303828219765775,0.47807365875
"6-Methyladenosine",0.0303828219765775,0.68482825075
"6-Methyladenosine",0.0303828219765775,0.72852233875
"6-Methyladenosine",0.0303828219765775,0.51644398725
"6-Methyladenosine",0.0303828219765775,1.75534212375
"6-Methyladenosine",0.0303828219765775,0.774006211
"6-Methyladenosine",0.0303828219765775,1.18824482925
"6-Methyladenosine",0.0303828219765775,0.699832882
