iter,model,nri_value,nri_ci,nri_p,idi_value,idi_ci,idi_p
7,train_full,0.6619,0.3707 - 0.9531,1.00E-05,0.3831,0.2948 - 0.4713,0
70,train_full,0.4286,0.1181 - 0.739,0.00681,0.2074,0.1299 - 0.285,0
71,train_full,0.5762,0.3264 - 0.826,1.00E-05,0.2879,0.2056 - 0.3701,0
72,train_full,0.681,0.4773 - 0.8846,0,0.3691,0.2725 - 0.4656,0
73,train_full,0.4905,0.232 - 0.749,2.00E-04,0.2656,0.1841 - 0.3471,0
74,train_full,0.6762,0.4084 - 0.9439,0,0.5104,0.3985 - 0.6222,0
75,train_full,0.3857,0.0688 - 0.7026,0.01705,0.2514,0.1704 - 0.3323,0
76,train_full,0.4429,0.1843 - 0.7014,0.00079,0.3077,0.2068 - 0.4087,0
77,train_full,0.4571,0.2079 - 0.7064,0.00032,0.2966,0.2066 - 0.3867,0
78,train_full,0.5571,0.2832 - 0.831,7.00E-05,0.2827,0.1943 - 0.371,0
79,train_full,0.5333,0.2382 - 0.8285,4.00E-04,0.1961,0.1224 - 0.2697,0
8,train_full,0.5762,0.3264 - 0.826,1.00E-05,0.4035,0.3046 - 0.5023,0
80,train_full,0.4476,0.1272 - 0.7681,0.00618,0.192,0.1119 - 0.2721,0
81,train_full,0.6762,0.3458 - 1.0066,6.00E-05,0.3188,0.2316 - 0.406,0
82,train_full,0.7429,0.4945 - 0.9912,0,0.3836,0.292 - 0.4752,0
83,train_full,0.5857,0.3495 - 0.8219,0,0.4291,0.34 - 0.5182,0
84,train_full,0.5571,0.2986 - 0.8157,2.00E-05,0.2961,0.2039 - 0.3883,0
85,train_full,0.3952,0.092 - 0.6985,0.01063,0.2402,0.1539 - 0.3265,0
86,train_full,0.4286,0.1976 - 0.6595,0.00028,0.287,0.1939 - 0.38,0
87,train_full,0.5667,0.3382 - 0.7951,0,0.2626,0.1821 - 0.3431,0
88,train_full,0.5524,0.3082 - 0.7966,1.00E-05,0.2906,0.2107 - 0.3705,0
89,train_full,0.519,0.2676 - 0.7704,5.00E-05,0.266,0.1872 - 0.3447,0
9,train_full,0.4762,0.2435 - 0.7089,6.00E-05,0.3187,0.2203 - 0.417,0
90,train_full,0.5714,0.3405 - 0.8024,0,0.3118,0.2242 - 0.3993,0
91,train_full,0.5095,0.2301 - 0.789,0.00035,0.3034,0.2116 - 0.3952,0
92,train_full,0.4619,0.1889 - 0.7349,0.00091,0.1606,0.0768 - 0.2444,0.00017
93,train_full,0.4429,0.1843 - 0.7014,0.00079,0.3579,0.2617 - 0.4541,0
94,train_full,0.7286,0.5354 - 0.9217,0,0.3516,0.2619 - 0.4413,0
95,train_full,0.6,0.4247 - 0.7753,0,0.2333,0.1504 - 0.3163,0
96,train_full,0.4905,0.2159 - 0.765,0.00046,0.2566,0.1826 - 0.3307,0
97,train_full,0.5095,0.235 - 0.7841,0.00028,0.3122,0.2272 - 0.3972,0
98,train_full,0.6667,0.498 - 0.8354,0,0.235,0.1665 - 0.3036,0
99,train_full,0.2952,0.0342 - 0.5563,0.02663,0.212,0.1403 - 0.2838,0
