"iter","model","nri_value","nri_ci","nri_p","idi_value","idi_ci","idi_p"
22,"train_clin","0.219","-0.0314 - 0.4695","0.08648","0.181","0.1077 - 0.2544","0"
22,"train_full","0.281","0.0471 - 0.5148","0.01851","0.181","0.1077 - 0.2544","0"
23,"test_clin","0.3333","-0.0413 - 0.7079","0.08114","0.3439","0.2271 - 0.4606","0"
23,"test_full","0.5214","0.1068 - 0.9359","0.0137","0.3439","0.2271 - 0.4606","0"
23,"train_clin","0.219","-0.0928 - 0.5308","0.16853","0.187","0.1188 - 0.2553","0"
23,"train_full","0.4143","0.1138 - 0.7148","0.00689","0.187","0.1188 - 0.2553","0"
24,"test_clin","-0.2222","-0.4938 - 0.0494","0.10881","0.172","0.0489 - 0.2951","0.00616"
24,"test_full","0.6154","0.3509 - 0.8799","1e-05","0.172","0.0489 - 0.2951","0.00616"
24,"train_clin","0.3286","0.075 - 0.5821","0.01108","0.2225","0.1462 - 0.2988","0"
24,"train_full","0.5619","0.285 - 0.8388","7e-05","0.2225","0.1462 - 0.2988","0"
25,"test_clin","0.0684","-0.4811 - 0.6179","0.80732","0.2143","0.0696 - 0.3591","0.00371"
25,"test_full","0.453","0.0386 - 0.8674","0.03214","0.2143","0.0696 - 0.3591","0.00371"
25,"train_clin","0.3286","0.0912 - 0.5659","0.00666","0.265","0.1823 - 0.3477","0"
25,"train_full","0.5524","0.2754 - 0.8294","9e-05","0.265","0.1823 - 0.3477","0"
26,"test_clin","0.1453","-0.1625 - 0.4531","0.35489","0.2663","0.0874 - 0.4453","0.00353"
26,"test_full","0.5214","0.1068 - 0.9359","0.0137","0.2663","0.0874 - 0.4453","0.00353"
26,"train_clin","0.4095","0.1603 - 0.6588","0.00128","0.2519","0.1671 - 0.3367","0"
26,"train_full","0.5571","0.2675 - 0.8468","0.00016","0.2519","0.1671 - 0.3367","0"
27,"test_clin","-0.0085","-0.3638 - 0.3467","0.96239","0.1012","-0.068 - 0.2705","0.24114"
27,"test_full","0.6068","0.2277 - 0.9859","0.0017","0.1012","-0.068 - 0.2705","0.24114"
27,"train_clin","0.3429","0.0497 - 0.636","0.02187","0.3916","0.2952 - 0.4879","0"
27,"train_full","0.5143","0.2103 - 0.8183","0.00091","0.3916","0.2952 - 0.4879","0"
28,"test_clin","-0.3333","-0.6413 - -0.0253","0.03389","0.1647","0.0384 - 0.291","0.01058"
28,"test_full","0.6154","0.3509 - 0.8799","1e-05","0.1647","0.0384 - 0.291","0.01058"
28,"train_clin","0.4","0.1814 - 0.6186","0.00034","0.2869","0.2077 - 0.3661","0"
28,"train_full","0.6762","0.3878 - 0.9646","0","0.2869","0.2077 - 0.3661","0"
29,"test_clin","0.1111","-0.3663 - 0.5885","0.64828","0.2685","0.1175 - 0.4196","0.00049"
29,"test_full","0.8718","0.4616 - 1.282","3e-05","0.2685","0.1175 - 0.4196","0.00049"
29,"train_clin","0.2667","0.0097 - 0.5237","0.04197","0.2193","0.1318 - 0.3068","0"
29,"train_full","0.4762","0.179 - 0.7734","0.00169","0.2193","0.1318 - 0.3068","0"
3,"test_clin","-0.0855","-0.5667 - 0.3958","0.72775","0.3257","0.0863 - 0.5652","0.00768"
3,"test_full","0.265","-0.2051 - 0.735","0.26924","0.3257","0.0863 - 0.5652","0.00768"
3,"train_clin","0.4238","0.1211 - 0.7265","0.00607","0.4246","0.329 - 0.5202","0"
3,"train_full","0.6095","0.302 - 0.9171","1e-04","0.4246","0.329 - 0.5202","0"
30,"test_clin","0.0684","-0.3867 - 0.5235","0.76838","0.1559","0.0348 - 0.277","0.01162"
30,"test_full","0.2906","-0.0887 - 0.6699","0.13318","0.1559","0.0348 - 0.277","0.01162"
30,"train_clin","0.2","-0.0991 - 0.4991","0.19004","0.2122","0.1275 - 0.297","0"
30,"train_full","0.4143","0.1606 - 0.6679","0.00137","0.2122","0.1275 - 0.297","0"
31,"test_clin","-0.1966","-0.6438 - 0.2506","0.38889","0.0613","-0.2214 - 0.3441","0.67065"
31,"test_full","0.3932","0.0141 - 0.7723","0.04208","0.0613","-0.2214 - 0.3441","0.67065"
31,"train_clin","0.4619","0.1952 - 0.7286","0.00069","0.5543","0.4631 - 0.6455","0"
31,"train_full","0.8238","0.6609 - 0.9867","0","0.5543","0.4631 - 0.6455","0"
32,"test_clin","-0.265","-0.866 - 0.3361","0.38758","0.1119","-0.0839 - 0.3078","0.26247"
32,"test_full","0.4701","0.1003 - 0.8398","0.01271","0.1119","-0.0839 - 0.3078","0.26247"
32,"train_clin","0.3905","0.1115 - 0.6695","0.00609","0.4342","0.3354 - 0.5331","0"
32,"train_full","0.6286","0.3573 - 0.8999","1e-05","0.4342","0.3354 - 0.5331","0"
33,"test_clin","0.5043","0.0494 - 0.9592","0.02981","0.2825","0.057 - 0.508","0.01407"
33,"test_full","0.5897","0.1881 - 0.9914","0.004","0.2825","0.057 - 0.508","0.01407"
33,"train_clin","0.3762","0.1199 - 0.6325","0.00402","0.3174","0.2269 - 0.4079","0"
33,"train_full","0.4429","0.2014 - 0.6843","0.00032","0.3174","0.2269 - 0.4079","0"
34,"test_clin","0.3077","-0.0896 - 0.7049","0.12898","0.2476","0.1377 - 0.3575","1e-05"
34,"test_full","0.5726","0.2327 - 0.9126","0.00096","0.2476","0.1377 - 0.3575","1e-05"
34,"train_clin","0.1667","-0.0921 - 0.4255","0.20685","0.1773","0.108 - 0.2467","0"
34,"train_full","0.4238","0.1312 - 0.7164","0.00453","0.1773","0.108 - 0.2467","0"
35,"test_clin","0.2735","-0.2289 - 0.7759","0.28598","0.303","0.098 - 0.508","0.00377"
35,"test_full","0.7692","0.5402 - 0.9983","0","0.303","0.098 - 0.508","0.00377"
35,"train_clin","0.3667","0.1173 - 0.6161","0.00396","0.3023","0.2054 - 0.3992","0"
35,"train_full","0.4619","0.2222 - 0.7016","0.00016","0.3023","0.2054 - 0.3992","0"
36,"test_clin","0.7094","0.3301 - 1.0887","0.00025","0.2478","0.1375 - 0.3582","1e-05"
36,"test_full","0.8205","0.4554 - 1.1856","1e-05","0.2478","0.1375 - 0.3582","1e-05"
36,"train_clin","0.2048","-0.0632 - 0.4727","0.13421","0.1692","0.0824 - 0.256","0.00013"
36,"train_full","0.381","0.1187 - 0.6432","0.0044","0.1692","0.0824 - 0.256","0.00013"
37,"test_clin","-0.1197","-0.5549 - 0.3156","0.59002","0.1068","-0.096 - 0.3096","0.30204"
