"Table S3B:GAM regression between age and metabolites in 209 RA baseline data, 56 IAR and 99 health.",,,,,,,,,,,,,,,,,,,,,
metabolites,RA,,,,,,,IAR,,,,,,,HC,,,,,,
,estimated degrees of freedom,AIC_non_linear,AIC_linear,suitble for lm,p_value_non_linear,coefficient_linear,p_value_linear,estimated degrees of freedom,AIC_non_linear,AIC_linear,suitble for lm,p_value_non_linear,coefficient_linear,p_value_linear,estimated degrees of freedom,AIC_non_linear,AIC_linear,suitble for lm,p_value_non_linear,coefficient_linear,p_value_linear
Aminoadipic acid,1.000630541,325.5943544,325.5928087,yes,0.208546551,0.004409446,0.208317529,1.000053248,114.175216,114.1750232,yes,0.165657337,0.012310654,0.165640282,1.000106978,226.6944524,226.6941156,yes,0.540722957,-0.005660367,0.540643312
Phenylpyruvate,1.000095708,416.5093314,416.5098317,yes,0.460994365,0.003261106,0.460923308,1.000111393,115.899547,115.8992323,yes,0.614977339,0.004501674,0.614879223,1.423790315,167.7840504,167.354814,yes,0.742623632,-0.001904635,0.780987819
Phosphoenolpyruvic acid,1.670204745,402.9129018,402.7102973,yes,0.493270071,0.003054229,0.473261357,1.000039843,116.353243,116.3531051,yes,0.145104654,0.013205326,0.14509301,1.206224862,221.1941551,220.8793152,yes,0.137395205,0.015186437,0.093005586
Homogentisic acid,1.944180613,387.3117728,387.5662918,no,0.111489491,0.007240325,0.078978007,1.000143733,113.5412805,113.5408858,yes,0.809077596,0.002117678,0.808831039,1.000025946,173.5367635,173.5366803,yes,0.794673318,0.001839674,0.79463195
Uric acid,3.273313935,387.834331,394.5276106,no,0.016196916,0.006822487,0.103723855,1.000186803,154.4140686,154.4135572,yes,0.683031764,-0.00515428,0.682834318,1.000129704,217.7847148,217.7842716,yes,0.127786773,0.013538268,0.127751745
Dihydroxyacetone phosphate,1.267825861,421.9429435,421.5683247,yes,0.769175727,-0.001969585,0.66007619,1.000048638,137.5868778,137.5867175,yes,0.805075856,0.002678615,0.804993921,1.000598433,237.2470321,237.2455891,yes,0.222561431,0.011942361,0.222331768
Glyceraldehyde 3-phosphate,2.262570318,398.9502991,399.8576057,no,0.157034005,0.006101094,0.15087039,1.000055415,120.2670445,120.2668536,yes,0.296385693,-0.009753289,0.296359967,1.000081479,202.0725511,202.0722446,yes,0.054181548,0.015867178,0.054169313
Shikimic acid,1.000064743,336.2656069,336.2656422,yes,0.03593195,0.007598751,0.035924164,1.000053676,111.6118184,111.6116137,yes,0.222018263,0.010577677,0.221997583,1.000065632,203.1615625,203.1613067,yes,0.831214101,0.001750754,0.831087303
Citrulline,1.199241625,469.6098781,469.2969422,yes,0.386895998,0.005355721,0.290253053,1.000036629,131.9881383,131.9880069,yes,0.25806315,0.011739272,0.258047719,1.000020348,224.1140505,224.113985,yes,0.958869373,-0.000472313,0.958709822
Hippuric acid,1.711511926,396.6410015,396.3682815,yes,0.002021054,0.014602241,0.000614306,1.389731243,93.51771313,93.08639409,yes,0.03069144,0.018665046,0.012887918,1.000092718,192.4037181,192.4033684,yes,0.622557307,-0.003829266,0.622474245
