"Table S3B:GAM regression between age and metabolites in 209 RA baseline data, 56 IAR and 99 health.",,,,,,,,,,,,,,,,,,,,,
metabolites,RA,,,,,,,IAR,,,,,,,HC,,,,,,
,estimated degrees of freedom,AIC_non_linear,AIC_linear,suitble for lm,p_value_non_linear,coefficient_linear,p_value_linear,estimated degrees of freedom,AIC_non_linear,AIC_linear,suitble for lm,p_value_non_linear,coefficient_linear,p_value_linear,estimated degrees of freedom,AIC_non_linear,AIC_linear,suitble for lm,p_value_non_linear,coefficient_linear,p_value_linear
Adenylsuccinic acid,2.048300459,217.2007416,217.7003227,no,0.051170153,0.005791043,0.030571915,1.000034644,74.81233783,74.81221909,yes,0.154572715,0.008899704,0.15456221,1.000061638,151.1596241,151.1593938,yes,0.108296577,0.01020349,0.108281692
Glycerol 3-phosphate,2.21566674,264.4907347,265.6450155,no,0.184213142,0.003560057,0.236491194,1.060581818,118.3434687,118.2344324,yes,0.286300619,0.010328238,0.260523118,1.476124219,204.6359706,204.1530388,yes,0.454222158,0.008453862,0.306686318
Glyceraldehyde,1.798132574,321.86478,321.2210927,yes,0.15726486,0.006600325,0.058035146,1.00004912,106.4066063,106.4064294,yes,0.083009765,0.014435429,0.082999988,1.000089763,183.3094937,183.3091605,yes,0.882931893,0.001095573,0.882683655
Pyruvic acid,2.141713726,457.8284055,458.8399566,no,0.154365495,0.006633658,0.178296623,1.000054808,115.7290576,115.7288582,yes,0.002731229,0.027900054,0.002729983,1.000091869,214.1705121,214.1702211,yes,0.809328615,0.002095511,0.80917118
Methyl-3-methyl-2-oxopentanoate,2.357920908,236.7049854,238.3236499,no,0.16233417,0.002909098,0.300416917,1.000053222,129.6590841,129.6588738,yes,0.833827437,0.002121808,0.833722715,1.00004225,130.191443,130.1912924,yes,0.629503007,0.002740672,0.629464619
Isocitric acid,1.000254603,487.6351253,487.6342218,yes,0.220702928,-0.006495227,0.220604828,1.000040205,143.8851887,143.8850442,yes,0.350715233,0.010751499,0.350694421,1.262022431,279.1843628,278.8160288,yes,0.475810863,0.01137125,0.345475125
Homovanillic acid,1.000327238,344.4082327,344.4081196,yes,0.453540933,0.002759425,0.453334656,1.000049156,84.52907677,84.52893513,yes,0.077506197,0.012098572,0.077496835,1.226279335,196.9279241,196.5958482,yes,0.822893909,0.002805929,0.723848351
Trimethylamine,1.978402146,572.3191662,572.6990259,no,0.367099741,0.004004834,0.543156838,1.213179409,174.9250652,174.6121002,yes,0.406605297,0.015635172,0.302726613,1.000336817,316.9797726,316.9789281,yes,0.165877341,0.020310428,0.165769961
Glycine,1.171838646,486.697478,486.4208079,yes,0.69249878,-0.003027725,0.566711977,1.115946299,150.1809588,149.9861127,yes,0.313230056,0.01366206,0.262293674,1.000094795,266.3811043,266.3807956,yes,0.917421315,0.001176259,0.917050848
Trimethylamine N-oxide,1.819367383,444.7847477,444.742764,yes,0.077416866,0.009546184,0.045566637,1.278195808,131.7367825,131.3566677,yes,0.291163181,0.013451169,0.193341691,1.000098203,257.1459627,257.1456106,yes,0.076776238,0.019232563,0.07675742
Sarcosine,1.000438145,544.3086917,544.3215228,yes,0.00426742,0.017690743,0.004250663,1.000192575,173.3303069,173.3298192,yes,0.127609852,0.022989681,0.127558395,1.000092937,294.5294762,294.5291159,yes,0.267447583,0.014484769,0.267407368
Alanine,1.639526217,419.605769,419.3019712,yes,0.540125058,0.002131357,0.631458254,1.000098068,130.0391324,130.0388265,yes,0.367034397,0.009182106,0.366981828,1.000092946,237.1385542,237.138221,yes,0.263782679,0.010923983,0.263742859
Cadaverine,1.00002935,439.3782092,439.3785731,yes,0.310178085,0.004761321,0.310165692,1.000092255,134.2427684,134.2425112,yes,0.170659207,0.014551606,0.170629389,1.000093364,249.44295,249.4426525,yes,0.102489662,0.017048039,0.102467868
3-Aminoisobutyric acid,1.909625217,486.5579578,486.6540304,no,0.489900343,0.001293912,0.806633492,1.000131765,150.9552829,150.9548669,yes,0.664481499,0.005307729,0.664349322,1.00009064,223.6335404,223.6332148,yes,0.349489541,0.008534528,0.349442808
Choline,1.474173997,422.7304163,422.3105858,yes,0.486508172,0.003955138,0.377451308,1.000060361,132.057885,132.0577018,yes,0.23549768,0.012328935,0.235473745,1.000093323,239.3158374,239.315493,yes,0.209680026,0.012408687,0.209645356
Dimethylglycine,1.787091522,428.7802087,428.7002816,yes,0.269889686,0.005452584,0.231474579,1.000202286,131.4202869,131.4197533,yes,0.181125939,0.013845266,0.181057981,1.000093559,241.0160362,241.015696,yes,0.167217724,0.013792212,0.16718763
Serine,1.734192178,424.6789143,424.4302269,yes,0.581115283,0.000422672,0.925332451,1.000068385,129.4661867,129.4659884,yes,0.456308247,0.007535008,0.456265003,1.000092343,236.08146,236.0811159,yes,0.339474759,0.009279821,0.33942801
Cytosine,1.000084136,817.421456,817.421798,yes,0.225623645,0.01492189,0.225590647,1.000122392,239.7676919,239.7672219,yes,0.062014605,0.051237519,0.061994357,1.000683889,410.7653019,410.7637083,yes,0.084894684,0.04067668,0.084754636
Creatinine,1.531421007,534.0894169,533.5460228,yes,0.767079964,0.001540912,0.795343152,1.000168997,131.2766141,131.2761359,yes,0.346115181,0.009700963,0.346028451,1.000090468,279.6829513,279.6826035,yes,0.4775961,0.008590169,0.477536556
Proline,1.000312411,621.6982147,621.6979679,yes,0.818779647,-0.001714583,0.818224966,1.000049697,168.030835,168.0306638,yes,0.208654259,-0.018029902,0.208635987,1.000145081,263.6060776,263.605544,yes,0.940850269,0.000837454,0.940057049
5-Aminopentanoic acid,1.138628559,428.7614468,428.5299975,yes,0.89454586,0.001113006,0.807073058,1.000174649,134.6925445,134.692068,yes,0.437339501,0.008234456,0.437232971,1.000093053,284.4441706,284.4438064,yes,0.099183277,0.020545651,0.099161912
Betaine,1.000316365,501.6588639,501.6519318,yes,0.785224657,-0.001495472,0.784743572,1.000152908,156.7548159,156.7543692,yes,0.813251701,-0.00304578,0.812983733,1.000072954,267.776774,267.7764927,yes,0.231851929,0.01364955,0.231823068
Valine,1.916041461,428.6081191,428.9419391,no,0.437894158,0.000557884,0.902521052,1.000087565,166.4256725,166.4253615,yes,0.193815782,0.018378267,0.193784892,1.000112973,322.1425587,322.1421644,yes,0.533336742,0.00933467,0.533253803
Indole,2.560349962,779.6132408,781.3194056,no,0.203012928,0.011649349,0.299350102,1.000079525,232.5992901,232.598989,yes,0.91126962,-0.002832618,0.910979153,1.000165252,378.8672653,378.866685,yes,0.448954582,0.01511794,0.448851493
Homoserine,1.681575672,420.1376712,419.8938778,yes,0.593503601,0.000193168,0.965376871,1.000069558,127.8116425,127.8114452,yes,0.416513133,0.00810163,0.416472346,1.000093347,231.7704204,231.7700866,yes,0.316570482,0.00952253,0.316525475
Threonine,1.697138254,421.8716275,421.6527974,yes,0.588186139,6.52E-05,0.988363271,1.000116991,127.6298326,127.629488,yes,0.479350744,0.007037172,0.479273355,1.000093849,232.1904131,232.1900794,yes,0.310411612,0.009665623,0.310366948
Cysteine,1.000547262,772.1128835,772.1163267,yes,0.204098544,0.013928216,0.203992672,1.000110504,221.4299946,221.4296446,yes,0.013592873,0.058236843,0.013587287,1.000277054,402.6086417,402.6078608,yes,0.977340789,0.000754099,0.973229924
Niacinamide,1.942711833,459.4915037,459.9752669,no,0.370953048,-0.001451875,0.768768241,1.435340145,148.2614983,147.8325616,yes,0.528398182,0.010092538,0.397375591,1.00009244,239.397329,239.3969839,yes,0.267413232,0.010965174,0.267373268
Taurine,1.000061396,485.8120159,485.8125958,yes,0.175299457,0.007166292,0.17527767,1.360233862,148.1415324,147.7025792,yes,0.466520664,0.011990257,0.314783563,1.00009357,241.6034457,241.6031033,yes,0.247878052,0.011555859,0.247839533
Pyroglutamic acid,1.81530596,469.6932382,469.7537605,no,0.368008197,0.003920284,0.437856449,1.000091356,131.0470781,131.046748,yes,0.855601854,0.001864797,0.855395874,1.000133934,278.45867,278.4581537,yes,0.462431572,0.008835148,0.462345784
Pipecolic acid,1.813904254,461.1246993,461.0056114,yes,0.523260899,0.001830551,0.710802972,1.000124602,139.0763633,139.0759702,yes,0.35910072,0.010121215,0.359035053,1.000110118,255.1145219,255.1141006,yes,0.171485556,0.014661369,0.171449498
N-Acetylputrescine,1.000009913,508.134809,508.1342003,yes,0.971226226,-0.000202186,0.971114015,1.000082076,143.2530512,143.2527297,yes,0.471476901,0.008236433,0.471423178,1.000092504,264.6760195,264.6756769,yes,0.365835385,0.010147817,0.365786092
Creatine,1.002713266,637.7725511,637.7265341,yes,0.742087471,-0.002584698,0.738615464,1.000109409,191.437572,191.4372729,yes,0.713314551,0.006452399,0.713187423,1.000074588,254.2741414,254.2738488,yes,0.161642689,0.014945248,0.161619323
4-Hydroxyproline,1.677868104,451.1529949,450.6885556,yes,0.600769147,-0.00078587,0.870550656,1.00006395,136.5571828,136.5569367,yes,0.615321391,0.00540757,0.615264844,1.000092216,328.7699899,328.769642,yes,0.329210283,0.015139437,0.329164599
5-Aminolevulinic acid,1.682262803,506.5763296,506.3033755,yes,0.556211239,-0.001795557,0.746017987,1.00004106,145.9687774,145.9686331,yes,0.332039794,0.01138917,0.332019316,1.000092663,256.3492102,256.3488592,yes,0.574624752,0.006031537,0.574550509
Isoleucine,1.760707852,421.5147906,421.3553767,yes,0.520793077,0.001640848,0.71336158,1.000081066,133.4342709,133.4340701,yes,0.371041549,0.009385063,0.370998099,1.000092416,237.1555863,237.1552545,yes,0.236422005,0.011579415,0.236385039
Leucine,3.91787526,487.099707,489.1955931,no,0.11887265,0.007536912,0.157656916,1.000355818,145.7028533,145.7020531,yes,0.255740866,0.013337914,0.25559232,1.000089972,336.2834448,336.283102,yes,0.253387826,0.018424178,0.253350142
Ornithine,1.683704171,435.0385169,434.7535356,yes,0.394253338,0.004235255,0.360879173,1.000068844,130.726343,130.7261235,yes,0.255215989,0.011678624,0.255187015,1.000093231,239.103364,239.103036,yes,0.148236787,0.014305124,0.148209161
Asparagine,1.000690609,457.7834438,457.7815891,yes,0.200519985,0.006287617,0.200267537,1.00006244,130.5556183,130.5554252,yes,0.318898705,0.010200889,0.318868379,1.000095717,230.5964218,230.5960871,yes,0.309509472,0.009606129,0.309464012
Homocysteine,1.494165934,454.9840029,454.5592707,yes,0.715936273,-0.000756385,0.876192438,1.000352019,158.692748,158.6919163,yes,0.196163949,0.017064322,0.196039845,1.00007566,254.0462928,254.046015,yes,0.070770779,0.019338664,0.070757063
N-Methylnicotinamide,1.00001302,514.1451714,514.1438424,yes,0.860442338,0.000996975,0.86042522,1.799840961,160.1727503,160.1335789,yes,0.447709304,0.008756939,0.510018568,1.000168168,328.6292315,328.6285912,yes,0.25500211,0.017666193,0.254931272
Tyramine,1.000244741,600.7448517,600.7441015,yes,0.022593346,0.016186007,0.022575448,1.416663158,184.1452308,183.7373461,yes,0.019965642,0.045140618,0.007687982,1.000100039,311.3082971,311.3079287,yes,0.092646851,0.024005791,0.092625047
4-Acetamidobutanoic acid,1.472581566,432.5377906,432.0725677,yes,0.26906576,0.006318356,0.170025056,1.000086654,134.6899685,134.6897011,yes,0.19728129,0.013734864,0.197250516,1.000092347,227.4091341,227.4087833,yes,0.191676069,0.012165403,0.191643651
Spermidine,1.000638432,790.3296756,790.3318688,yes,0.4897373,0.007931525,0.489147868,1.000126626,229.898174,229.8976869,yes,0.041477193,0.051416416,0.041461596,1.000094903,404.7008973,404.7006489,yes,0.285851444,0.024311927,0.285808853
Glutamine,1.000460722,646.1325684,646.1311107,yes,0.590539376,-0.004266806,0.590157727,1.000158222,160.4202295,160.419822,yes,0.55350035,-0.007895381,0.553379085,1.000101317,226.7586627,226.7583046,yes,0.269252214,0.010247505,0.269208251
Lysine,1.000080105,471.2253565,471.2260494,yes,0.64078857,0.002372377,0.640710246,1.000024954,130.7629893,130.7629224,yes,0.320714263,0.010180795,0.320702132,1.00009229,284.8126733,284.812322,yes,0.449985533,0.009379054,0.449927871
Glutamate,1.762571583,423.454678,423.339233,yes,0.457408553,0.002484497,0.580806206,1.000095151,132.0649084,132.0646595,yes,0.418557935,0.008378387,0.418501967,1.00009095,238.14877,238.1484582,yes,0.131172217,0.014870863,0.131147244
Methionine,1.857953103,428.7409184,428.6735656,yes,0.516359331,0.001657599,0.71621469,1.430649312,141.2681627,140.8569827,yes,0.526300446,0.009275769,0.407709601,1.000092772,236.0872267,236.0868825,yes,0.274146876,0.01063198,0.274106038
Histidine,1.356583857,573.1019929,572.6957722,yes,0.351209865,0.007864328,0.232407248,1.000063295,163.5902122,163.5900394,yes,0.485163304,0.009572278,0.485120971,1.000123764,271.2256512,271.2252293,yes,0.904812655,0.001390178,0.904392763
Tryptamine,1.000058746,716.1228495,716.1231396,yes,0.470454566,0.006855646,0.470417572,1.000047437,206.8884411,206.8882527,yes,0.767156956,0.005966909,0.767089662,1.000083677,375.2692569,375.2689293,yes,0.035609892,0.041607804,0.035600561
Carnitine,1.509973392,449.6744754,449.2373686,yes,0.701298886,0.000955294,0.842404145,1.000023235,129.1978974,129.1978287,yes,0.369175124,0.009071704,0.369162564,1.000093339,236.0581118,236.0577672,yes,0.18689967,0.012847749,0.18686743
Phenylalanine,1.74680309,419.2547887,419.0932132,yes,0.456680037,0.002926138,0.510090217,1.000060681,129.6899087,129.689744,yes,0.291069713,0.010728106,0.291042125,1.000092148,236.3126006,236.312252,yes,0.244595025,0.011330162,0.244557381
1-Methyl-histidine,2.668973367,492.3004675,497.170488,no,0.056323159,0.003229692,0.550927613,1.000096652,157.9291575,157.9288389,yes,0.826558939,0.002853649,0.826376777,1.159635963,260.3198324,260.0615107,yes,0.269717204,0.013790169,0.209292307
Arginine,1.000220242,481.7076721,481.707279,yes,0.831786243,-0.001111577,0.831363561,1.000498422,149.2536286,149.2526286,yes,0.259175208,0.013669083,0.258966032,1.000093304,240.3334137,240.33307,yes,0.23851139,0.011714101,0.238473855
Indoleacetic acid,1.27783901,540.2434595,539.8741894,yes,0.623599482,0.004170013,0.490076201,1.258576769,158.9055051,158.5561535,yes,0.667650475,0.008140356,0.53443679,1.000254057,290.1286051,290.1278928,yes,0.188825047,0.016810047,0.188736961
Glucosamine,1.000037413,651.9315949,651.9324567,yes,0.470192121,0.005823409,0.470166587,1.000119728,196.8248046,196.8243618,yes,0.036768809,0.039238436,0.036755397,1.000637409,329.8475304,329.8459413,yes,0.906613522,0.001869297,0.904386472
Tyrosine,2.195795768,545.895007,546.56853,no,0.392331664,-0.002129315,0.729577897,1.000076682,146.2455648,146.2452872,yes,0.966169669,0.000507874,0.965430198,1.000091553,238.3994995,238.3991608,yes,0.230260694,0.011808135,0.230224629
N8-Acetylspermidine,1.000845211,486.8011975,486.7990667,yes,0.559032107,0.003087743,0.558378657,1.000063473,129.7841341,129.7839347,yes,0.272858529,0.011155893,0.272830723,1.000083097,255.7342844,255.7339615,yes,0.317571183,0.010725261,0.317530949
Acetylcarnitine,1.000032296,620.5176482,620.5179753,yes,0.784617526,0.002033329,0.784570209,1.000232661,142.5800272,142.579483,yes,0.565352245,0.006533097,0.56516957,1.000182176,271.4603149,271.459675,yes,0.668826093,0.004961776,0.668641858
Tryptophan,1.627830863,424.5874667,424.2524978,yes,0.597857861,0.001164998,0.79564777,1.000030984,130.763719,130.7636332,yes,0.443880552,0.007835533,0.443861402,1.000093433,237.9877171,237.9873807,yes,0.351972399,0.009128872,0.351923984
Indolelactic acid,1.992414761,431.8732592,432.4405701,no,0.26915178,0.004314646,0.348222932,1.000098201,138.0109613,138.0106167,yes,0.29119755,0.011552818,0.291152503,1.000092624,241.0643132,241.0639713,yes,0.09199076,0.016870502,0.09197067
Kynurenine,1.727823248,429.078837,428.9389025,yes,0.301894074,0.005000504,0.27248478,1.000129335,129.3256728,129.3253213,yes,0.284488862,0.010842497,0.28443087,1.000091365,242.9082085,242.9078653,yes,0.158705675,0.014212208,0.15867733
3-Hydroxy-kynurenin,1.894090552,745.2535798,745.3899516,no,0.456903459,-0.003424842,0.737758063,1.000054935,224.1356808,224.1354719,yes,0.830225872,-0.005040869,0.830120071,1.000188528,359.7238974,359.7231878,yes,0.059628465,-0.034403134,0.059598041
Melatonin,1.000092081,710.6140164,710.6140399,yes,0.998936297,-4.29E-05,0.9963458,1.000053974,211.3144548,211.3142513,yes,0.215832997,0.026116402,0.215812619,1.288592815,370.4266173,370.0448795,yes,0.866484579,-0.00144233,0.939692377
Cystine,1.691389476,417.4305993,417.1456579,yes,0.560820721,0.00166038,0.706919212,1.000097707,132.3804203,132.3801194,yes,0.417659327,0.008418382,0.417601774,1.000097023,278.7133587,278.7130189,yes,0.688245787,0.004826346,0.688142025
Cytidine,1.475980353,498.737884,498.2875419,yes,0.288880261,0.007306271,0.180666458,1.000172061,133.8467779,133.8463148,yes,0.607648049,0.005394857,0.607499054,1.00009528,259.4931895,259.4928626,yes,0.068474004,0.020045357,0.068457113
N1-Acetylspermine,1.000112001,713.3963941,713.3965272,yes,0.268020332,0.01045797,0.267973833,1.000126817,208.7367407,208.7362554,yes,0.156656995,0.029274061,0.156617702,1.000032266,364.1130469,364.1129544,yes,0.195567924,-0.024050643,0.195556662
Uridine,1.000052982,460.6577962,460.6569964,yes,0.485090468,0.003450944,0.484990486,1.000058756,125.5902342,125.5900192,yes,0.476518783,0.006954384,0.476480014,1.000092034,247.407822,247.4074652,yes,0.326448104,0.010095815,0.326402745
Adenosine,2.612883186,751.4712401,753.7376404,no,0.228320205,0.006098613,0.558664673,1.000436164,190.0429871,190.0420697,yes,0.795547717,0.004506422,0.794847834,1.000347475,379.3277761,379.3267102,yes,0.1254859,0.030805175,0.125393062
Inosine,2.3431651,641.8898994,644.6264243,no,0.123456645,-0.006291036,0.426749985,1.000105644,174.4053032,174.4049151,yes,0.517730337,0.009767449,0.517654732,1.000089673,291.1851997,291.1848851,yes,0.108015541,0.020712894,0.10799388
6-Methyladenosine,1.002387012,653.5258732,653.5199381,yes,0.345370883,-0.007662351,0.344164345,1.000107836,197.0195419,197.0191336,yes,0.961603991,-0.000908939,0.960685503,1.000335479,343.0790938,343.0782402,yes,0.484641817,0.011647238,0.484418418
Guanosine monophosphate,2.395321261,785.4415067,788.7758309,no,0.1245302,0.002443509,0.830418739,1.00011643,244.6760395,244.6756779,yes,0.768209232,0.008326033,0.768043698,1.438952342,422.3745705,421.8939583,yes,0.653873864,0.015729733,0.525850669
S-Adenosylmethionine,1.000010334,537.3138835,537.3134893,yes,0.690370193,0.002396669,0.690360139,1.000144112,184.6988596,184.6984176,yes,0.031735597,0.036257322,0.031721289,1.000075002,314.8894205,314.8892126,yes,0.15781259,0.02048718,0.157789594
Alpha-Tocopherol,1.000176734,481.8841155,481.883119,yes,0.848275189,0.000999724,0.847897135,1.000089316,138.5720139,138.5716803,yes,0.588666679,0.00592646,0.588592404,1.000109037,243.4495991,243.4492016,yes,0.189920529,0.01324492,0.18988247
Bilirubin,1.000404131,699.0829045,699.0814295,yes,0.497150224,-0.006163247,0.496873022,1.00000294,212.7327454,212.7327358,yes,0.554946946,-0.012545892,0.554944686,1.00017641,259.2333694,259.2327358,yes,0.484944524,0.00761919,0.484826627
1-Methyladenosine,1.719967469,507.0285841,506.6796066,yes,0.482275613,-0.004385414,0.430868314,1.000046558,124.194356,124.1942086,yes,0.375015231,0.008569482,0.374989947,1.001314501,368.5756149,368.5726377,yes,0.590706545,-0.010214442,0.589616137
Serotonin,2.474667994,477.2692332,480.5745063,no,0.118211281,0.002885978,0.57886124,1.258647887,180.2825954,179.9104555,yes,0.557657159,0.013131175,0.408225779,1.000203584,264.9396485,264.9389787,yes,0.654983622,0.005015622,0.654785488
Xanthurenic acid,1.649926033,453.7655138,453.5115657,yes,0.398702817,0.004248675,0.381125928,1.000042667,147.4312604,147.4311106,yes,0.261714059,0.013370862,0.261695904,1.000236612,257.9750403,257.9743471,yes,0.339184814,0.01037261,0.339065292
4-Trimethylammoniobutanoic acid,1.840485897,472.6799953,472.7395718,no,0.285788624,0.005439358,0.285641379,1.000056902,148.1017429,148.1015277,yes,0.657666919,-0.005285292,0.657610754,1.000234847,245.3980392,245.3973962,yes,0.535105521,0.00630928,0.534932656
Epinephrine,1.000060795,483.1320298,483.130991,yes,0.900348207,-0.000657308,0.900148629,1.000171756,156.7264379,156.7260001,yes,0.488101581,0.008943983,0.487986158,1.000098273,255.1308973,255.1305469,yes,0.206867123,0.013524583,0.206830932
Indolepyruvate,1.649388198,827.0143798,826.7278862,yes,0.575430538,0.001698656,0.892639735,1.000136041,238.5764362,238.5759015,yes,0.193860654,0.034998581,0.193812355,1.000445457,411.5725465,411.5712944,yes,0.211780735,-0.029489204,0.211614606
1-Methylguanosine,1.565430542,473.1505654,472.7454324,yes,0.484625739,0.004014504,0.431698262,1.00020269,147.1835594,147.183083,yes,0.413492811,0.009695932,0.413374944,1.000093087,274.89029,274.8899285,yes,0.133031185,0.017816129,0.133005308
Normetanephrine,1.875232307,811.9651117,812.1259815,no,0.461093463,0.000312605,0.979432116,1.0003619,235.1932959,235.1923609,yes,0.21508794,0.032383941,0.214952381,1.000115837,401.6082843,401.6078501,yes,0.512457584,-0.014664283,0.512375978
