,Metabolite,edf,p_smooth,AIC_smooth,AIC_linear,Estimate_age,StdErr_age,p_age,original_name,suitble1,suitble2,suitble for lm
meta48,meta48,2.259135858,0.094147631,253.3125225,253.3341274,0.005893201,0.002911082,0.044306977,Biotin,0,0,0
meta49,meta49,1.000130536,0.580177667,372.4086737,372.4081762,0.002181896,0.003936863,0.580072558,Fructose 6-phosphate,1,1,1
meta50,meta50,1.718578018,0.320854113,349.9427622,349.5659463,0.00456422,0.003714305,0.220643462,Glucose 6-phosphate,0,1,1
meta51,meta51,3.911709635,0.000737409,237.2222596,249.0205826,0.006746413,0.002879223,0.02014051,Heptadecanoic acid,0,0,0
meta52,meta52,2.65085184,0.036937838,229.9658945,234.9335809,0.003185586,0.002777591,0.252847802,Linolenate,0,0,0
meta53,meta53,3.286024866,0.001337843,242.9685323,252.5534576,0.006973027,0.002905291,0.017340328,Alpha-Linolenic acid,0,0,0
meta54,meta54,1.019507525,0.383839883,484.8480484,484.8126526,0.00468926,0.005254194,0.37324741,Xanthosine,1,1,1
meta55,meta55,1.000051949,0.018705017,419.2264087,419.22672,0.010540518,0.004444727,0.018702046,Argininosuccinic acid,1,0,1
meta56,meta56,2.300244728,0.127160833,321.5803449,323.0452252,0.004668153,0.003477657,0.181066841,13-HODE,0,0,0
meta57,meta57,2.339281627,0.017621574,206.45916,207.2771072,0.006838639,0.00258838,0.008916436,Arachidonic acid,0,0,0
meta58,meta58,2.846270146,0.159174977,486.8146075,489.5596465,0.00263274,0.005318218,0.621133682,dCMP,0,0,0
meta59,meta59,1.000122586,0.264891676,622.0070105,622.0069501,-0.008337871,0.00745598,0.264837512,Glutathione,1,1,1
meta60,meta60,1.000251503,0.709329246,243.7237442,243.7230746,0.001061502,0.002840577,0.709043413,N-Acetylneuraminic acid,1,1,1
meta61,meta61,2.389849632,0.006662785,239.9818398,241.5351659,0.00817972,0.002824766,0.004219242,12-HETE,0,0,0
meta62,meta62,2.633891819,0.027493241,446.5114638,453.1506467,0.004375878,0.004846521,0.367709481,5-Thymidylic acid,0,0,0
meta63,meta63,1.000120939,0.059586671,500.1941906,500.1937268,0.010326991,0.005448825,0.059566889,Cytidine monophosphate,1,1,1
meta64,meta64,1.000229569,0.030750357,290.4347907,290.434,0.006949774,0.003192758,0.030724238,"Glucose 1,6-bisphosphate",1,1,1
meta65,meta65,2.522739153,0.027272422,283.9422552,286.4446114,0.006681864,0.003167651,0.036198705,"Fructose 1,6-bisphosphate",0,0,0
meta66,meta66,1.000025059,0.263997113,354.9639039,354.9643488,0.004226472,0.003772678,0.263984774,Alpha-Lactose,1,0,1
meta67,meta67,1.000097309,0.338205697,368.1975432,368.1971914,0.003746897,0.003902209,0.338156475,Sucrose,1,1,1
meta68,meta68,1.000272799,0.042504752,519.8469994,519.8460974,0.011713541,0.005734936,0.042471039,"3',5'-Cyclic GMP",1,1,1
meta69,meta69,2.617435198,0.01017725,362.7947066,366.295056,0.009009426,0.003883317,0.021384723,Gibberellin A3,0,0,0
meta70,meta70,1.000326908,0.47805109,501.9303932,501.9294276,-0.003897289,0.005480012,0.477833717,Adenosine monophosphate,1,1,1
meta71,meta71,1.000491317,0.184424076,422.6080657,422.6068966,0.005968187,0.004478866,0.184262797,Inosinic acid,1,1,1
meta72,meta72,2.268729572,0.018749512,258.0863009,259.5063346,0.007369159,0.00295728,0.013549954,Prostaglandin E2,0,0,0
meta73,meta73,1.000150191,0.540510516,357.2788044,357.2782923,0.002323906,0.003789112,0.540395607,Orotidylic acid,1,1,1
meta74,meta74,3.259903626,0.0002828,282.8081841,289.6668456,0.010975222,0.003193796,0.00072179,S-Adenosylhomocysteine,0,0,0
meta75,meta75,1.000069806,0.243331994,440.4056365,440.4070246,0.005485111,0.004685961,0.243230208,Uridine 5'-diphosphate,1,0,1
meta76,meta76,1.000202427,0.901424896,485.7570563,485.7575609,-0.000657827,0.005266891,0.90073393,Adenosine 5'-diphosphate,1,0,1
meta77,meta77,1.00020229,0.024390295,656.5829105,656.5853087,0.018470879,0.008139894,0.024364341,Folic acid,1,0,1
meta78,meta78,1.000097213,0.36829932,360.9094704,360.9094124,0.003454475,0.003830331,0.36824798,Guanosine 5'-diphosphate,1,1,1
meta79,meta79,1.873605629,0.035903661,667.64523,667.8245537,0.01971263,0.008380418,0.019668779,5-Methyltetrahydrofolic acid,0,0,0
meta80,meta80,1.883838074,0.306831903,330.8107821,330.8892818,0.003628083,0.003547947,0.307783331,Glycocholic acid,0,0,0
meta81,meta81,1.252614527,0.235538493,396.0956068,395.7376392,0.00597028,0.004182326,0.155054008,Adenosine 5'-triphosphate,1,1,1
meta82,meta82,1.000071721,0.238690651,455.8154596,455.8160477,0.005767746,0.004879551,0.238650476,Taurocholic acid,1,0,1
meta83,meta83,1.000029756,0.686453833,426.9685099,426.9690936,0.00183299,0.004533391,0.686417105,Oxidized glutathione,1,0,1
meta84,meta84,2.047231144,0.228611775,651.4335893,652.0521233,-0.008883707,0.008049917,0.27115057,NAD,0,0,0
meta85,meta85,1.595174979,0.158940293,296.1218736,295.6652667,0.005615804,0.003243044,0.084934512,Lactic acid,0,1,1
meta86,meta86,1.000120889,0.121538829,358.350854,358.3510656,0.00591869,0.003805412,0.121504639,Fumarate,1,0,1
meta87,meta87,2.294983005,0.067611786,209.2184442,210.350949,0.004974597,0.002608756,0.058020799,Citraconic acid,0,0,0
meta88,meta88,2.17165868,0.089415553,233.0610812,234.340388,0.004558038,0.002773393,0.101910057,Allantoin,0,0,0
meta89,meta89,1.681671697,0.183180895,272.9261468,272.6055245,0.00484797,0.00305777,0.114499079,Aconitic acid,0,1,1
meta90,meta90,1.505496831,0.174925879,330.6361353,330.1970808,0.005894186,0.003541685,0.097688734,Citric acid,0,1,1
meta91,meta91,1.746029607,0.070046917,430.6246284,430.4556343,0.009543433,0.004573895,0.038247273,Chenodeoxycholic acid glycine conjugate,0,1,1
meta92,meta92,2.510020372,0.021890764,234.9738083,238.0776184,0.005797533,0.00279996,0.039729172,Malondialdehyde,0,0,0
meta93,meta93,2.345432267,0.102942477,429.9616296,432.2326983,0.005881398,0.004594675,0.202065197,2-Methylpropanoate,0,0,0
meta94,meta94,2.550356573,0.097983845,200.4413578,203.0994152,0.002955941,0.002560941,0.249829029,Glyceric acid,0,0,0
meta95,meta95,2.09180198,0.298011449,305.0480066,306.1623417,-6.27E-05,0.003331058,0.985002866,Alpha-Ketoisovaleric acid,0,0,0
meta96,meta96,2.714971023,0.097826312,218.4718174,220.936384,0.003326701,0.002680163,0.216026946,Methylsuccinic acid,0,0,0
meta97,meta97,2.862296583,0.015815869,200.0523054,204.1595612,0.005432215,0.002567876,0.035674205,Oxalacetic acid,0,0,0
meta98,meta98,3.094852593,0.040822281,520.0684636,526.3267706,0.002601535,0.005841188,0.656545937,Oxoglutaric acid,0,0,0
meta99,meta99,2.349293515,0.174149344,424.5021571,426.8804586,0.002332393,0.004532368,0.607415713,2-Hydroxyglutarate,0,0,0
meta100,meta100,2.215069921,0.040058497,259.4586568,260.2936145,0.006719947,0.002963227,0.024450391,Fructose,0,0,0
meta101,meta101,2.224883583,0.4761983,381.8749631,381.5937047,0.003384945,0.00403787,0.402899372,Glucose 1-phosphate,0,1,1
meta102,meta102,2.47601913,0.226348221,311.8349177,313.7818956,-0.000967068,0.003396428,0.776155684,Geranyl-PP,0,0,0
meta103,meta103,2.048300459,0.051170153,217.2007416,217.7003227,0.005791043,0.002658128,0.030571915,Adenylsuccinic acid,0,0,0
meta104,meta104,2.21566674,0.184213142,264.4907347,265.6450155,0.003560057,0.002997887,0.236491194,Glycerol 3-phosphate,0,0,0
meta105,meta105,1.798132574,0.15726486,321.86478,321.2210927,0.006600325,0.003461512,0.058035146,Glyceraldehyde,0,1,1
meta106,meta106,2.141713726,0.154365495,457.8284055,458.8399566,0.006633658,0.004910338,0.178296623,Pyruvic acid,0,0,0
meta107,meta107,2.357920908,0.16233417,236.7049854,238.3236499,0.002909098,0.002801716,0.300416917,Methyl-3-methyl-2-oxopentanoate,0,0,0
meta108,meta108,1.000254603,0.220702928,487.6351253,487.6342218,-0.006495227,0.005285338,0.220604828,Isocitric acid,1,1,1
meta109,meta109,1.000327238,0.453540933,344.4082327,344.4081196,0.002759425,0.003672439,0.453334656,Homovanillic acid,1,1,1
meta110,meta110,1.978402146,0.367099741,572.3191662,572.6990259,0.004004834,0.006574715,0.543156838,Trimethylamine,0,0,0
meta111,meta111,1.171838646,0.69249878,486.697478,486.4208079,-0.003027725,0.005275814,0.566711977,Glycine,1,1,1
meta112,meta112,1.819367383,0.077416866,444.7847477,444.742764,0.009546184,0.004743655,0.045566637,Trimethylamine N-oxide,0,1,1
meta113,meta113,1.000438145,0.00426742,544.3086917,544.3215228,0.017690743,0.006114395,0.004250663,Sarcosine,1,0,1
meta114,meta114,1.639526217,0.540125058,419.605769,419.3019712,0.002131357,0.004436205,0.631458254,Alanine,0,1,1
meta115,meta115,1.00002935,0.310178085,439.3782092,439.3785731,0.004761321,0.004679201,0.310165692,Cadaverine,1,0,1
meta116,meta116,1.909625217,0.489900343,486.5579578,486.6540304,0.001293912,0.005278955,0.806633492,3-Aminoisobutyric acid,0,0,0
meta117,meta117,1.474173997,0.486508172,422.7304163,422.3105858,0.003955138,0.004470829,0.377451308,Choline,1,1,1
meta118,meta118,1.787091522,0.269889686,428.7802087,428.7002816,0.005452584,0.004542371,0.231474579,Dimethylglycine,0,1,1
meta119,meta119,1.734192178,0.581115283,424.6789143,424.4302269,0.000422672,0.00450411,0.925332451,Serine,0,1,1
meta120,meta120,1.000084136,0.225623645,817.421456,817.421798,0.01492189,0.012274492,0.225590647,Cytosine,1,0,1
meta121,meta121,1.531421007,0.767079964,534.0894169,533.5460228,0.001540912,0.00593249,0.795343152,Creatinine,0,1,1
meta122,meta122,1.000312411,0.818779647,621.6982147,621.6979679,-0.001714583,0.007450102,0.818224966,Proline,1,1,1
meta123,meta123,1.138628559,0.89454586,428.7614468,428.5299975,0.001113006,0.004551442,0.807073058,5-Aminopentanoic acid,1,1,1
meta124,meta124,1.000316365,0.785224657,501.6588639,501.6519318,-0.001495472,0.005467334,0.784743572,Betaine,1,1,1
meta125,meta125,1.916041461,0.437894158,428.6081191,428.9419391,0.000557884,0.004548985,0.902521052,Valine,0,0,0
meta126,meta126,2.560349962,0.203012928,779.6132408,781.3194056,0.011649349,0.011194538,0.299350102,Indole,0,0,0
meta127,meta127,1.681575672,0.593503601,420.1376712,419.8938778,0.000193168,0.004444315,0.965376871,Homoserine,0,1,1
meta128,meta128,1.697138254,0.588186139,421.8716275,421.6527974,6.52E-05,0.004464546,0.988363271,Threonine,0,1,1
meta129,meta129,1.000547262,0.204098544,772.1128835,772.1163267,0.013928216,0.010927706,0.203992672,Cysteine,1,0,1
meta130,meta130,1.942711833,0.370953048,459.4915037,459.9752669,-0.001451875,0.004931631,0.768768241,Niacinamide,0,0,0
meta131,meta131,1.000061396,0.175299457,485.8120159,485.8125958,0.007166292,0.005267631,0.17527767,Taurine,1,0,1
meta132,meta132,1.81530596,0.368008197,469.6932382,469.7537605,0.003920284,0.005042513,0.437856449,Pyroglutamic acid,0,0,0
meta133,meta133,1.813904254,0.523260899,461.1246993,461.0056114,0.001830551,0.004929704,0.710802972,Pipecolic acid,0,1,1
meta134,meta134,1.000009913,0.971226226,508.134809,508.1342003,-0.000202186,0.005576299,0.971114015,N-Acetylputrescine,1,1,1
meta135,meta135,1.002713266,0.742087471,637.7725511,637.7265341,-0.002584698,0.00773457,0.738615464,Creatine,1,1,1
meta136,meta136,1.677868104,0.600769147,451.1529949,450.6885556,-0.00078587,0.004816093,0.870550656,4-Hydroxyproline,0,1,1
meta137,meta137,1.682262803,0.556211239,506.5763296,506.3033755,-0.001795557,0.005535645,0.746017987,5-Aminolevulinic acid,0,1,1
meta138,meta138,1.760707852,0.520793077,421.5147906,421.3553767,0.001640848,0.004460168,0.71336158,Isoleucine,0,1,1
meta139,meta139,3.91787526,0.11887265,487.099707,489.1955931,0.007536912,0.005313288,0.157656916,Leucine,0,0,0
meta140,meta140,1.683704171,0.394253338,435.0385169,434.7535356,0.004235255,0.004624308,0.360879173,Ornithine,0,1,1
meta141,meta141,1.000690609,0.200519985,457.7834438,457.7815891,0.006287617,0.004892238,0.200267537,Asparagine,1,1,1
meta142,meta142,1.494165934,0.715936273,454.9840029,454.5592707,-0.000756385,0.004848403,0.876192438,Homocysteine,1,1,1
meta143,meta143,1.00001302,0.860442338,514.1451714,514.1438424,0.000996975,0.005662446,0.86042522,N-Methylnicotinamide,1,1,1
meta144,meta144,1.000244741,0.022593346,600.7448517,600.7441015,0.016186007,0.007039767,0.022575448,Tyramine,1,1,1
meta145,meta145,1.472581566,0.26906576,432.5377906,432.0725677,0.006318356,0.004587564,0.170025056,4-Acetamidobutanoic acid,1,1,1
meta146,meta146,1.000638432,0.4897373,790.3296756,790.3318688,0.007931525,0.011445307,0.489147868,Spermidine,1,0,1
meta147,meta147,1.000460722,0.590539376,646.1325684,646.1311107,-0.004266806,0.007908566,0.590157727,Glutamine,1,1,1
meta148,meta148,1.000080105,0.64078857,471.2253565,471.2260494,0.002372377,0.005075221,0.640710246,Lysine,1,0,1
meta149,meta149,1.762571583,0.457408553,423.454678,423.339233,0.002484497,0.004491606,0.580806206,Glutamate,0,1,1
meta150,meta150,1.857953103,0.516359331,428.7409184,428.6735656,0.001657599,0.004553142,0.71621469,Methionine,0,1,1
meta151,meta151,1.356583857,0.351209865,573.1019929,572.6957722,0.007864328,0.006564759,0.232407248,Histidine,1,1,1
meta152,meta152,1.000058746,0.470454566,716.1228495,716.1231396,0.006855646,0.009479279,0.470417572,Tryptamine,1,0,1
meta153,meta153,1.509973392,0.701298886,449.6744754,449.2373686,0.000955294,0.004798373,0.842404145,Carnitine,0,1,1
meta154,meta154,1.74680309,0.456680037,419.2547887,419.0932132,0.002926138,0.004434005,0.510090217,Phenylalanine,0,1,1
meta155,meta155,2.668973367,0.056323159,492.3004675,497.170488,0.003229692,0.005405964,0.550927613,1-Methyl-histidine,0,0,0
meta156,meta156,1.000220242,0.831786243,481.7076721,481.707279,-0.001111577,0.005212757,0.831363561,Arginine,1,1,1
meta157,meta157,1.27783901,0.623599482,540.2434595,539.8741894,0.004170013,0.00603019,0.490076201,Indoleacetic acid,1,1,1
meta158,meta158,1.000037413,0.470192121,651.9315949,651.9324567,0.005823409,0.00804745,0.470166587,Glucosamine,1,0,1
meta159,meta159,2.195795768,0.392331664,545.895007,546.56853,-0.002129315,0.006150733,0.729577897,Tyrosine,0,0,0
meta160,meta160,1.000845211,0.559032107,486.8011975,486.7990667,0.003087743,0.005266664,0.558378657,N8-Acetylspermidine,1,1,1
meta161,meta161,1.000032296,0.784617526,620.5176482,620.5179753,0.002033329,0.00742771,0.784570209,Acetylcarnitine,1,0,1
meta162,meta162,1.627830863,0.597857861,424.5874667,424.2524978,0.001164998,0.004492083,0.79564777,Tryptophan,0,1,1
meta163,meta163,1.992414761,0.26915178,431.8732592,432.4405701,0.004314646,0.00458836,0.348222932,Indolelactic acid,0,0,0
