"metabolic","nonNA_MHY","detected_MHY","nonNA_MHN","detected_MHN","nonNA_MLY","detected_MLY","nonNA_MLN","detected_MLN","MH_pvalue","MH_test_used","ML_pvalue","ML_test_used"
"Pyruvic acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Methyl-3-methyl-2-oxopentanoate",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Isocitric acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Homovanillic acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Trimethylamine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Glycine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Trimethylamine N-oxide",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Sarcosine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Alanine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Cadaverine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"3-Aminoisobutyric acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Choline",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Dimethylglycine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Serine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Cytosine",19,0.95,19,0.703703703703704,23,0.766666666666667,32,0.744186046511628,0.058611562112711,"Fisher",0.999999999999999,"Chi-square"
"Creatinine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Proline",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"5-Aminopentanoic acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Betaine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Valine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Indole",13,0.65,18,0.666666666666667,28,0.933333333333333,29,0.674418604651163,1,"Chi-square",0.00971141251865456,"Fisher"
"Homoserine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Threonine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Cysteine",11,0.55,15,0.555555555555556,9,0.3,23,0.534883720930233,1,"Chi-square",0.0800774196903551,"Chi-square"
"Niacinamide",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Taurine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Pyroglutamic acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Pipecolic acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"N-Acetylputrescine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Creatine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"4-Hydroxyproline",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"5-Aminolevulinic acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Isoleucine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Leucine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Ornithine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Asparagine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Homocysteine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"N-Methylnicotinamide",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Tyramine",6,0.3,5,0.185185185185185,5,0.166666666666667,12,0.27906976744186,0.568151955135206,"Chi-square",0.402860794488705,"Chi-square"
"4-Acetamidobutanoic acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Spermidine",17,0.85,19,0.703703703703704,23,0.766666666666667,32,0.744186046511628,0.30982103861987,"Fisher",0.999999999999999,"Chi-square"
"Glutamine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Lysine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Glutamate",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Methionine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Histidine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Tryptamine",19,0.95,23,0.851851851851852,24,0.8,34,0.790697674418605,0.376839626608359,"Fisher",0.999999999999999,"Chi-square"
"Carnitine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Phenylalanine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"1-Methyl-histidine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Arginine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Indoleacetic acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Glucosamine",19,0.95,23,0.851851851851852,29,0.966666666666667,41,0.953488372093023,0.376839626608359,"Fisher",1,"Fisher"
"Tyrosine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"N8-Acetylspermidine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Acetylcarnitine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Tryptophan",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Indolelactic acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Kynurenine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"3-Hydroxy-kynurenin",9,0.45,9,0.333333333333333,12,0.4,21,0.488372093023256,0.610015494043827,"Chi-square",0.611848901338544,"Chi-square"
"Melatonin",19,0.95,23,0.851851851851852,26,0.866666666666667,35,0.813953488372093,0.376839626608359,"Fisher",0.75023185818165,"Fisher"
"Cystine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Cytidine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"N1-Acetylspermine",6,0.3,5,0.185185185185185,9,0.3,16,0.372093023255814,0.568151955135206,"Chi-square",0.698020877048712,"Chi-square"
"Uridine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Adenosine",18,0.9,22,0.814814814814815,24,0.8,34,0.790697674418605,0.681880694241363,"Fisher",0.999999999999999,"Chi-square"
"Inosine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"6-Methyladenosine",20,1,24,0.888888888888889,26,0.866666666666667,36,0.837209302325581,0.250693802035153,"Fisher",1,"Fisher"
"Guanosine monophosphate",18,0.9,24,0.888888888888889,27,0.9,36,0.837209302325581,1,"Fisher",0.510321742850181,"Fisher"
"S-Adenosylmethionine",1,0.05,4,0.148148148148148,5,0.166666666666667,2,0.0465116279069767,0.376839626608359,"Fisher",0.11567515730636,"Fisher"
"Alpha-Tocopherol",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Bilirubin",20,1,26,0.962962962962963,30,1,42,0.976744186046512,1,"Fisher",1,"Fisher"
"1-Methyladenosine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Serotonin",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Xanthurenic acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"4-Trimethylammoniobutanoic acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Epinephrine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Indolepyruvate",14,0.7,16,0.592592592592593,17,0.566666666666667,31,0.720930232558139,0.652206905928686,"Chi-square",0.264460498350803,"Chi-square"
"1-Methylguanosine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Normetanephrine",9,0.45,12,0.444444444444444,16,0.533333333333333,31,0.720930232558139,1,"Chi-square",0.161981983054448,"Chi-square"
