"i","train_auc_full","acc_train_full","test_auc_full","acc_test_full","train_cutoff_full","test_cutoff_full","Sens_train","Spec_train","PPV_train","NPV_train","Sens_test","Spec_test","PPV_test","NPV_test"
1,0.895238095238095,0.862745098039216,0.811965811965812,0.772727272727273,0.42307648914281,0.637536788239005,95.2,80,76.9,96,66.7,84.6,75,78.6
2,0.880952380952381,0.823529411764706,0.743589743589744,0.681818181818182,0.359894092755929,0.346218544129482,100,70,70,100,100,46.2,56.2,100
3,0.925396825396825,0.862745098039216,0.794871794871795,0.727272727272727,0.483333629534117,0.177251994225887,90.5,83.3,79.2,92.6,100,53.8,60,100
4,0.86984126984127,0.764705882352941,0.888888888888889,0.818181818181818,0.320278127384857,0.416020508139605,95.2,63.3,64.5,95,100,69.2,69.2,100
5,0.884126984126984,0.823529411764706,0.752136752136752,0.727272727272727,0.407918400200304,0.274675457046724,90.5,76.7,73.1,92,100,53.8,60,100
6,0.858730158730159,0.784313725490196,0.837606837606838,0.863636363636364,0.420719000464159,0.427483164129243,90.5,70,67.9,91.3,100,76.9,75,100
7,0.907936507936508,0.843137254901961,0.735042735042735,0.681818181818182,0.373591188817532,0.414429268197176,100,73.3,72.4,100,77.8,61.5,58.3,80
8,0.912698412698413,0.862745098039216,0.692307692307692,0.727272727272727,0.483525340935018,0.185632701599092,90.5,83.3,79.2,92.6,100,53.8,60,100
9,0.90952380952381,0.843137254901961,0.743589743589744,0.727272727272727,0.50053095276579,0.299994045449048,85.7,83.3,78.3,89.3,100,53.8,60,100
10,0.895238095238095,0.784313725490196,0.786324786324786,0.818181818181818,0.328327008343837,0.703405657197933,100,63.3,65.6,100,55.6,100,100,76.5
11,0.911111111111111,0.823529411764706,0.692307692307692,0.727272727272727,0.364355448776913,0.473072223792598,95.2,73.3,71.4,95.7,88.9,61.5,61.5,88.9
12,0.896825396825397,0.823529411764706,0.760683760683761,0.727272727272727,0.356616400213497,0.38817416541377,95.2,73.3,71.4,95.7,88.9,61.5,61.5,88.9
13,0.861904761904762,0.823529411764706,0.82051282051282,0.818181818181818,0.464533271185168,0.346158543700704,76.2,86.7,80,83.9,100,69.2,69.2,100
