"i","train_auc_full","acc_train_full","test_auc_full","acc_test_full","train_cutoff_full","test_cutoff_full","Sens_train","Spec_train","PPV_train","NPV_train","Sens_test","Spec_test","PPV_test","NPV_test"
1,0.919047619047619,0.862745098039216,0.829059829059829,0.818181818181818,0.383765691985425,0.590046700477175,95.2,80,76.9,96,77.8,84.6,77.8,84.6
2,0.89047619047619,0.823529411764706,0.752136752136752,0.727272727272727,0.389579302269437,0.37770214728278,95.2,73.3,71.4,95.7,100,53.8,60,100
3,0.917460317460317,0.862745098039216,0.82051282051282,0.772727272727273,0.446375984475722,0.447418943623696,90.5,83.3,79.2,92.6,88.9,69.2,66.7,90
4,0.885714285714286,0.843137254901961,0.914529914529915,0.909090909090909,0.4655620614098,0.494198250213982,85.7,83.3,78.3,89.3,88.9,92.3,88.9,92.3
5,0.890476190476191,0.823529411764706,0.769230769230769,0.727272727272727,0.320575766039846,0.287904390956563,100,70,70,100,100,53.8,60,100
6,0.861904761904762,0.784313725490196,0.829059829059829,0.818181818181818,0.417657746384517,0.381890819283222,90.5,70,67.9,91.3,100,69.2,69.2,100
7,0.933333333333333,0.901960784313726,0.683760683760684,0.727272727272727,0.529107052463389,0.259958694819201,85.7,93.3,90,90.3,88.9,61.5,61.5,88.9
8,0.917460317460317,0.843137254901961,0.709401709401709,0.727272727272727,0.296587353139162,0.198436651989531,100,73.3,72.4,100,100,53.8,60,100
9,0.931746031746032,0.941176470588235,0.64957264957265,0.681818181818182,0.51792416151259,0.422528502791311,90.5,96.7,95,93.5,77.8,61.5,58.3,80
10,0.888888888888889,0.784313725490196,0.777777777777778,0.818181818181818,0.346945959585213,0.679205190509044,100,63.3,65.6,100,55.6,100,100,76.5
11,0.928571428571429,0.901960784313726,0.692307692307692,0.727272727272727,0.472473746888254,0.565539470107651,85.7,93.3,90,90.3,88.9,61.5,61.5,88.9
12,0.917460317460317,0.882352941176471,0.786324786324786,0.772727272727273,0.459558094718353,0.614414863711182,90.5,86.7,82.6,92.9,55.6,92.3,83.3,75
13,0.876190476190476,0.843137254901961,0.854700854700855,0.863636363636364,0.392564131550011,0.339572049277959,85.7,83.3,78.3,89.3,100,76.9,75,100
14,0.852380952380952,0.803921568627451,0.914529914529915,0.863636363636364,0.428100778299282,0.387296938459447,90.5,73.3,70.4,91.7,100,76.9,75,100
15,0.931746031746032,0.882352941176471,0.700854700854701,0.772727272727273,0.450440411078657,0.449500184172257,90.5,86.7,82.6,92.9,88.9,69.2,66.7,90
16,0.89047619047619,0.823529411764706,0.829059829059829,0.818181818181818,0.461347998983388,0.326944531183943,85.7,80,75,88.9,88.9,76.9,72.7,90.9
17,0.884126984126984,0.843137254901961,0.888888888888889,0.818181818181818,0.474949492756703,0.257750083454676,81,86.7,81,86.7,100,69.2,69.2,100
18,0.865079365079365,0.843137254901961,0.846153846153846,0.863636363636364,0.476724269623991,0.478210932368339,85.7,83.3,78.3,89.3,66.7,100,100,81.2
19,0.946031746031746,0.941176470588235,0.666666666666667,0.636363636363636,0.484862181590709,0.178751887335184,95.2,93.3,90.9,96.6,88.9,46.2,53.3,85.7
20,0.931746031746032,0.882352941176471,0.692307692307692,0.636363636363636,0.463853831244679,0.377589791144265,85.7,90,85.7,90,88.9,46.2,53.3,85.7
21,0.86031746031746,0.784313725490196,0.88034188034188,0.863636363636364,0.385127615595064,0.443051497866052,95.2,66.7,66.7,95.2,88.9,84.6,80,91.7
22,0.901587301587302,0.843137254901961,0.794871794871795,0.727272727272727,0.525701774552938,0.213697905147243,76.2,90,84.2,84.4,100,53.8,60,100
23,0.850793650793651,0.784313725490196,0.888888888888889,0.863636363636364,0.430023044157109,0.407100824660354,81,76.7,70.8,85.2,100,76.9,75,100
24,0.9,0.862745098039216,0.829059829059829,0.818181818181818,0.448486664522398,0.558376271412649,90.5,83.3,79.2,92.6,55.6,100,100,76.5
25,0.888888888888889,0.823529411764706,0.829059829059829,0.818181818181818,0.393575267295775,0.405538869728878,95.2,73.3,71.4,95.7,88.9,76.9,72.7,90.9
26,0.911111111111111,0.882352941176471,0.777777777777778,0.818181818181818,0.457642764417357,0.487448367556061,90.5,86.7,82.6,92.9,77.8,84.6,77.8,84.6
27,0.946031746031746,0.941176470588235,0.581196581196581,0.681818181818182,0.501296142393145,0.350440301661661,90.5,96.7,95,93.5,77.8,61.5,58.3,80
28,0.898412698412698,0.862745098039216,0.837606837606838,0.772727272727273,0.396523230902072,0.262008214941669,95.2,80,76.9,96,100,61.5,64.3,100
29,0.888888888888889,0.862745098039216,0.794871794871795,0.818181818181818,0.482718032180595,0.446637331019306,90.5,83.3,79.2,92.6,55.6,100,100,76.5
30,0.911111111111111,0.862745098039216,0.726495726495726,0.772727272727273,0.541174470981578,0.514858902036403,76.2,93.3,88.9,84.8,66.7,84.6,75,78.6
31,0.979365079365079,0.941176470588235,0.572649572649573,0.636363636363636,0.555698510350163,0.470689699092391,90.5,96.7,95,93.5,66.7,61.5,54.5,72.7
32,0.915873015873016,0.862745098039216,0.709401709401709,0.681818181818182,0.419371382747971,0.41388701044485,95.2,80,76.9,96,66.7,69.2,60,75
33,0.947619047619048,0.92156862745098,0.692307692307692,0.772727272727273,0.513387060503157,0.597685885233316,90.5,93.3,90.5,93.3,77.8,76.9,70,83.3
34,0.861904761904762,0.823529411764706,0.905982905982906,0.863636363636364,0.465096147571126,0.316792968387706,81,83.3,77.3,86.2,100,76.9,75,100
35,0.852380952380952,0.784313725490196,0.914529914529915,0.909090909090909,0.418175039895326,0.376097753774579,90.5,70,67.9,91.3,100,84.6,81.8,100
36,0.925396825396825,0.882352941176471,0.692307692307692,0.727272727272727,0.492411800359296,0.400509002881437,85.7,90,85.7,90,88.9,61.5,61.5,88.9
