"i","train_auc_full","acc_train_full","test_auc_full","acc_test_full","train_cutoff_full","test_cutoff_full","Sens_train","Spec_train","PPV_train","NPV_train","Sens_test","Spec_test","PPV_test","NPV_test"
1,0.928571428571429,0.862745098039216,0.829059829059829,0.818181818181818,0.405720321517461,0.574087076181826,90.5,83.3,79.2,92.6,77.8,84.6,77.8,84.6
2,0.893650793650794,0.843137254901961,0.811965811965812,0.772727272727273,0.35875758833795,0.418209309316752,100,73.3,72.4,100,100,61.5,64.3,100
3,0.93968253968254,0.882352941176471,0.846153846153846,0.772727272727273,0.438598394059935,0.446421603509357,95.2,83.3,80,96.2,88.9,69.2,66.7,90
4,0.928571428571429,0.862745098039216,0.82051282051282,0.772727272727273,0.377415687940317,0.413159523012601,95.2,80,76.9,96,88.9,69.2,66.7,90
5,0.925396825396825,0.843137254901961,0.769230769230769,0.727272727272727,0.389917550680755,0.319689758703935,90.5,80,76,92.3,100,53.8,60,100
6,0.922222222222222,0.862745098039216,0.871794871794872,0.818181818181818,0.55930598822604,0.380355371699454,71.4,96.7,93.8,82.9,88.9,76.9,72.7,90.9
7,0.946031746031746,0.901960784313726,0.717948717948718,0.727272727272727,0.389039023391511,0.314821179535052,100,83.3,80.8,100,88.9,61.5,61.5,88.9
8,0.957142857142857,0.882352941176471,0.692307692307692,0.727272727272727,0.340558522739986,0.18320164870027,100,80,77.8,100,100,53.8,60,100
9,0.93968253968254,0.941176470588235,0.683760683760684,0.681818181818182,0.480679636034279,0.192192589818401,90.5,96.7,95,93.5,100,46.2,56.2,100
10,0.912698412698413,0.843137254901961,0.803418803418803,0.772727272727273,0.452081443886243,0.619252089261936,85.7,83.3,78.3,89.3,66.7,84.6,75,78.6
11,0.931746031746032,0.882352941176471,0.777777777777778,0.818181818181818,0.502876291570865,0.586559601533477,81,93.3,89.5,87.5,88.9,76.9,72.7,90.9
12,0.920634920634921,0.862745098039216,0.846153846153846,0.818181818181818,0.420230814096384,0.504779597094574,90.5,83.3,79.2,92.6,77.8,84.6,77.8,84.6
13,0.893650793650794,0.823529411764706,0.871794871794872,0.863636363636364,0.465995487385924,0.370230502262904,76.2,86.7,80,83.9,100,76.9,75,100
14,0.90952380952381,0.803921568627451,0.811965811965812,0.772727272727273,0.337225706339387,0.307319236403507,100,66.7,67.7,100,100,61.5,64.3,100
15,0.946031746031746,0.882352941176471,0.700854700854701,0.681818181818182,0.388581771158468,0.403655784781662,100,80,77.8,100,77.8,61.5,58.3,80
16,0.906349206349206,0.823529411764706,0.837606837606838,0.818181818181818,0.40543574893872,0.337174937721002,90.5,76.7,73.1,92,88.9,76.9,72.7,90.9
17,0.922222222222222,0.843137254901961,0.863247863247863,0.863636363636364,0.374272545688042,0.296112773964566,95.2,76.7,74.1,95.8,100,76.9,75,100
18,0.884126984126984,0.843137254901961,0.888888888888889,0.863636363636364,0.424758897595878,0.385264855049702,90.5,80,76,92.3,77.8,92.3,87.5,85.7
19,0.952380952380952,0.941176470588235,0.709401709401709,0.727272727272727,0.446441165297814,0.501269510766116,100,90,87.5,100,66.7,76.9,66.7,76.9
20,0.936507936507937,0.862745098039216,0.692307692307692,0.727272727272727,0.349262296478425,0.606230515490315,100,76.7,75,100,55.6,84.6,71.4,73.3
21,0.879365079365079,0.803921568627451,0.923076923076923,0.909090909090909,0.347204681071039,0.495452347085609,100,66.7,67.7,100,77.8,100,100,86.7
22,0.903174603174603,0.823529411764706,0.829059829059829,0.727272727272727,0.47873251339979,0.222560792697844,81,83.3,77.3,86.2,100,53.8,60,100
23,0.863492063492064,0.803921568627451,0.923076923076923,0.863636363636364,0.397674572478036,0.433627443758725,90.5,73.3,70.4,91.7,100,76.9,75,100
24,0.915873015873016,0.862745098039216,0.854700854700855,0.772727272727273,0.397206405270082,0.193430842348235,100,76.7,75,100,100,61.5,64.3,100
25,0.895238095238095,0.843137254901961,0.888888888888889,0.863636363636364,0.42439893185144,0.393786121770755,95.2,76.7,74.1,95.8,88.9,84.6,80,91.7
26,0.936507936507937,0.882352941176471,0.803418803418803,0.818181818181818,0.426775620579213,0.541027578890433,95.2,83.3,80,96.2,77.8,84.6,77.8,84.6
27,0.968253968253968,0.92156862745098,0.615384615384615,0.727272727272727,0.416048324991485,0.398692898846824,95.2,90,87,96.4,77.8,69.2,63.6,81.8
28,0.923809523809524,0.862745098039216,0.803418803418803,0.772727272727273,0.408089201842739,0.264400073077865,95.2,80,76.9,96,100,61.5,64.3,100
