"i","train_auc_full","acc_train_full","test_auc_full","acc_test_full","train_cutoff_full","test_cutoff_full","Sens_train","Spec_train","PPV_train","NPV_train","Sens_test","Spec_test","PPV_test","NPV_test"
1,0.755555555555556,0.686274509803922,0.700854700854701,0.636363636363636,0.357993204997165,0.314485674210176,90.5,53.3,57.6,88.9,100,38.5,52.9,100
2,0.717460317460317,0.627450980392157,0.769230769230769,0.772727272727273,0.305949787799272,0.694238855419575,100,36.7,52.5,100,44.4,100,100,72.2
3,0.750793650793651,0.666666666666667,0.658119658119658,0.727272727272727,0.371200270987922,0.682349054543666,90.5,50,55.9,88.2,33.3,100,100,68.4
4,0.741269841269841,0.647058823529412,0.717948717948718,0.772727272727273,0.327247609855691,0.457544902385857,90.5,46.7,54.3,87.5,55.6,92.3,83.3,75
5,0.712698412698413,0.686274509803922,0.760683760683761,0.772727272727273,0.393808788683781,0.482532511668658,76.2,63.3,59.3,79.2,55.6,92.3,83.3,75
6,0.719047619047619,0.725490196078431,0.786324786324786,0.772727272727273,0.489076901102642,0.416477441801168,42.9,93.3,81.8,70,77.8,76.9,70,83.3
7,0.788888888888889,0.705882352941177,0.632478632478632,0.681818181818182,0.335798272952483,0.509019317757807,95.2,53.3,58.8,94.1,33.3,92.3,75,66.7
8,0.815873015873016,0.745098039215686,0.64957264957265,0.681818181818182,0.397944338711742,0.17119988806221,85.7,66.7,64.3,87,88.9,53.8,57.1,87.5
9,0.765079365079365,0.764705882352941,0.632478632478632,0.636363636363636,0.492808368600443,0.385124189661888,52.4,93.3,84.6,73.7,77.8,53.8,53.8,77.8
10,0.773015873015873,0.745098039215686,0.752136752136752,0.818181818181818,0.490785508866022,0.739319739822189,66.7,80,70,77.4,55.6,100,100,76.5
11,0.725396825396825,0.725490196078431,0.717948717948718,0.681818181818182,0.551006410758661,0.391806845272314,38.1,96.7,88.9,69,77.8,61.5,58.3,80
12,0.752380952380952,0.666666666666667,0.683760683760684,0.681818181818182,0.314422278772906,0.230117689926779,95.2,46.7,55.6,93.3,88.9,53.8,57.1,87.5
13,0.712698412698413,0.745098039215686,0.717948717948718,0.727272727272727,0.557396632918685,0.375087643989106,42.9,96.7,90,70.7,88.9,61.5,61.5,88.9
14,0.69047619047619,0.647058823529412,0.829059829059829,0.818181818181818,0.403956998813835,0.437211329617478,71.4,60,55.6,75,77.8,84.6,77.8,84.6
15,0.73968253968254,0.705882352941177,0.769230769230769,0.818181818181818,0.451877887263054,0.586236164537599,71.4,70,62.5,77.8,55.6,100,100,76.5
16,0.765079365079365,0.686274509803922,0.58974358974359,0.545454545454545,0.351333032821312,0.256301636444972,81,60,58.6,81.8,100,23.1,47.4,100
17,0.784126984126984,0.764705882352941,0.64957264957265,0.681818181818182,0.46447519101658,0.376382633514435,57.1,90,80,75,55.6,76.9,62.5,71.4
18,0.734920634920635,0.705882352941177,0.717948717948718,0.727272727272727,0.439627099858472,0.451249464855234,61.9,76.7,65,74.2,66.7,76.9,66.7,76.9
19,0.838095238095238,0.823529411764706,0.58974358974359,0.409090909090909,0.542260116679031,0.521090974544844,61.9,96.7,92.9,78.4,88.9,46.2,53.3,85.7
20,0.771428571428571,0.705882352941177,0.564102564102564,0.590909090909091,0.392954651199504,0.333891960847374,71.4,70,62.5,77.8,77.8,46.2,50,75
21,0.734920634920635,0.686274509803922,0.709401709401709,0.636363636363636,0.426615261412577,0.320999937183833,66.7,70,60.9,75,100,38.5,52.9,100
22,0.765079365079365,0.686274509803922,0.658119658119658,0.681818181818182,0.377893295226293,0.364927084448247,76.2,63.3,59.3,79.2,66.7,69.2,60,75
23,0.706349206349206,0.647058823529412,0.777777777777778,0.772727272727273,0.343662886214827,0.369019562355875,95.2,43.3,54.1,92.9,100,61.5,64.3,100
24,0.792063492063492,0.745098039215686,0.615384615384615,0.636363636363636,0.395600948222959,0.274671425429388,81,70,65.4,84,100,38.5,52.9,100
25,0.679365079365079,0.607843137254902,0.88034188034188,0.863636363636364,0.337308907961457,0.412408170395099,95.2,36.7,51.3,91.7,88.9,84.6,80,91.7
26,0.784126984126984,0.725490196078431,0.564102564102564,0.681818181818182,0.404753806311421,0.636041146397838,76.2,70,64,80.8,33.3,92.3,75,66.7
27,0.819047619047619,0.803921568627451,0.547008547008547,0.727272727272727,0.500635374000559,0.720391580701773,66.7,90,82.4,79.4,33.3,100,100,68.4
28,0.792063492063492,0.764705882352941,0.675213675213675,0.772727272727273,0.465546328374184,0.639135413960688,66.7,83.3,73.7,78.1,44.4,100,100,72.2
29,0.750793650793651,0.764705882352941,0.666666666666667,0.727272727272727,0.584142642163246,0.407152650856615,42.9,100,100,71.4,55.6,84.6,71.4,73.3
30,0.780952380952381,0.803921568627451,0.58974358974359,0.590909090909091,0.446230160986618,0.228574528415225,71.4,86.7,78.9,81.2,100,30.8,50,100
31,0.849206349206349,0.803921568627451,0.615384615384615,0.772727272727273,0.523954532371542,0.785802548980266,71.4,86.7,78.9,81.2,44.4,100,100,72.2
32,0.687301587301587,0.686274509803922,0.88034188034188,0.863636363636364,0.422034038734889,0.433177694942324,61.9,73.3,61.9,73.3,77.8,92.3,87.5,85.7
33,0.798412698412698,0.725490196078431,0.564102564102564,0.681818181818182,0.388578600172995,0.602386426995721,81,66.7,63,83.3,22.2,100,100,65
34,0.771428571428571,0.764705882352941,0.632478632478632,0.681818181818182,0.517887783977228,0.437651713513873,47.6,96.7,90.9,72.5,66.7,69.2,60,75
35,0.725396825396825,0.647058823529412,0.743589743589744,0.681818181818182,0.334164630287554,0.266329708625977,85.7,50,54.5,83.3,88.9,53.8,57.1,87.5
36,0.80952380952381,0.764705882352941,0.495726495726496,0.545454545454545,0.434097735865766,0.33067783545192,71.4,80,71.4,80,77.8,38.5,46.7,71.4
37,0.784126984126984,0.784313725490196,0.666666666666667,0.636363636363636,0.493548928334426,0.266720675937672,52.4,96.7,91.7,74.4,100,38.5,52.9,100
38,0.782539682539683,0.745098039215686,0.64957264957265,0.727272727272727,0.435774389481543,0.492194052284007,81,70,65.4,84,44.4,92.3,80,70.6
39,0.688888888888889,0.725490196078431,0.82051282051282,0.772727272727273,0.495773567042631,0.378102249047867,38.1,96.7,88.9,69,88.9,69.2,66.7,90
40,0.741269841269841,0.686274509803922,0.717948717948718,0.727272727272727,0.389249418090477,0.292242334627171,76.2,63.3,59.3,79.2,100,53.8,60,100
41,0.746031746031746,0.627450980392157,0.717948717948718,0.772727272727273,0.296670437349964,0.415579108894393,100,36.7,52.5,100,77.8,76.9,70,83.3
42,0.722222222222222,0.725490196078431,0.743589743589744,0.727272727272727,0.536215537422568,0.415418431421127,38.1,96.7,88.9,69,77.8,69.2,63.6,81.8
43,0.717460317460317,0.705882352941177,0.786324786324786,0.727272727272727,0.437299427254377,0.34199403205682,57.1,80,66.7,72.7,100,53.8,60,100
44,0.66984126984127,0.705882352941177,0.82051282051282,0.818181818181818,0.514439306162806,0.411708188597861,33.3,96.7,87.5,67.4,66.7,92.3,85.7,80
45,0.753968253968254,0.705882352941177,0.666666666666667,0.636363636363636,0.398113553260397,0.341038121991864,71.4,70,62.5,77.8,100,38.5,52.9,100
46,0.731746031746032,0.686274509803922,0.709401709401709,0.681818181818182,0.391114607304064,0.30224944711857,76.2,63.3,59.3,79.2,100,46.2,56.2,100
47,0.720634920634921,0.745098039215686,0.752136752136752,0.727272727272727,0.505893528762706,0.417594722720483,38.1,100,100,69.8,66.7,76.9,66.7,76.9
48,0.722222222222222,0.705882352941177,0.811965811965812,0.727272727272727,0.437426729618253,0.294672964286753,61.9,76.7,65,74.2,100,53.8,60,100
49,0.761904761904762,0.725490196078431,0.658119658119658,0.727272727272727,0.424849392819266,0.726110869588211,71.4,73.3,65.2,78.6,33.3,100,100,68.4
50,0.79047619047619,0.745098039215686,0.717948717948718,0.727272727272727,0.396345909554355,0.240762026619006,85.7,66.7,64.3,87,100,53.8,60,100
51,0.787301587301587,0.764705882352941,0.52991452991453,0.681818181818182,0.491185523667588,0.907514714498401,57.1,90,80,75,22.2,100,100,65
52,0.722222222222222,0.725490196078431,0.709401709401709,0.727272727272727,0.475972220319742,0.342460293458528,42.9,93.3,81.8,70,100,53.8,60,100
53,0.755555555555556,0.745098039215686,0.58974358974359,0.636363636363636,0.572753921795811,0.405229926699697,42.9,96.7,90,70.7,66.7,61.5,54.5,72.7
54,0.717460317460317,0.647058823529412,0.769230769230769,0.772727272727273,0.331388039088812,0.440951779990259,95.2,43.3,54.1,92.9,66.7,84.6,75,78.6
55,0.744444444444444,0.686274509803922,0.717948717948718,0.681818181818182,0.399868382501447,0.288234910194772,76.2,63.3,59.3,79.2,88.9,53.8,57.1,87.5
56,0.715873015873016,0.745098039215686,0.803418803418803,0.818181818181818,0.52378257473264,0.412781040673354,42.9,96.7,90,70.7,66.7,92.3,85.7,80
