"i","train_auc_full","acc_train_full","test_auc_full","acc_test_full","train_cutoff_full","test_cutoff_full","Sens_train","Spec_train","PPV_train","NPV_train","Sens_test","Spec_test","PPV_test","NPV_test"
1,0.9,0.862745098039216,0.777777777777778,0.772727272727273,0.396335559348656,0.660786198453441,95.2,80,76.9,96,66.7,84.6,75,78.6
2,0.873015873015873,0.803921568627451,0.709401709401709,0.681818181818182,0.363020205762718,0.41309619139858,100,66.7,67.7,100,77.8,61.5,58.3,80
3,0.873015873015873,0.803921568627451,0.786324786324786,0.727272727272727,0.408375285922452,0.418405877556034,95.2,70,69,95.5,77.8,69.2,63.6,81.8
4,0.841269841269841,0.725490196078431,0.931623931623932,0.863636363636364,0.294619473272353,0.413265747392789,100,53.3,60,100,88.9,84.6,80,91.7
5,0.885714285714286,0.803921568627451,0.735042735042735,0.681818181818182,0.406054104223488,0.276353544569461,85.7,76.7,72,88.5,100,46.2,56.2,100
6,0.861904761904762,0.784313725490196,0.811965811965812,0.818181818181818,0.282354138770282,0.345828410447332,100,63.3,65.6,100,100,69.2,69.2,100
7,0.903174603174603,0.843137254901961,0.709401709401709,0.681818181818182,0.371819923013027,0.189179686624434,100,73.3,72.4,100,100,46.2,56.2,100
8,0.915873015873016,0.862745098039216,0.666666666666667,0.727272727272727,0.485262440584516,0.141204647468675,90.5,83.3,79.2,92.6,100,53.8,60,100
9,0.903174603174603,0.803921568627451,0.735042735042735,0.681818181818182,0.299067114224535,0.216761603949308,95.2,70,69,95.5,100,46.2,56.2,100
10,0.896825396825397,0.803921568627451,0.735042735042735,0.772727272727273,0.426991614186303,0.900292169052457,85.7,76.7,72,88.5,44.4,100,100,72.2
11,0.898412698412698,0.803921568627451,0.726495726495726,0.727272727272727,0.352122609890972,0.455183451643607,90.5,73.3,70.4,91.7,88.9,61.5,61.5,88.9
12,0.904761904761905,0.843137254901961,0.760683760683761,0.727272727272727,0.349194735753041,0.264460532662633,95.2,76.7,74.1,95.8,88.9,61.5,61.5,88.9
13,0.853968253968254,0.803921568627451,0.803418803418803,0.818181818181818,0.4452607987825,0.254758705373691,76.2,83.3,76.2,83.3,100,69.2,69.2,100
14,0.842857142857143,0.764705882352941,0.854700854700855,0.818181818181818,0.363565881500116,0.449210155926051,95.2,63.3,64.5,95,77.8,84.6,77.8,84.6
15,0.868253968253968,0.803921568627451,0.803418803418803,0.772727272727273,0.316481168391601,0.550047943605782,100,66.7,67.7,100,55.6,92.3,83.3,75
16,0.86984126984127,0.803921568627451,0.769230769230769,0.772727272727273,0.382218372681445,0.286436947835684,90.5,73.3,70.4,91.7,77.8,76.9,70,83.3
17,0.868253968253968,0.803921568627451,0.837606837606838,0.772727272727273,0.418132746019687,0.297542784808481,85.7,76.7,72,88.5,88.9,69.2,66.7,90
18,0.834920634920635,0.764705882352941,0.829059829059829,0.863636363636364,0.429366505616226,0.558280322536258,81,73.3,68,84.6,66.7,100,100,81.2
19,0.919047619047619,0.823529411764706,0.658119658119658,0.636363636363636,0.262136367098158,0.223472441103852,100,70,70,100,88.9,46.2,53.3,85.7
20,0.914285714285714,0.862745098039216,0.598290598290598,0.590909090909091,0.471295760663439,0.202222516630801,81,90,85,87.1,100,30.8,50,100
21,0.861904761904762,0.784313725490196,0.846153846153846,0.818181818181818,0.376870126498079,0.362212905326414,90.5,70,67.9,91.3,88.9,76.9,72.7,90.9
22,0.896825396825397,0.823529411764706,0.777777777777778,0.727272727272727,0.345775030545727,0.23762040410167,95.2,73.3,71.4,95.7,88.9,61.5,61.5,88.9
23,0.819047619047619,0.764705882352941,0.88034188034188,0.863636363636364,0.381683345825936,0.42523181112044,90.5,66.7,65.5,90.9,88.9,84.6,80,91.7
24,0.895238095238095,0.843137254901961,0.743589743589744,0.727272727272727,0.441625874384613,0.232146735030122,85.7,83.3,78.3,89.3,100,53.8,60,100
25,0.820634920634921,0.764705882352941,0.888888888888889,0.863636363636364,0.38994003534249,0.449046866599864,85.7,70,66.7,87.5,88.9,84.6,80,91.7
26,0.874603174603175,0.803921568627451,0.794871794871795,0.772727272727273,0.337116102254375,0.458940792458436,95.2,70,69,95.5,77.8,76.9,70,83.3
27,0.946031746031746,0.901960784313726,0.52991452991453,0.636363636363636,0.538441976416911,0.460432379517264,85.7,93.3,90,90.3,55.6,69.2,55.6,69.2
28,0.865079365079365,0.823529411764706,0.786324786324786,0.772727272727273,0.443133810441133,0.326505229435056,85.7,80,75,88.9,100,61.5,64.3,100
29,0.871428571428571,0.784313725490196,0.777777777777778,0.727272727272727,0.379230533785189,0.307598217629983,90.5,70,67.9,91.3,88.9,61.5,61.5,88.9
30,0.880952380952381,0.823529411764706,0.700854700854701,0.727272727272727,0.388049644413808,0.495157279568077,85.7,80,75,88.9,66.7,76.9,66.7,76.9
31,0.96031746031746,0.92156862745098,0.58974358974359,0.681818181818182,0.625291871927974,0.579262690964533,81,100,100,88.2,55.6,76.9,62.5,71.4
32,0.874603174603175,0.784313725490196,0.709401709401709,0.681818181818182,0.395702522703017,0.424014533076636,85.7,73.3,69.2,88,77.8,61.5,58.3,80
33,0.888888888888889,0.823529411764706,0.735042735042735,0.681818181818182,0.464898586919102,0.283230998619979,85.7,80,75,88.9,88.9,53.8,57.1,87.5
34,0.846031746031746,0.764705882352941,0.854700854700855,0.863636363636364,0.452982238906765,0.344563224256612,76.2,76.7,69.6,82.1,88.9,84.6,80,91.7
35,0.83968253968254,0.764705882352941,0.863247863247863,0.863636363636364,0.311199737614714,0.397812041329647,95.2,63.3,64.5,95,88.9,84.6,80,91.7
36,0.90952380952381,0.803921568627451,0.658119658119658,0.636363636363636,0.355567612458894,0.287890433359567,95.2,70,69,95.5,88.9,46.2,53.3,85.7
37,0.933333333333333,0.862745098039216,0.623931623931624,0.636363636363636,0.344183529699046,0.17402811049839,95.2,80,76.9,96,88.9,46.2,53.3,85.7
38,0.873015873015873,0.784313725490196,0.794871794871795,0.772727272727273,0.369758432202097,0.374918622488981,95.2,66.7,66.7,95.2,77.8,76.9,70,83.3
39,0.888888888888889,0.843137254901961,0.760683760683761,0.772727272727273,0.512817411807254,0.530273789161867,81,86.7,81,86.7,77.8,76.9,70,83.3
40,0.842857142857143,0.784313725490196,0.863247863247863,0.863636363636364,0.333258890408639,0.415125874144153,95.2,66.7,66.7,95.2,88.9,84.6,80,91.7
41,0.865079365079365,0.784313725490196,0.863247863247863,0.818181818181818,0.383834811163434,0.26668631860617,90.5,70,67.9,91.3,100,69.2,69.2,100
42,0.841269841269841,0.784313725490196,0.837606837606838,0.818181818181818,0.412510667197154,0.449676464944333,85.7,73.3,69.2,88,88.9,76.9,72.7,90.9
43,0.882539682539683,0.803921568627451,0.743589743589744,0.727272727272727,0.386465584583737,0.450469859878986,90.5,73.3,70.4,91.7,66.7,76.9,66.7,76.9
44,0.814285714285714,0.745098039215686,0.871794871794872,0.818181818181818,0.379541927707003,0.427455319055097,90.5,63.3,63.3,90.5,66.7,92.3,85.7,80
