"i","train_auc_full","acc_train_full","test_auc_full","acc_test_full","train_cutoff_full","test_cutoff_full","Sens_train","Spec_train","PPV_train","NPV_train","Sens_test","Spec_test","PPV_test","NPV_test"
1,0.912698412698413,0.862745098039216,0.811965811965812,0.818181818181818,0.422884105134713,0.694968718263664,95.2,80,76.9,96,66.7,92.3,85.7,80
2,0.89047619047619,0.823529411764706,0.743589743589744,0.681818181818182,0.388581603946295,0.375314279862165,95.2,73.3,71.4,95.7,100,46.2,56.2,100
3,0.922222222222222,0.882352941176471,0.811965811965812,0.727272727272727,0.472215792965032,0.42597608700189,90.5,86.7,82.6,92.9,88.9,61.5,61.5,88.9
4,0.885714285714286,0.843137254901961,0.914529914529915,0.909090909090909,0.469194773551612,0.49222707457243,85.7,83.3,78.3,89.3,88.9,92.3,88.9,92.3
5,0.888888888888889,0.803921568627451,0.769230769230769,0.727272727272727,0.374931314340027,0.29202314668308,95.2,70,69,95.5,100,53.8,60,100
6,0.855555555555556,0.784313725490196,0.854700854700855,0.863636363636364,0.434416696818706,0.416825900417677,90.5,70,67.9,91.3,100,76.9,75,100
7,0.93015873015873,0.901960784313726,0.683760683760684,0.727272727272727,0.527121799157275,0.253843360331629,85.7,93.3,90,90.3,88.9,61.5,61.5,88.9
8,0.915873015873016,0.862745098039216,0.726495726495726,0.727272727272727,0.411729638176315,0.178589999416603,95.2,80,76.9,96,100,53.8,60,100
9,0.938095238095238,0.941176470588235,0.641025641025641,0.681818181818182,0.542105561868281,0.3985251744701,90.5,96.7,95,93.5,88.9,53.8,57.1,87.5
10,0.893650793650794,0.803921568627451,0.803418803418803,0.818181818181818,0.414296730564379,0.678287570980711,90.5,73.3,70.4,91.7,55.6,100,100,76.5
11,0.933333333333333,0.901960784313726,0.743589743589744,0.727272727272727,0.484883391835701,0.503615177145847,85.7,93.3,90,90.3,88.9,61.5,61.5,88.9
12,0.907936507936508,0.843137254901961,0.786324786324786,0.772727272727273,0.401819493328945,0.446865491383403,95.2,76.7,74.1,95.8,88.9,69.2,66.7,90
13,0.880952380952381,0.843137254901961,0.837606837606838,0.863636363636364,0.504982051508096,0.350321249771651,76.2,90,84.2,84.4,100,76.9,75,100
14,0.849206349206349,0.803921568627451,0.914529914529915,0.863636363636364,0.427420109198677,0.384702832724782,90.5,73.3,70.4,91.7,100,76.9,75,100
15,0.926984126984127,0.882352941176471,0.709401709401709,0.727272727272727,0.457460103824164,0.442814469614274,90.5,86.7,82.6,92.9,88.9,61.5,61.5,88.9
16,0.896825396825397,0.843137254901961,0.829059829059829,0.818181818181818,0.468567556368616,0.343791631902158,81,86.7,81,86.7,88.9,76.9,72.7,90.9
17,0.882539682539683,0.843137254901961,0.897435897435897,0.863636363636364,0.475269159076471,0.378947018220939,81,86.7,81,86.7,88.9,84.6,80,91.7
18,0.874603174603175,0.843137254901961,0.854700854700855,0.863636363636364,0.463784176590354,0.47087946644005,85.7,83.3,78.3,89.3,66.7,100,100,81.2
19,0.944444444444444,0.92156862745098,0.666666666666667,0.636363636363636,0.465852744971393,0.168943051861251,95.2,90,87,96.4,88.9,46.2,53.3,85.7
20,0.936507936507937,0.882352941176471,0.675213675213675,0.727272727272727,0.468943262618622,0.586525514774018,85.7,90,85.7,90,55.6,84.6,71.4,73.3
21,0.868253968253968,0.784313725490196,0.871794871794872,0.863636363636364,0.294339802034917,0.449446491885944,100,63.3,65.6,100,88.9,84.6,80,91.7
22,0.906349206349206,0.862745098039216,0.803418803418803,0.727272727272727,0.560999247623955,0.196490942899147,71.4,96.7,93.8,82.9,100,53.8,60,100
23,0.852380952380952,0.784313725490196,0.888888888888889,0.863636363636364,0.433217478989561,0.414008461705803,81,76.7,70.8,85.2,100,76.9,75,100
24,0.895238095238095,0.843137254901961,0.82051282051282,0.727272727272727,0.433460308793231,0.222261939367272,95.2,76.7,74.1,95.8,88.9,61.5,61.5,88.9
25,0.888888888888889,0.823529411764706,0.829059829059829,0.818181818181818,0.39725729362092,0.39765066902857,95.2,73.3,71.4,95.7,88.9,76.9,72.7,90.9
26,0.907936507936508,0.882352941176471,0.794871794871795,0.772727272727273,0.465415494130944,0.571340189593155,90.5,86.7,82.6,92.9,66.7,84.6,75,78.6
27,0.947619047619048,0.92156862745098,0.581196581196581,0.681818181818182,0.522253424421609,0.376018212554148,90.5,93.3,90.5,93.3,77.8,61.5,58.3,80
28,0.895238095238095,0.843137254901961,0.829059829059829,0.772727272727273,0.40949952510353,0.266357078200362,90.5,80,76,92.3,100,61.5,64.3,100
29,0.896825396825397,0.862745098039216,0.811965811965812,0.727272727272727,0.472900583211701,0.265023703410242,90.5,83.3,79.2,92.6,88.9,61.5,61.5,88.9
30,0.907936507936508,0.862745098039216,0.717948717948718,0.772727272727273,0.549402645173193,0.528815487709599,76.2,93.3,88.9,84.8,66.7,84.6,75,78.6
31,0.96984126984127,0.92156862745098,0.606837606837607,0.636363636363636,0.566357876378696,0.454208530627875,90.5,93.3,90.5,93.3,66.7,61.5,54.5,72.7
32,0.920634920634921,0.862745098039216,0.675213675213675,0.681818181818182,0.415830977850346,0.438040388981064,95.2,80,76.9,96,66.7,69.2,60,75
