,metabolic,p.value,log10.fc
134,N-Acetylputrescine,0.682865002,-0.03889121
113,Sarcosine,0.684654044,-0.183645866
114,L-Alanine,0.684654044,-0.163914474
133,L-Pipecolic acid,0.68823106,-0.160296291
5,Uracil,0.695405984,-0.042324333
7,Acetylglycine,0.699003748,0.061876758
33,Hippuric acid,0.699003748,0.096720112
22,Dopamine,0.708442734,0.098516303
97,Oxalacetic acid,0.717092698,-0.06398001
84,NAD,0.717508487,-0.099750768
91,Chenodeoxycholic acid glycine conjugate,0.735341739,-0.124560668
50,Glucose 6-phosphate,0.739009535,-0.024412886
161,N8-Acetylspermidine,0.73900993,-0.029498676
98,Oxoglutaric acid,0.74268407,-0.182395866
108,Isocitric acid,0.753741405,-0.110897314
14,Hydroxyisocaproic acid,0.761141277,-0.201233502
120,Cytosine,0.767021854,0.063674132
179,Acetamidopropanal,0.772281972,-0.133461974
174,2'-O-Methyladenosine,0.779623351,0.050563787
87,Citraconic acid,0.779735427,-0.223330285
6,Maleic acid,0.783469808,0.057122573
12,Benzoic acid,0.783469808,-0.106367936
71,Inosinic acid,0.783469808,-0.061760512
104,Glycerol 3-phosphate,0.783469808,-0.100569895
163,L-Tryptophan,0.783469808,-0.134748958
149,DL-Glutamate,0.79845646,-0.120717116
90,Citric acid,0.805978106,0.106616389
73,Orotidylic acid,0.817293819,-0.121916031
85,L-Lactic acid,0.824859466,-0.196534099
146,Spermidine,0.842488502,-0.00880736
151,Cysteamine,0.843808823,-0.065726125
27,Homogentisic acid,0.843842708,0.022725465
38,2-Phosphoglyceric acid,0.843842708,-0.143312871
74,S-Adenosylhomocysteine,0.843842708,0.11222351
160,L-Tyrosine,0.855277098,-0.277641045
81,Adenosine triphosphate,0.866741752,-0.162002819
43,Pantothenic acid,0.870569942,-0.148320411
111,Glycine,0.874400959,-0.199760906
155,L-Phenylalanine,0.878234923,-0.180055073
96,Methylsuccinic acid,0.882071746,-0.178372345
177,Alpha-Tocopherol,0.882071746,-0.078954362
61,Tetranor 12-HETE,0.885911337,-0.054200604
52,Linoelaidic acid,0.889753609,-0.089354148
60,N-Acetylneuraminic acid,0.889753609,-0.133902939
24,Aminoadipic acid,0.893598472,-0.079329057
118,Dimethylglycine,0.893598472,-0.115889867
18,Hypoxanthine,0.901295614,0.04105253
112,Trimethylamine N-oxide,0.905147715,-0.151556871
44,L-Cystathionine,0.909002048,-0.062779904
106,Pyruvic acid,0.909002048,-0.111298622
137,5-Aminolevulinic acid,0.916717056,-0.090159599
82,Taurocholic acid,0.932169901,-0.120847915
154,L-Carnitine,0.932169901,-0.161770882
2,3-Aminobutanoic acid,0.9592705,-0.077578425
105,Glyceraldehyde,0.9592705,-0.04658924
122,L-Proline,0.9592705,-0.139733893
92,Malondialdehyde,0.963146595,-0.110658239
166,3-hydroxy-L-kynurenin,0.975743039,-0.024655906
21,Xanthine,0.990298524,-0.219704879
153,Tryptamine,0.994164015,0.143493596
